slug,model_family,gpu_profile,gpu_count,image,platform,retained_sha256,role,has_profile_record,has_receipt,terms_read
llama-3-1-70b-instruct-2xgpu,llama-3-1-70b-instruct,2xgpu,2,nvcr.io/nim/meta/llama-3.1-70b-instruct:1.1.0,kserve-nim-inference,9cbca6baf4136a18ec34cc3707ad5dbc1f43f8656808ad4aeb7d48f638eac91a,model-shape,true,true,false
llama-3-1-8b-instruct-1xgpu,llama-3-1-8b-instruct,1xgpu,1,nvcr.io/nim/meta/llama-3.1-8b-instruct:1.1.0,kserve-nim-inference,cb047c43737662a3543fe7cbe058692da847d298251b9da7eb3ca36d142378e5,model-shape,true,false,true
llama-3-3-nemotron-49b-2xgpu,llama-3-3-nemotron-49b,2xgpu,2,nvcr.io/nim/nvidia/llama-3.3-nemotron-super-49b-v1:1.8.2,kserve-nim-inference,c53bac7d289a11ee68f0d8e1ffc2b9947553a0a28a452c3ba96d631a8408a89e,model-shape,false,false,false
llama3-70b-instruct-2xgpu,llama3-70b-instruct,2xgpu,2,nvcr.io/nim/meta/llama3-70b-instruct:1.0.0,kserve-nim-inference,ea215f7bd3a85cf90048587aed22393baf7438430db1e1cd672e66bf0aa959fa,model-shape,false,false,false
llama3-70b-instruct-4xa100,llama3-70b-instruct,4xa100,4,nvcr.io/nim/meta/llama3-70b-instruct:1.0.0,kserve-nim-inference,0edb4bc543a884653141cb237339df5184c3071a3ce43b3f2b32b0cba81660e8,model-shape,false,false,false
llama3-70b-instruct-4xgpu,llama3-70b-instruct,4xgpu,4,nvcr.io/nim/meta/llama3-70b-instruct:1.0.0,kserve-nim-inference,5baa02478edda77805e9eb75a5f2a31e11a3af2dcd5463a708ccb2af5912e556,model-shape,false,false,false
llama3-70b-instruct-4xh100,llama3-70b-instruct,4xh100,4,nvcr.io/nim/meta/llama3-70b-instruct:1.0.0,kserve-nim-inference,a3fe6992600d9b7dc52fad4715dc567782621b1b67a0eb7ed7f0585a17a3090d,model-shape,false,false,false
llama3-8b-instruct-1xgpu,llama3-8b-instruct,1xgpu,1,nvcr.io/nim/meta/llama3-8b-instruct:1.0.0,kserve-nim-inference,cb79b4b209296aefead056efc347c0e536142b8f96f54bae13b2e075c50fb2bc,model-shape,false,false,false
llama3-8b-instruct-2xa100,llama3-8b-instruct,2xa100,2,nvcr.io/nim/meta/llama3-8b-instruct:1.0.0,kserve-nim-inference,58e3db3266685c85643e3d3ebbc853ff620502dea0f60a14867c12986fe33f75,model-shape,false,false,false
llama3-8b-instruct-2xgpu,llama3-8b-instruct,2xgpu,2,nvcr.io/nim/meta/llama3-8b-instruct:1.0.0,kserve-nim-inference,7122a0ab501ecb931f2027b753ed826d7ad765879e13b6ca728a9630e90bee14,model-shape,false,false,false
llama3-8b-instruct-2xh100,llama3-8b-instruct,2xh100,2,nvcr.io/nim/meta/llama3-8b-instruct:1.0.0,kserve-nim-inference,1fd5e1c01ead6fccdbf0218fdd79e68a477689271b2e2063d4f895f987ecb8f7,model-shape,false,false,false
mistral-7b-instruct-v03-1xgpu,mistral-7b-instruct-v03,1xgpu,1,nvcr.io/nim/mistralai/mistral-7b-instruct-v03:1.0.0,kserve-nim-inference,29753d43b9d14c2561e641dcff517b25bb2478a7f1e94a4e04d0bf3d4592e60a,model-shape,false,false,false
mixtral-8x22b-instruct-v01-8xgpu,mixtral-8x22b-instruct-v01,8xgpu,8,nvcr.io/nim/mistralai/mixtral-8x22b-instruct-v01:1.0.0,kserve-nim-inference,271952379c4e9386657e5a35ea081a63f3dd001199ea2964047236d7e884b2e9,model-shape,false,false,false
mixtral-8x7b-instruct-v01-2xgpu,mixtral-8x7b-instruct-v01,2xgpu,2,nvcr.io/nim/mistralai/mixtral-8x7b-instruct-v01:1.0.0,kserve-nim-inference,f71f68adf3673ffe8d01145590092c06229e3021406968ee28096d68155b2714,model-shape,true,true,false
nv-embedqa-e5-v5-1xgpu,nv-embedqa-e5-v5,1xgpu,1,nvcr.io/nim/nvidia/nv-embedqa-e5-v5:1.0.0,kserve-nim-inference,d33e27768a8ebed719729cd573eac5c13d77f0e2ede6bf9cd9ffae3765718308,model-shape,true,true,false
nv-rerankqa-mistral-4b-v3-1xgpu,nv-rerankqa-mistral-4b-v3,1xgpu,1,nvcr.io/nim/nvidia/nv-rerankqa-mistral-4b-v3:1.0.0,kserve-nim-inference,07375093d8647d1eeff64d57cffcf4dfeed0e9e34d554ecf3969c8a7fb94b2e6,model-shape,false,false,false
