chart,cluster_roles,roles,risky_rules,findings
crossplane-stable/crossplane/2.3.1,12,0,22,"all-resources; full-wildcard; priv-escalation; secret-read"
rook-release/rook-ceph/v1.19.5,33,14,16,"secret-read"
argo-cd/argo-cd/9.5.15,3,6,10,"all-resources; full-wildcard; secret-read"
argo-cd/argo-cd/9.5.17,3,6,10,"all-resources; full-wildcard; secret-read"
jetstack/cert-manager/v1.20.2,13,4,8,"secret-read"
istio/istiod/1.30.0,3,1,6,"all-resources; secret-read"
gatekeeper/gatekeeper/3.22.2,1,1,4,"all-resources; secret-read"
kyverno/kyverno/3.8.1,16,4,4,"secret-read"
haproxytech/kubernetes-ingress/1.52.0,1,0,3,"all-resources; secret-read"
kedacore/keda/2.19.0,4,1,3,"all-resources; secret-read"
minio-operator/operator/7.1.1,1,0,3,"full-wildcard; secret-read"
prometheus-community/kube-prometheus-stack/85.3.3,4,0,3,"secret-read"
prometheus-community/kube-prometheus-stack/86.1.0,4,0,3,"secret-read"
sealed-secrets/sealed-secrets/2.18.6,1,2,3,"secret-read"
hashicorp/terraform/1.1.2,0,1,2,"full-wildcard; secret-read"
projectcalico/tigera-operator/v3.32.0,2,0,2,"priv-escalation; secret-read"
aqua/trivy-operator/0.32.1,4,2,2,"secret-read"
argo-cd/argo-workflows/1.0.14,7,1,2,"secret-read"
external-secrets/external-secrets/2.5.0,5,1,2,"secret-read"
fairwinds-stable/goldilocks/10.3.0,2,0,2,"all-resources"
ingress-nginx/ingress-nginx/4.15.1,1,1,2,"secret-read"
longhorn/longhorn/1.11.2,1,1,2,"secret-read"
strimzi/strimzi-kafka-operator/1.0.0,7,0,2,"secret-read"
argo-cd/argo-events/2.4.21,1,0,1,"secret-read"
argo-cd/argo-rollouts/2.40.9,4,0,1,"secret-read"
argo-cd/argocd-image-updater/1.2.2,1,2,1,"secret-read"
bitnami/contour/21.1.4,1,1,1,"secret-read"
cloudnative-pg/cloudnative-pg/0.28.2,3,0,1,"secret-read"
dex/dex/0.24.0,1,1,1,"full-wildcard"
elastic/eck-operator/3.4.0,3,0,1,"secret-read"
elastic/metricbeat/8.5.1,2,1,1,"secret-read"
grafana/alloy/1.8.2,1,0,1,"secret-read"
grafana/pyroscope/2.0.2,1,1,1,"secret-read"
grafana/rollout-operator/0.49.0,1,2,1,"secret-read"
istio/gateway/1.30.0,0,1,1,"secret-read"
jaegertracing/jaeger-operator/2.57.0,0,1,1,"secret-read"
jetstack/trust-manager/v0.22.1,1,2,1,"secret-read"
nats/nack/0.34.0,1,0,1,"secret-read"
open-telemetry/opentelemetry-operator/0.114.0,2,1,1,"secret-read"
percona/pg-operator/3.0.0,0,1,1,"secret-read"
percona/psmdb-operator/1.22.0,0,1,1,"secret-read"
percona/pxc-operator/1.19.1,0,1,1,"secret-read"
prometheus-community/kube-state-metrics/7.4.0,1,0,1,"secret-read"
prometheus-community/prometheus-adapter/5.3.0,2,0,1,"full-wildcard"
prometheus-community/prometheus/29.8.0,2,0,1,"secret-read"
prometheus-community/prometheus/29.9.0,2,0,1,"secret-read"
rook-release/rook-ceph-cluster/v1.19.5,0,4,1,"secret-read"
stakater/reloader/2.2.12,1,1,1,"secret-read"
traefik/traefik/40.2.0,1,0,1,"secret-read"
velero/velero/12.0.1,0,1,1,"full-wildcard"
autoscaler/cluster-autoscaler/9.57.0,1,1,0,""
autoscaler/vertical-pod-autoscaler/0.9.0,11,2,0,""
aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,5,1,0,""
bitnami/apache/11.4.29,0,0,0,""
bitnami/elasticsearch/22.1.6,0,0,0,""
bitnami/memcached/8.5.5,0,0,0,""
bitnami/opensearch/2.0.10,0,0,0,""
bitnami/phpmyadmin/20.0.0,0,0,0,""
bitnami/redis/25.5.3,0,0,0,""
bitnami/redis/27.0.0,0,0,0,""
bitnami/spark/10.0.3,0,0,0,""
bitnami/zookeeper/13.8.7,0,0,0,""
coredns/coredns/1.45.2,1,0,0,""
descheduler/descheduler/0.36.0,1,0,0,""
elastic/filebeat/8.5.1,1,1,0,""
elastic/kibana/8.5.1,0,0,0,""
elastic/logstash/8.5.1,0,0,0,""
external-dns/external-dns/1.21.1,1,0,0,""
fairwinds-stable/vpa/4.11.0,9,0,0,""
falcosecurity/falco/9.0.0,0,1,0,""
falcosecurity/falcosidekick/0.13.1,0,1,0,""
fluent/fluent-bit/0.57.6,1,0,0,""
fluent/fluentd/0.5.3,1,0,0,""
gitlab/gitlab-runner/0.89.0,0,0,0,""
grafana/promtail/6.17.1,1,0,0,""
hashicorp/vault/0.32.0,1,0,0,""
jaegertracing/jaeger/4.8.0,0,0,0,""
jetstack/cert-manager-csi-driver/v0.14.0,1,0,0,""
kyverno/kyverno-policies/3.8.0,0,0,0,""
linkerd/linkerd-crds/1.8.0,0,0,0,""
metrics-server/metrics-server/3.13.0,2,0,0,""
minio-operator/tenant/7.1.1,0,0,0,""
nats/nats/2.14.0,0,0,0,""
nats/surveyor/0.20.9,0,0,0,""
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18,1,1,0,""
opencost/opencost/2.5.21,1,0,0,""
prometheus-community/alertmanager/1.37.0,0,0,0,""
prometheus-community/prometheus-blackbox-exporter/11.10.0,0,0,0,""
prometheus-community/prometheus-node-exporter/4.55.0,0,0,0,""
prometheus-community/prometheus-operator-crds/29.0.0,0,0,0,""
prometheus-community/prometheus-pushgateway/3.6.0,0,0,0,""
runix/pgadmin4/1.62.0,0,0,0,""
secrets-store-csi-driver/secrets-store-csi-driver/1.6.0,4,0,0,""
vm/victoria-logs-single/0.12.5,0,0,0,""
vm/victoria-metrics-single/0.39.0,0,0,0,""
