chart,version,variant,image,image_status,object,field_path,rendered_sha256,rendered_path,next_action
aqua/trivy-operator,0.32.1,default,mirror.gcr.io/aquasec/trivy-operator:0.30.1,mutable-tag,apps/v1/Deployment/default/trivy-operator,spec.template.spec.containers.0.image,4728643a42924d6af2c0b2b4f1f616938c31b6271ed7e32bac2ce36e5e339a25,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
aqua/trivy-operator,0.32.1,no-crds,mirror.gcr.io/aquasec/trivy-operator:0.30.1,mutable-tag,apps/v1/Deployment/default/trivy-operator,spec.template.spec.containers.0.image,875c8aa838c2841aeda6fbd5ffe95e4f7e2c6a36d64194715bb4039aff0ed492,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-redis,spec.template.spec.containers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,ghcr.io/dexidp/dex:v2.45.1,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-dex-server,spec.template.spec.containers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-applicationset-controller,spec.template.spec.containers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-dex-server,spec.template.spec.initContainers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-notifications-controller,spec.template.spec.containers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-repo-server,spec.template.spec.containers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-repo-server,spec.template.spec.initContainers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-server,spec.template.spec.containers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,default,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/StatefulSet/argocd/argo-cd-argocd-application-controller,spec.template.spec.containers.0.image,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-redis,spec.template.spec.containers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,ghcr.io/dexidp/dex:v2.45.1,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-dex-server,spec.template.spec.containers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-applicationset-controller,spec.template.spec.containers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-dex-server,spec.template.spec.initContainers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-notifications-controller,spec.template.spec.containers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-repo-server,spec.template.spec.containers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-repo-server,spec.template.spec.initContainers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-server,spec.template.spec.containers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.15,no-crds,quay.io/argoproj/argocd:v3.4.2,mutable-tag,apps/v1/StatefulSet/argocd/argo-cd-argocd-application-controller,spec.template.spec.containers.0.image,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-redis,spec.template.spec.containers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,ghcr.io/dexidp/dex:v2.45.1,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-dex-server,spec.template.spec.containers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-applicationset-controller,spec.template.spec.containers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-dex-server,spec.template.spec.initContainers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-notifications-controller,spec.template.spec.containers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-repo-server,spec.template.spec.containers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-repo-server,spec.template.spec.initContainers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-server,spec.template.spec.containers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,default,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/StatefulSet/argocd/argo-cd-argocd-application-controller,spec.template.spec.containers.0.image,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-redis,spec.template.spec.containers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,ghcr.io/dexidp/dex:v2.45.1,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-dex-server,spec.template.spec.containers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-applicationset-controller,spec.template.spec.containers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-dex-server,spec.template.spec.initContainers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-notifications-controller,spec.template.spec.containers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-repo-server,spec.template.spec.containers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-repo-server,spec.template.spec.initContainers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/Deployment/argocd/argo-cd-argocd-server,spec.template.spec.containers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-cd,9.5.17,no-crds,quay.io/argoproj/argocd:v3.4.3,mutable-tag,apps/v1/StatefulSet/argocd/argo-cd-argocd-application-controller,spec.template.spec.containers.0.image,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-events,2.4.21,default,quay.io/argoproj/argo-events:v1.9.10,mutable-tag,apps/v1/Deployment/default/argo-events-controller-manager,spec.template.spec.containers.0.image,fe5c705f2f03410df75055542a79619c82947dafbf3f1c01c05eca2fc197503b,recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-events,2.4.21,no-crds,quay.io/argoproj/argo-events:v1.9.10,mutable-tag,apps/v1/Deployment/default/argo-events-controller-manager,spec.template.spec.containers.0.image,4858a0854eb393c136be157686a7417478ee33c88428452eaa21ad3fed65ad49,recipes/argo-cd/argo-events/2.4.21/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-rollouts,2.40.9,default,quay.io/argoproj/argo-rollouts:v1.9.0,mutable-tag,apps/v1/Deployment/default/argo-rollouts,spec.template.spec.containers.0.image,cd696130d24a1a676d5bc1abb9978ff10d6d4e6e072655c6ef275453b1e85e47,recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-rollouts,2.40.9,no-crds,quay.io/argoproj/argo-rollouts:v1.9.0,mutable-tag,apps/v1/Deployment/default/argo-rollouts,spec.template.spec.containers.0.image,6facde581531cc4995b342bf9b3614f4c73f5c8d9ba057ae92895db6c3813dd7,recipes/argo-cd/argo-rollouts/2.40.9/revisions/no-crds/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-workflows,1.0.14,default,quay.io/argoproj/argocli:v4.0.5,mutable-tag,apps/v1/Deployment/default/argo-workflows-server,spec.template.spec.containers.0.image,677516f7d311ffdfcf7a4b424585cada43ba104af51ef7e283c575d8279c16bc,recipes/argo-cd/argo-workflows/1.0.14/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argo-workflows,1.0.14,default,quay.io/argoproj/workflow-controller:v4.0.5,mutable-tag,apps/v1/Deployment/default/argo-workflows-workflow-controller,spec.template.spec.containers.0.image,677516f7d311ffdfcf7a4b424585cada43ba104af51ef7e283c575d8279c16bc,recipes/argo-cd/argo-workflows/1.0.14/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
argo-cd/argocd-image-updater,1.2.2,default,quay.io/argoprojlabs/argocd-image-updater:v1.2.1,mutable-tag,apps/v1/Deployment/default/argocd-image-updater-controller,spec.template.spec.containers.0.image,0b3646b69dab9a21cad5cbc550a95ffb9ac4be833cc2d076b1fd12cbe4e4eaf2,recipes/argo-cd/argocd-image-updater/1.2.2/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
autoscaler/vertical-pod-autoscaler,0.9.0,default,registry.k8s.io/autoscaling/vpa-admission-controller:1.6.0,mutable-tag,apps/v1/Deployment/default/vertical-pod-autoscaler-admission-controller,spec.template.spec.containers.0.image,9d7307f629bdc478fa0c9bc6646359976b96d0cfd549bd66c13442facfa57490,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
autoscaler/vertical-pod-autoscaler,0.9.0,default,registry.k8s.io/autoscaling/vpa-recommender:1.6.0,mutable-tag,apps/v1/Deployment/default/vertical-pod-autoscaler-recommender,spec.template.spec.containers.0.image,9d7307f629bdc478fa0c9bc6646359976b96d0cfd549bd66c13442facfa57490,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
autoscaler/vertical-pod-autoscaler,0.9.0,default,registry.k8s.io/autoscaling/vpa-updater:1.6.0,mutable-tag,apps/v1/Deployment/default/vertical-pod-autoscaler-updater,spec.template.spec.containers.0.image,9d7307f629bdc478fa0c9bc6646359976b96d0cfd549bd66c13442facfa57490,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/default/r001/rendered/release-objects.yaml,resolve digest and record image override/proof receipt before reproducible production OCI delivery
