entry,image,pinned
aqua-trivy-operator-0-32-1-default,mirror.gcr.io/aquasec/trivy-operator:0.30.1,tag
aqua-trivy-operator-0-32-1-no-crds,mirror.gcr.io/aquasec/trivy-operator:0.30.1,tag
argo-cd-argo-cd-10-1-3-default,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,tag
argo-cd-argo-cd-10-1-3-default,ghcr.io/dexidp/dex:v2.45.1,tag
argo-cd-argo-cd-10-1-3-default,quay.io/argoproj/argocd:v3.4.5,tag
argo-cd-argo-cd-10-1-3-no-crds,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,tag
argo-cd-argo-cd-10-1-3-no-crds,ghcr.io/dexidp/dex:v2.45.1,tag
argo-cd-argo-cd-10-1-3-no-crds,quay.io/argoproj/argocd:v3.4.5,tag
argo-cd-argo-cd-10-2-1-default,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,tag
argo-cd-argo-cd-10-2-1-default,ghcr.io/dexidp/dex:v2.45.1,tag
argo-cd-argo-cd-10-2-1-default,quay.io/argoproj/argocd:v3.4.5,tag
argo-cd-argo-cd-10-2-1-no-crds,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,tag
argo-cd-argo-cd-10-2-1-no-crds,ghcr.io/dexidp/dex:v2.45.1,tag
argo-cd-argo-cd-10-2-1-no-crds,quay.io/argoproj/argocd:v3.4.5,tag
argo-cd-argo-cd-9-5-15-default,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,tag
argo-cd-argo-cd-9-5-15-default,ghcr.io/dexidp/dex:v2.45.1,tag
argo-cd-argo-cd-9-5-15-default,quay.io/argoproj/argocd:v3.4.2,tag
argo-cd-argo-cd-9-5-15-no-crds,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,tag
argo-cd-argo-cd-9-5-15-no-crds,ghcr.io/dexidp/dex:v2.45.1,tag
argo-cd-argo-cd-9-5-15-no-crds,quay.io/argoproj/argocd:v3.4.2,tag
argo-cd-argo-cd-9-5-17-default,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,tag
argo-cd-argo-cd-9-5-17-default,ghcr.io/dexidp/dex:v2.45.1,tag
argo-cd-argo-cd-9-5-17-default,quay.io/argoproj/argocd:v3.4.3,tag
argo-cd-argo-cd-9-5-17-no-crds,ecr-public.aws.com/docker/library/redis:8.2.3-alpine,tag
argo-cd-argo-cd-9-5-17-no-crds,ghcr.io/dexidp/dex:v2.45.1,tag
argo-cd-argo-cd-9-5-17-no-crds,quay.io/argoproj/argocd:v3.4.3,tag
argo-cd-argo-events-2-4-21-default,quay.io/argoproj/argo-events:v1.9.10,tag
argo-cd-argo-events-2-4-21-no-crds,quay.io/argoproj/argo-events:v1.9.10,tag
argo-cd-argo-rollouts-2-40-9-default,quay.io/argoproj/argo-rollouts:v1.9.0,tag
argo-cd-argo-rollouts-2-40-9-no-crds,quay.io/argoproj/argo-rollouts:v1.9.0,tag
argo-cd-argo-workflows-1-0-14-controller-default-reviewed,quay.io/argoproj/argocli:v4.0.5,tag
argo-cd-argo-workflows-1-0-14-controller-default-reviewed,quay.io/argoproj/workflow-controller:v4.0.5,tag
argo-cd-argo-workflows-1-0-14-default,quay.io/argoproj/argocli:v4.0.5,tag
argo-cd-argo-workflows-1-0-14-default,quay.io/argoproj/workflow-controller:v4.0.5,tag
argo-cd-argo-workflows-1-0-14-minimal-crds,quay.io/argoproj/argocli:v4.0.5,tag
argo-cd-argo-workflows-1-0-14-minimal-crds,quay.io/argoproj/workflow-controller:v4.0.5,tag
argo-cd-argocd-image-updater-1-2-2-default,quay.io/argoprojlabs/argocd-image-updater:v1.2.1,tag
autoscaler-cluster-autoscaler-9-57-0-controller-default-reviewed,registry.k8s.io/autoscaling/cluster-autoscaler:v1.35.0,tag
autoscaler-vertical-pod-autoscaler-0-9-0-default,registry.k8s.io/autoscaling/vpa-admission-controller:1.6.0,tag
autoscaler-vertical-pod-autoscaler-0-9-0-default,registry.k8s.io/autoscaling/vpa-recommender:1.6.0,tag
autoscaler-vertical-pod-autoscaler-0-9-0-default,registry.k8s.io/autoscaling/vpa-updater:1.6.0,tag
autoscaler-vertical-pod-autoscaler-0-9-0-no-crds,registry.k8s.io/autoscaling/vpa-admission-controller:1.6.0,tag
