chart,version,applicable_skills,skill_count,top_skill,matched_signals,skill_docs
aqua/trivy-operator,0.32.1,live-parity,1,live-parity,live,docs/skills/live-parity.md
argo-cd/argo-cd,9.5.15,live-parity,1,live-parity,live,docs/skills/live-parity.md
argo-cd/argo-cd,9.5.17,live-parity,1,live-parity,live,docs/skills/live-parity.md
argo-cd/argo-events,2.4.21,live-parity,1,live-parity,live,docs/skills/live-parity.md
argo-cd/argo-rollouts,2.40.9,live-parity,1,live-parity,live,docs/skills/live-parity.md
argo-cd/argo-workflows,1.0.14,hook-and-secret-lifecycle; live-parity,2,hook-and-secret-lifecycle,hooks:1; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/live-parity.md
argo-cd/argocd-image-updater,1.2.2,live-parity,1,live-parity,live,docs/skills/live-parity.md
autoscaler/cluster-autoscaler,9.57.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
autoscaler/vertical-pod-autoscaler,0.9.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,,0,none,,
bitnami/apache,11.4.29,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; lookup; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
bitnami/contour,21.1.4,hook-and-secret-lifecycle; target-facts-and-lifecycle; large-app-evidence-funnel,3,hook-and-secret-lifecycle,generated-facts; crds; lookup,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md
bitnami/elasticsearch,22.1.6,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; lookup; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
bitnami/memcached,8.5.5,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; lookup; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
bitnami/mongodb,19.0.7,hook-and-secret-lifecycle; target-facts-and-lifecycle; live-parity,3,hook-and-secret-lifecycle,generated-facts; lookup; stateful-storage; live,docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md
bitnami/mongodb,19.0.9,live-parity,1,live-parity,live,docs/skills/live-parity.md
bitnami/mongodb,19.1.0,live-parity,1,live-parity,live,docs/skills/live-parity.md
