chart,variant,lane,lane_label,recorded,disposition,derived,reason,next_action,owner
aqua/trivy-operator@0.32.1,default,render_parity,R,pass,pass,no,,,
aqua/trivy-operator@0.32.1,default,in_confighub,C,pass,pass,no,,,
aqua/trivy-operator@0.32.1,default,local_live,L,pass,pass,no,,,
aqua/trivy-operator@0.32.1,default,gitops_oci_live,G,pass,pass,no,,,
aqua/trivy-operator@0.32.1,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
aqua/trivy-operator@0.32.1,default,two_cluster_kind_parity,K,pass,pass,no,,,
aqua/trivy-operator@0.32.1,no-crds,render_parity,R,pass,pass,no,,,
aqua/trivy-operator@0.32.1,no-crds,in_confighub,C,pass,pass,no,,,
aqua/trivy-operator@0.32.1,no-crds,local_live,L,pass,pass,no,,,
aqua/trivy-operator@0.32.1,no-crds,gitops_oci_live,G,pass,pass,no,,,
aqua/trivy-operator@0.32.1,no-crds,live_helm_vs_confighub_parity,P,pass,pass,no,,,
aqua/trivy-operator@0.32.1,no-crds,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,default,render_parity,R,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,default,in_confighub,C,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,default,local_live,L,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,default,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,default,two_cluster_kind_parity,K,missing,todo,yes,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,either
argo-cd/argo-cd@9.5.15,no-crds,render_parity,R,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,no-crds,in_confighub,C,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,no-crds,local_live,L,blocked,blocked,no,,,
argo-cd/argo-cd@9.5.15,no-crds,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,no-crds,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-cd@9.5.15,no-crds,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,default,render_parity,R,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,default,in_confighub,C,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,default,local_live,L,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,default,gitops_oci_live,G,watch,watch,no,,,
argo-cd/argo-cd@9.5.17,default,live_helm_vs_confighub_parity,P,watch,watch,no,,,
argo-cd/argo-cd@9.5.17,default,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,no-crds,render_parity,R,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,no-crds,in_confighub,C,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,no-crds,local_live,L,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,no-crds,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,no-crds,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-cd@9.5.17,no-crds,two_cluster_kind_parity,K,missing,todo,yes,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,either
argo-cd/argo-events@2.4.21,default,render_parity,R,pass,pass,no,,,
argo-cd/argo-events@2.4.21,default,in_confighub,C,pass,pass,no,,,
argo-cd/argo-events@2.4.21,default,local_live,L,pass,pass,no,,,
argo-cd/argo-events@2.4.21,default,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-events@2.4.21,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-events@2.4.21,default,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-events@2.4.21,no-crds,render_parity,R,pass,pass,no,,,
argo-cd/argo-events@2.4.21,no-crds,in_confighub,C,pass,pass,no,,,
argo-cd/argo-events@2.4.21,no-crds,local_live,L,pass,pass,no,,,
argo-cd/argo-events@2.4.21,no-crds,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-events@2.4.21,no-crds,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-events@2.4.21,no-crds,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,default,render_parity,R,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,default,in_confighub,C,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,default,local_live,L,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,default,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,default,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,no-crds,render_parity,R,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,no-crds,in_confighub,C,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,no-crds,local_live,L,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,no-crds,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,no-crds,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-rollouts@2.40.9,no-crds,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,controller-default-reviewed,render_parity,R,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,controller-default-reviewed,in_confighub,C,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,controller-default-reviewed,local_live,L,blocked,blocked,no,,,
argo-cd/argo-workflows@1.0.14,controller-default-reviewed,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,controller-default-reviewed,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,controller-default-reviewed,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,default,render_parity,R,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,default,in_confighub,C,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,default,local_live,L,blocked,blocked,no,,,
argo-cd/argo-workflows@1.0.14,default,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,default,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,minimal-crds,render_parity,R,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,minimal-crds,in_confighub,C,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,minimal-crds,local_live,L,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,minimal-crds,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,minimal-crds,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argo-workflows@1.0.14,minimal-crds,two_cluster_kind_parity,K,pass,pass,no,,,
argo-cd/argocd-image-updater@1.2.2,default,render_parity,R,pass,pass,no,,,
argo-cd/argocd-image-updater@1.2.2,default,in_confighub,C,pass,pass,no,,,
argo-cd/argocd-image-updater@1.2.2,default,local_live,L,pass,pass,no,,,
argo-cd/argocd-image-updater@1.2.2,default,gitops_oci_live,G,pass,pass,no,,,
argo-cd/argocd-image-updater@1.2.2,default,live_helm_vs_confighub_parity,P,pass,pass,no,,,
argo-cd/argocd-image-updater@1.2.2,default,two_cluster_kind_parity,K,pass,pass,no,,,
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,render_parity,R,pass,pass,no,,,
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,in_confighub,C,pass,pass,no,,,
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,local_live,L,pass,pass,no,,,
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,gitops_oci_live,G,pass,pass,no,,,
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,live_helm_vs_confighub_parity,P,pass,pass,no,,,
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,two_cluster_kind_parity,K,blocked,blocked,no,,,
autoscaler/cluster-autoscaler@9.57.0,default,render_parity,R,pass,pass,no,,,
