chart,edge_type,from_variant,to_variant,inherited_paths,overridden_paths,added_paths,removed_paths,field_reachability_paths,target_fact_edges,generated_fact_edges,graph
argo-cd/argo-cd@9.5.15,base-self,default,default,0,,,,,1,0,recipes/argo-cd/argo-cd/9.5.15/inheritance-graph.yaml
argo-cd/argo-cd@9.5.15,inherits-with-overrides,default,no-crds,0,,crds.install,,,4,0,recipes/argo-cd/argo-cd/9.5.15/inheritance-graph.yaml
argo-cd/argo-cd@9.5.15,target-fact,,default,,,Secret/argocd/argocd-redis:auth,,,1,0,recipes/argo-cd/argo-cd/9.5.15/inheritance-graph.yaml
argo-cd/argo-cd@9.5.15,target-fact,,no-crds,,,Secret/argocd/argocd-redis:auth,,,1,0,recipes/argo-cd/argo-cd/9.5.15/inheritance-graph.yaml
argo-cd/argo-cd@9.5.15,target-fact,,no-crds,,,CRD/applications.argoproj.io,,,1,0,recipes/argo-cd/argo-cd/9.5.15/inheritance-graph.yaml
argo-cd/argo-cd@9.5.15,target-fact,,no-crds,,,CRD/applicationsets.argoproj.io,,,1,0,recipes/argo-cd/argo-cd/9.5.15/inheritance-graph.yaml
argo-cd/argo-cd@9.5.15,target-fact,,no-crds,,,CRD/appprojects.argoproj.io,,,1,0,recipes/argo-cd/argo-cd/9.5.15/inheritance-graph.yaml
bitnami/mongodb@19.0.7,base-self,generated-passwords,generated-passwords,2,,,,,0,0,recipes/bitnami/mongodb/19.0.7/inheritance-graph.yaml
bitnami/mongodb@19.0.7,inherits-with-overrides,generated-passwords,existing-secret-replicaset,1,,architecture;auth.existingSecret,auth.rootPassword,,1,0,recipes/bitnami/mongodb/19.0.7/inheritance-graph.yaml
bitnami/mongodb@19.0.7,target-fact,,existing-secret-replicaset,,,Secret/mongodb/mongodb-auth:mongodb-root-password+mongodb-replica-set-key,,,1,0,recipes/bitnami/mongodb/19.0.7/inheritance-graph.yaml
bitnami/mysql@14.0.3,base-self,generated-passwords,generated-passwords,5,,,,,0,0,recipes/bitnami/mysql/14.0.3/inheritance-graph.yaml
