chart_path,base_variant,chart,version,flag_profile,env_id,tz,locale,deterministic,digest,matches_baseline_env,os,arch,helm_version
bitnami/redis/25.5.3,default,bitnami/redis,25.5.3,standard,baseline-utc-c,UTC,C,true,17d5c0c393666054beab10a7e599abb711c258b7c85a75c12499cd238e7afb4b,,darwin,arm64,v4.1.4
bitnami/redis/25.5.3,default,bitnami/redis,25.5.3,standard,tz-new-york,America/New_York,C,true,17d5c0c393666054beab10a7e599abb711c258b7c85a75c12499cd238e7afb4b,true,darwin,arm64,v4.1.4
bitnami/redis/25.5.3,default,bitnami/redis,25.5.3,standard,tz-tokyo,Asia/Tokyo,C,true,17d5c0c393666054beab10a7e599abb711c258b7c85a75c12499cd238e7afb4b,true,darwin,arm64,v4.1.4
bitnami/redis/25.5.3,default,bitnami/redis,25.5.3,standard,locale-en-us-utf8,UTC,en_US.UTF-8,true,17d5c0c393666054beab10a7e599abb711c258b7c85a75c12499cd238e7afb4b,true,darwin,arm64,v4.1.4
bitnami/redis/25.5.3,default,bitnami/redis,25.5.3,standard,locale-turkish-utf8,UTC,tr_TR.UTF-8,true,17d5c0c393666054beab10a7e599abb711c258b7c85a75c12499cd238e7afb4b,true,darwin,arm64,v4.1.4
bitnami/redis/25.5.3,default,bitnami/redis,25.5.3,no-include-crds,baseline-utc-c,UTC,C,true,17d5c0c393666054beab10a7e599abb711c258b7c85a75c12499cd238e7afb4b,,darwin,arm64,v4.1.4
bitnami/redis/25.5.3,default,bitnami/redis,25.5.3,with-hooks,baseline-utc-c,UTC,C,true,17d5c0c393666054beab10a7e599abb711c258b7c85a75c12499cd238e7afb4b,,darwin,arm64,v4.1.4
bitnami/redis/27.0.0,default,bitnami/redis,27.0.0,standard,baseline-utc-c,UTC,C,true,758467319ec109764b55ee730ba51a37a2196744f45f5c064f212bfc176178f0,,darwin,arm64,v4.1.4
bitnami/redis/27.0.0,default,bitnami/redis,27.0.0,standard,tz-new-york,America/New_York,C,true,758467319ec109764b55ee730ba51a37a2196744f45f5c064f212bfc176178f0,true,darwin,arm64,v4.1.4
bitnami/redis/27.0.0,default,bitnami/redis,27.0.0,standard,tz-tokyo,Asia/Tokyo,C,true,758467319ec109764b55ee730ba51a37a2196744f45f5c064f212bfc176178f0,true,darwin,arm64,v4.1.4
bitnami/redis/27.0.0,default,bitnami/redis,27.0.0,standard,locale-en-us-utf8,UTC,en_US.UTF-8,true,758467319ec109764b55ee730ba51a37a2196744f45f5c064f212bfc176178f0,true,darwin,arm64,v4.1.4
bitnami/redis/27.0.0,default,bitnami/redis,27.0.0,standard,locale-turkish-utf8,UTC,tr_TR.UTF-8,true,758467319ec109764b55ee730ba51a37a2196744f45f5c064f212bfc176178f0,true,darwin,arm64,v4.1.4
bitnami/redis/27.0.0,default,bitnami/redis,27.0.0,no-include-crds,baseline-utc-c,UTC,C,true,758467319ec109764b55ee730ba51a37a2196744f45f5c064f212bfc176178f0,,darwin,arm64,v4.1.4
bitnami/redis/27.0.0,default,bitnami/redis,27.0.0,with-hooks,baseline-utc-c,UTC,C,true,758467319ec109764b55ee730ba51a37a2196744f45f5c064f212bfc176178f0,,darwin,arm64,v4.1.4
bitnami/nginx/24.0.2,http-clusterip,bitnami/nginx,24.0.2,standard,baseline-utc-c,UTC,C,true,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,,darwin,arm64,v4.1.4
bitnami/nginx/24.0.2,http-clusterip,bitnami/nginx,24.0.2,standard,tz-new-york,America/New_York,C,true,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,true,darwin,arm64,v4.1.4
bitnami/nginx/24.0.2,http-clusterip,bitnami/nginx,24.0.2,standard,tz-tokyo,Asia/Tokyo,C,true,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,true,darwin,arm64,v4.1.4
bitnami/nginx/24.0.2,http-clusterip,bitnami/nginx,24.0.2,standard,locale-en-us-utf8,UTC,en_US.UTF-8,true,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,true,darwin,arm64,v4.1.4
bitnami/nginx/24.0.2,http-clusterip,bitnami/nginx,24.0.2,standard,locale-turkish-utf8,UTC,tr_TR.UTF-8,true,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,true,darwin,arm64,v4.1.4
bitnami/nginx/24.0.2,http-clusterip,bitnami/nginx,24.0.2,no-include-crds,baseline-utc-c,UTC,C,true,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,,darwin,arm64,v4.1.4
bitnami/nginx/24.0.2,http-clusterip,bitnami/nginx,24.0.2,with-hooks,baseline-utc-c,UTC,C,true,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,,darwin,arm64,v4.1.4
prometheus-community/kube-prometheus-stack/85.3.3,default,prometheus-community/kube-prometheus-stack,85.3.3,standard,baseline-utc-c,UTC,C,true,9fac2a0e4140eee298c84ce61f13dd8ca392bb92e2037d0ef0aaa4d8015ee491,,darwin,arm64,v4.1.4
prometheus-community/kube-prometheus-stack/85.3.3,default,prometheus-community/kube-prometheus-stack,85.3.3,standard,tz-new-york,America/New_York,C,true,9fac2a0e4140eee298c84ce61f13dd8ca392bb92e2037d0ef0aaa4d8015ee491,true,darwin,arm64,v4.1.4
prometheus-community/kube-prometheus-stack/85.3.3,default,prometheus-community/kube-prometheus-stack,85.3.3,standard,tz-tokyo,Asia/Tokyo,C,true,9fac2a0e4140eee298c84ce61f13dd8ca392bb92e2037d0ef0aaa4d8015ee491,true,darwin,arm64,v4.1.4
prometheus-community/kube-prometheus-stack/85.3.3,default,prometheus-community/kube-prometheus-stack,85.3.3,standard,locale-en-us-utf8,UTC,en_US.UTF-8,true,9fac2a0e4140eee298c84ce61f13dd8ca392bb92e2037d0ef0aaa4d8015ee491,true,darwin,arm64,v4.1.4
prometheus-community/kube-prometheus-stack/85.3.3,default,prometheus-community/kube-prometheus-stack,85.3.3,standard,locale-turkish-utf8,UTC,tr_TR.UTF-8,true,9fac2a0e4140eee298c84ce61f13dd8ca392bb92e2037d0ef0aaa4d8015ee491,true,darwin,arm64,v4.1.4
prometheus-community/kube-prometheus-stack/85.3.3,default,prometheus-community/kube-prometheus-stack,85.3.3,no-include-crds,baseline-utc-c,UTC,C,true,3f6049fc2b7a40bbfb009b347880e3f319a87c9b60a6fd274220287a10167fc2,,darwin,arm64,v4.1.4
prometheus-community/kube-prometheus-stack/85.3.3,default,prometheus-community/kube-prometheus-stack,85.3.3,with-hooks,baseline-utc-c,UTC,C,true,c3d25cc59ac14c52d348ab2d9c6dd5736417685b745f12514c1f9bdfd0f03460,,darwin,arm64,v4.1.4
