chart,version,variant,scanner,scannerVersion,result,exitCode,findingCount,topChecks,renderedSHA256,renderedPath
argo-cd/argo-cd,9.5.15,default,kube-linter,0.8.3,warn,1,18,unset-cpu-requirements:9;unset-memory-requirements:9,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml
argo-cd/argo-cd,9.5.15,no-crds,kube-linter,0.8.3,warn,1,18,unset-cpu-requirements:9;unset-memory-requirements:9,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml
bitnami/mongodb,19.0.7,existing-secret-replicaset,kube-linter,0.8.3,warn,1,2,pdb-unhealthy-pod-eviction-policy:2,3723a87004e25f813534be469bf648b6d6b80357fb01e47e465f775dcaec9231,recipes/bitnami/mongodb/19.0.7/revisions/existing-secret-replicaset/r001/rendered/release-objects.yaml
bitnami/mongodb,19.0.7,generated-passwords,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,ce99d9a7867d5cb7ea0f0f983d092600ec1bb24ce50e969d1032bdbf937e8fdf,recipes/bitnami/mongodb/19.0.7/revisions/generated-passwords/r001/rendered/release-objects.yaml
bitnami/mysql,14.0.3,existing-secret,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,024c04f020fbe5cc7af518d743a68e055f999e88a6633b278adccc769c1b7fa8,recipes/bitnami/mysql/14.0.3/revisions/existing-secret/r001/rendered/release-objects.yaml
bitnami/mysql,14.0.3,generated-passwords,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,04e856bfa75859dc9d8e45c61d49ad566494a7f66c257da9113ad26ca1696380,recipes/bitnami/mysql/14.0.3/revisions/generated-passwords/r001/rendered/release-objects.yaml
bitnami/nginx,24.0.2,existing-tls-ingress,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,cb5cdb64d2f05a0f3e2b2d07facc3d08705f86b3a34a3f52c891bdbd28d44e8f,recipes/bitnami/nginx/24.0.2/revisions/existing-tls-ingress/r001/rendered/release-objects.yaml
bitnami/nginx,24.0.2,http-clusterip,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,recipes/bitnami/nginx/24.0.2/revisions/http-clusterip/r001/rendered/release-objects.yaml
bitnami/postgresql,18.6.7,existing-secret,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,595ce44f8c11b10ad1817bf57141529864efd48318a6a97a6e914d3669bb90dd,recipes/bitnami/postgresql/18.6.7/revisions/existing-secret/r001/rendered/release-objects.yaml
bitnami/postgresql,18.6.7,generated-passwords,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,db49bd6d27e0deaed0b9e314f0527bc2d9468b7be10f9bbdaad14593f0b65a6b,recipes/bitnami/postgresql/18.6.7/revisions/generated-passwords/r001/rendered/release-objects.yaml
bitnami/rabbitmq,16.0.14,existing-secret,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,cdff3262264844b099e7f4421f1bbd5027360c2d23ba34667506d85255c4b6f2,recipes/bitnami/rabbitmq/16.0.14/revisions/existing-secret/r001/rendered/release-objects.yaml
bitnami/rabbitmq,16.0.14,generated-passwords,kube-linter,0.8.3,warn,1,1,pdb-unhealthy-pod-eviction-policy:1,81187ce4367f5196ddbaa35ea55b972698f8a474d78a2cdc2908b12290c89f31,recipes/bitnami/rabbitmq/16.0.14/revisions/generated-passwords/r001/rendered/release-objects.yaml
bitnami/redis,25.5.3,default,kube-linter,0.8.3,warn,1,2,pdb-unhealthy-pod-eviction-policy:2,175caf404c4a005708398d2facd696a8500ef4280c47c682b7bae6273a91272e,recipes/bitnami/redis/25.5.3/revisions/default/r001/rendered/release-objects.yaml
bitnami/redis,25.5.3,reuse-existing-secret,kube-linter,0.8.3,warn,1,2,pdb-unhealthy-pod-eviction-policy:2,55f424589dfd8581580a51659cdf46e52180961ddbf9f6b7b244d0aacc42546f,recipes/bitnami/redis/25.5.3/revisions/reuse-existing-secret/r001/rendered/release-objects.yaml
external-secrets/external-secrets,2.5.0,default,kube-linter,0.8.3,warn,1,6,unset-cpu-requirements:3;unset-memory-requirements:3,f1c832a9af788c9d2a7a0b066d76a7d8af253d83f5b0fa39c1aa91271230d3db,recipes/external-secrets/external-secrets/2.5.0/revisions/default/r001/rendered/release-objects.yaml
external-secrets/external-secrets,2.5.0,no-crds,kube-linter,0.8.3,warn,1,6,unset-cpu-requirements:3;unset-memory-requirements:3,da5857fba93e0394594d7e072b31e3cf28985392b5cc0443730a23b722d7670b,recipes/external-secrets/external-secrets/2.5.0/revisions/no-crds/r001/rendered/release-objects.yaml
grafana/grafana,10.5.15,existing-secret-ingress,kube-linter,0.8.3,warn,1,3,no-read-only-root-fs:1;unset-cpu-requirements:1;unset-memory-requirements:1,04b1fc4abd47d12c2eef1e06e7f4dc7cb2dd6ffd639a7a8967bda1c98a00fb60,recipes/grafana/grafana/10.5.15/revisions/existing-secret-ingress/r001/rendered/release-objects.yaml
grafana/grafana,10.5.15,generated-passwords,kube-linter,0.8.3,warn,1,3,no-read-only-root-fs:1;unset-cpu-requirements:1;unset-memory-requirements:1,893351c9b8cad0a10b0176a946bf514a76c5895bdb2d88a31bdd53a94288066d,recipes/grafana/grafana/10.5.15/revisions/generated-passwords/r001/rendered/release-objects.yaml
grafana/loki,7.0.0,simple-scalable-minio,kube-linter,0.8.3,warn,1,18,unset-memory-requirements:9;unset-cpu-requirements:8;no-read-only-root-fs:1,91787d0999a776a5b32de6fa06264eb4ba43bc520a66f82234a07cdf94c2f207,recipes/grafana/loki/7.0.0/revisions/simple-scalable-minio/r001/rendered/release-objects.yaml
grafana/loki,7.0.0,single-binary-filesystem,kube-linter,0.8.3,warn,1,12,unset-cpu-requirements:6;unset-memory-requirements:6,6c1e4c38271f2c48cb66ac6e39be8643524e774fec8cf363875c66bf3ea2bb30,recipes/grafana/loki/7.0.0/revisions/single-binary-filesystem/r001/rendered/release-objects.yaml
