repository,chart,version,hooks,keep_policy,lookup,webhooks,capabilities,generated_secrets,test_hooks,namespace,crd_documents,gated_subcharts,scanned_files,decided_lanes
aqua,trivy-operator,0.32.1,0,0,1,0,0,0,0,1,12,0,46,default:unsafe-to-flatten; no-crds:unsafe-to-flatten
argo-cd,argo-cd,10.1.3,6,3,0,0,16,0,2,0,3,1,170,default:flatten-with-routes; no-crds:flatten-with-routes
argo-cd,argo-cd,10.2.1,6,3,0,0,16,0,2,0,3,1,170,default:flatten-with-routes; no-crds:flatten-with-routes
argo-cd,argo-cd,9.5.15,6,3,0,0,16,0,2,0,3,1,168,default:flatten-with-routes; no-crds:flatten-with-routes
argo-cd,argo-cd,9.5.17,6,3,0,0,16,0,2,0,3,1,168,default:flatten-with-routes; no-crds:flatten-with-routes
argo-cd,argo-events,2.4.21,0,3,0,0,1,0,0,0,3,0,21,default:flatten-with-routes; no-crds:safe-to-flatten
argo-cd,argo-rollouts,2.40.9,0,5,0,0,1,0,0,0,5,0,29,default:flatten-with-routes; no-crds:safe-to-flatten
argo-cd,argo-workflows,1.0.14,4,9,0,0,3,0,0,0,8,0,45,controller-default-reviewed:flatten-with-routes; default:flatten-with-routes; minimal-crds:flatten-with-routes
argo-cd,argocd-image-updater,1.2.2,0,1,0,0,0,0,0,0,1,0,18,default:flatten-with-routes
autoscaler,cluster-autoscaler,9.57.0,0,0,0,0,4,0,0,0,0,0,20,controller-default-reviewed:safe-to-flatten; default:safe-to-flatten
autoscaler,vertical-pod-autoscaler,0.9.0,7,0,0,1,0,1,0,0,2,0,33,default:flatten-with-routes; no-crds:flatten-with-routes
aws-controllers-k8s,ec2-chart,1.18.4,0,0,0,0,0,0,0,0,22,0,37,default:flatten-with-routes; eks-inference:flatten-with-routes
aws-controllers-k8s,eks-chart,1.16.3,0,0,0,0,0,0,0,0,10,0,25,default:flatten-with-routes; eks-inference:flatten-with-routes
aws-controllers-k8s,iam-chart,1.7.3,0,0,0,0,0,0,0,0,9,0,24,default:flatten-with-routes; eks-inference:flatten-with-routes
aws-ebs-csi-driver,aws-ebs-csi-driver,2.60.1,5,0,0,0,9,0,5,0,0,0,33,default:safe-to-flatten
bitnami,apache,11.4.29,0,0,3,0,5,7,0,0,0,0,41,default:safe-to-flatten; legacy:unsafe-to-flatten
bitnami,contour,21.1.4,4,0,3,0,5,7,0,0,15,0,63,default:unsafe-to-flatten; legacy:unsafe-to-flatten; no-crds:unsafe-to-flatten
bitnami,elasticsearch,22.1.6,1,0,6,0,10,24,0,0,0,1,108,default:safe-to-flatten; ha:unsafe-to-flatten; legacy:unsafe-to-flatten
bitnami,memcached,8.5.5,0,0,3,0,5,6,0,0,0,0,41,default:safe-to-flatten
bitnami,mongodb,19.0.7,0,2,4,0,5,15,0,0,0,0,85,default:unsafe-to-flatten; existing-secret-replicaset:unsafe-to-flatten; static-passwords:unsafe-to-flatten
bitnami,mongodb,19.0.9,0,2,4,0,5,15,0,0,0,0,85,existing-secret-replicaset:unsafe-to-flatten; static-passwords:unsafe-to-flatten
bitnami,mongodb,19.1.0,0,2,4,0,5,15,0,0,0,0,85,existing-secret-replicaset:unsafe-to-flatten; static-passwords:unsafe-to-flatten
bitnami,mysql,14.0.3,0,0,3,0,5,10,0,0,0,0,54,default:unsafe-to-flatten; existing-secret:unsafe-to-flatten; static-passwords:unsafe-to-flatten
bitnami,nginx,24.0.2,0,0,5,0,5,11,0,0,0,0,47,default:unsafe-to-flatten; existing-tls-ingress:unsafe-to-flatten; http-clusterip:unsafe-to-flatten
bitnami,nginx,24.0.4,0,0,5,0,5,11,0,0,0,0,47,existing-tls-ingress:unsafe-to-flatten; http-clusterip:unsafe-to-flatten
bitnami,nginx,25.0.0,0,0,5,0,5,11,0,0,0,0,48,existing-tls-ingress:unsafe-to-flatten; http-clusterip:unsafe-to-flatten
bitnami,opensearch,2.0.10,0,1,3,0,5,22,0,0,0,0,89,default:safe-to-flatten; ha:unsafe-to-flatten; legacy:unsafe-to-flatten
bitnami,phpmyadmin,20.0.0,0,0,7,0,10,18,0,0,0,1,90,default:safe-to-flatten; legacy:unsafe-to-flatten
