recipe,repository,chart,version,status,detail,witness
recipes/aqua/trivy-operator/0.32.1,aqua,trivy-operator,0.32.1,current,witness already matches the locked hash,data/flattening-safety/witnesses/aqua-trivy-operator-0.32.1.yaml
recipes/argo-cd/argo-cd/10.1.3,argo-cd,argo-cd,10.1.3,current,witness already matches the locked hash,data/flattening-safety/witnesses/argo-cd-argo-cd-10.1.3.yaml
recipes/argo-cd/argo-cd/10.2.1,argo-cd,argo-cd,10.2.1,current,witness already matches the locked hash,data/flattening-safety/witnesses/argo-cd-argo-cd-10.2.1.yaml
recipes/argo-cd/argo-cd/9.5.15,argo-cd,argo-cd,9.5.15,current,witness already matches the locked hash,data/flattening-safety/witnesses/argo-cd-argo-cd-9.5.15.yaml
recipes/argo-cd/argo-cd/9.5.17,argo-cd,argo-cd,9.5.17,current,witness already matches the locked hash,data/flattening-safety/witnesses/argo-cd-argo-cd-9.5.17.yaml
recipes/argo-cd/argo-events/2.4.21,argo-cd,argo-events,2.4.21,current,witness already matches the locked hash,data/flattening-safety/witnesses/argo-cd-argo-events-2.4.21.yaml
recipes/argo-cd/argo-rollouts/2.40.9,argo-cd,argo-rollouts,2.40.9,scanned,,data/flattening-safety/witnesses/argo-cd-argo-rollouts-2.40.9.yaml
recipes/argo-cd/argo-workflows/1.0.14,argo-cd,argo-workflows,1.0.14,scanned,,data/flattening-safety/witnesses/argo-cd-argo-workflows-1.0.14.yaml
recipes/argo-cd/argocd-image-updater/1.2.2,argo-cd,argocd-image-updater,1.2.2,scanned,,data/flattening-safety/witnesses/argo-cd-argocd-image-updater-1.2.2.yaml
recipes/autoscaler/cluster-autoscaler/9.57.0,autoscaler,cluster-autoscaler,9.57.0,scanned,,data/flattening-safety/witnesses/autoscaler-cluster-autoscaler-9.57.0.yaml
recipes/autoscaler/vertical-pod-autoscaler/0.9.0,autoscaler,vertical-pod-autoscaler,0.9.0,scanned,,data/flattening-safety/witnesses/autoscaler-vertical-pod-autoscaler-0.9.0.yaml
recipes/aws-controllers-k8s/ec2-chart/1.18.4,aws-controllers-k8s,ec2-chart,1.18.4,current,witness already matches the locked hash,data/flattening-safety/witnesses/aws-controllers-k8s-ec2-chart-1.18.4.yaml
recipes/aws-controllers-k8s/eks-chart/1.16.3,aws-controllers-k8s,eks-chart,1.16.3,current,witness already matches the locked hash,data/flattening-safety/witnesses/aws-controllers-k8s-eks-chart-1.16.3.yaml
recipes/aws-controllers-k8s/iam-chart/1.7.3,aws-controllers-k8s,iam-chart,1.7.3,current,witness already matches the locked hash,data/flattening-safety/witnesses/aws-controllers-k8s-iam-chart-1.7.3.yaml
recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,aws-ebs-csi-driver,aws-ebs-csi-driver,2.60.1,scanned,,data/flattening-safety/witnesses/aws-ebs-csi-driver-aws-ebs-csi-driver-2.60.1.yaml
recipes/bitnami/apache/11.4.29,bitnami,apache,11.4.29,scanned,,data/flattening-safety/witnesses/bitnami-apache-11.4.29.yaml
recipes/bitnami/contour/21.1.4,bitnami,contour,21.1.4,scanned,,data/flattening-safety/witnesses/bitnami-contour-21.1.4.yaml
recipes/bitnami/elasticsearch/22.1.6,bitnami,elasticsearch,22.1.6,scanned,,data/flattening-safety/witnesses/bitnami-elasticsearch-22.1.6.yaml
recipes/bitnami/memcached/8.5.5,bitnami,memcached,8.5.5,scanned,,data/flattening-safety/witnesses/bitnami-memcached-8.5.5.yaml
recipes/bitnami/mongodb/19.0.7,bitnami,mongodb,19.0.7,scanned,,data/flattening-safety/witnesses/bitnami-mongodb-19.0.7.yaml
recipes/bitnami/mongodb/19.0.9,bitnami,mongodb,19.0.9,scanned,,data/flattening-safety/witnesses/bitnami-mongodb-19.0.9.yaml
recipes/bitnami/mongodb/19.1.0,bitnami,mongodb,19.1.0,scanned,,data/flattening-safety/witnesses/bitnami-mongodb-19.1.0.yaml
recipes/bitnami/mysql/14.0.3,bitnami,mysql,14.0.3,scanned,,data/flattening-safety/witnesses/bitnami-mysql-14.0.3.yaml
