chart,version,base,result,classification,observed_at,receipt,app_sync,app_health,root_app_sync,root_app_health,operation_phase,argocd_core_result,argocd_core_tree_result,argocd_core_json_artifact,argocd_core_tree_artifact,root_argocd_core_result,conditions,resource_count,resource_synced,resource_unsynced,resource_health_healthy,resource_health_progressing,resource_health_degraded,resource_health_suspended,resource_health_missing,resource_health_unknown,resource_health_blank,residue_count,residue_resources,next_action
argo-cd/argo-cd,9.5.17,default,watch,sync-not-complete,2026-06-14T18:53:29Z,runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml,unknown,unknown,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,Inspect GitOps source/revision/sync state before treating this as workload parity.
bitnami/mongodb,19.0.9,existing-secret-replicaset,watch,sync-not-complete,2026-06-14T22:11:23Z,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-0-9/receipt.yaml,OutOfSync,Healthy,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-0-9/argocd-core-child.json sha256:ad6a08cd47cc6bdfb6c4fc132db81c8e3e9088712f6a6a5017a6f891163728af 11062 bytes,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-0-9/argocd-core-child-tree.txt sha256:b7df6b0145c9c255b65f352ae76cce608852bb5675c72961489957ec9fb642f4 2504 bytes,pass,0,11,10,1,6,0,0,0,0,0,5,1,StatefulSet/mongodb-oci/mongodb:OutOfSync/Healthy,Inspect GitOps source/revision/sync state before treating this as workload parity.
bitnami/mongodb,19.1.0,existing-secret-replicaset,watch,sync-not-complete,2026-06-14T22:48:49Z,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-1-0/receipt.yaml,OutOfSync,Healthy,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-1-0/argocd-core-child.json sha256:f015b3fb64bae87ad3781dcc42eab851d5564d4229e657ee117ad18ae7a67b2e 11061 bytes,runs/live-helm-confighub-compare/bitnami-mongodb-existing-secret-replicaset-19-1-0/argocd-core-child-tree.txt sha256:10c71d23a6df07d87b240079b5f88c1498fed15a887008ae0235a4857cba634d 2484 bytes,pass,0,11,10,1,6,0,0,0,0,0,5,1,StatefulSet/mongodb-oci/mongodb:OutOfSync/Healthy,Inspect GitOps source/revision/sync state before treating this as workload parity.
bitnami/nginx,24.0.4,existing-tls-ingress,watch,resource-or-condition-residue,2026-06-14T23:20:11Z,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-24-0-4/receipt.yaml,Synced,Progressing,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-24-0-4/argocd-core-child.json sha256:bbc45cd7c6f0ecb0d30feb32bd843cb4c24487db233e55d49c3a983f974e4a86 11794 bytes,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-24-0-4/argocd-core-child-tree.txt sha256:6d54044521ab121564bd0fbe8efdcaa803a2310d435248911491c3c0f7df9571 1553 bytes,pass,0,7,7,0,3,1,0,0,0,0,3,1,Ingress/nginx/nginx:Synced/Progressing,"Name the specific resource or condition (Ingress/nginx/nginx:Synced/Progressing), fix the target/lifecycle issue or record a bounded watch policy, then rerun."
bitnami/nginx,25.0.0,existing-tls-ingress,watch,resource-or-condition-residue,2026-06-14T23:43:47Z,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-25-0-0/receipt.yaml,Synced,Progressing,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-25-0-0/argocd-core-child.json sha256:0a2e67bb9c58a26d81a1c19894e15a83cbc3c47d4849dfe262035e398ea12c25 11783 bytes,runs/live-helm-confighub-compare/bitnami-nginx-existing-tls-ingress-25-0-0/argocd-core-child-tree.txt sha256:23a940c6ec034313ff8035614f0cb5bd5e39d4e9be5ad97b45679112052b6986 1551 bytes,pass,0,7,7,0,3,1,0,0,0,0,3,1,Ingress/nginx/nginx:Synced/Progressing,"Name the specific resource or condition (Ingress/nginx/nginx:Synced/Progressing), fix the target/lifecycle issue or record a bounded watch policy, then rerun."
bitnami/opensearch,2.0.10,default,watch,resource-or-condition-residue,2026-06-15T12:46:25Z,runs/live-helm-confighub-compare/bitnami-opensearch-default/receipt.yaml,Synced,Progressing,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/bitnami-opensearch-default/argocd-core-child.json sha256:077d62c87c221a98aeac8c0b44eeda89ae21f2dea77d1181f6db9cd615d411c6 20260 bytes,runs/live-helm-confighub-compare/bitnami-opensearch-default/argocd-core-child-tree.txt sha256:df7dd9992ac7508750825536fa9760705a2d74a1382f077fc38a714340288a69 5216 bytes,pass,0,19,19,0,9,4,0,0,0,0,6,4,StatefulSet/default/opensearch-coordinating:Synced/Progressing; StatefulSet/default/opensearch-data:Synced/Progressing; StatefulSet/default/opensearch-ingest:Synced/Progressing; StatefulSet/default/opensearch-master:Synced/Progressing,"Name the specific resource or condition (StatefulSet/default/opensearch-coordinating:Synced/Progressing; StatefulSet/default/opensearch-data:Synced/Progressing; StatefulSet/default/opensearch-ingest:Synced/Progressing; StatefulSet/default/opensearch-master:Synced/Progressing), fix the target/lifecycle issue or record a bounded watch policy, then rerun."
fluent/fluentd,0.5.3,default,watch,resource-or-condition-residue,2026-06-15T01:40:55Z,runs/live-helm-confighub-compare/fluent-fluentd-default/receipt.yaml,Synced,Progressing,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/fluent-fluentd-default/argocd-core-child.json sha256:3b3c22db1126a91d08565cf8207791dde3261479c24ca39408954cd1c7dc172c 14337 bytes,runs/live-helm-confighub-compare/fluent-fluentd-default/argocd-core-child-tree.txt sha256:31fe9d42848692e94a1c81c6dbee223a669c06d1fc41d98a9feae1ad810219cf 2336 bytes,pass,0,11,11,0,1,1,0,0,0,0,9,1,DaemonSet/default-oci/fluentd:Synced/Progressing,"Name the specific resource or condition (DaemonSet/default-oci/fluentd:Synced/Progressing), fix the target/lifecycle issue or record a bounded watch policy, then rerun."
grafana/pyroscope,2.0.2,default,watch,resource-or-condition-residue,2026-06-14T16:22:02Z,runs/live-helm-confighub-compare/grafana-pyroscope-default/receipt.yaml,Synced,Progressing,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/grafana-pyroscope-default/argocd-core-child.json sha256:e036e8e888f0e2a7a2c13c35d50fe285856b73612021acf22b427525b5a90337 21485 bytes,runs/live-helm-confighub-compare/grafana-pyroscope-default/argocd-core-child-tree.txt sha256:5b6315ba8562a0e953683c9ee9db4f4d0c5d4f9f7bfb95992d3f648ec0807a93 6822 bytes,pass,0,19,19,0,8,1,0,0,0,0,10,1,StatefulSet/default/pyroscope:Synced/Progressing,"Name the specific resource or condition (StatefulSet/default/pyroscope:Synced/Progressing), fix the target/lifecycle issue or record a bounded watch policy, then rerun."
grafana/pyroscope,2.0.2,no-crds,watch,resource-or-condition-residue,2026-06-15T02:08:35Z,runs/live-helm-confighub-compare/grafana-pyroscope-no-crds/receipt.yaml,Synced,Progressing,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/grafana-pyroscope-no-crds/argocd-core-child.json sha256:7b9a214a4085ddcd875126a6f4cc41e7956ca542c604e54cb7f6cbfc43f6f0a0 20707 bytes,runs/live-helm-confighub-compare/grafana-pyroscope-no-crds/argocd-core-child-tree.txt sha256:5a093b1542208cbb05eadf79c411e45e47b9d3449eacf88e119df5ea631c242e 7660 bytes,pass,0,18,18,0,7,1,0,0,0,0,10,1,StatefulSet/default/pyroscope:Synced/Progressing,"Name the specific resource or condition (StatefulSet/default/pyroscope:Synced/Progressing), fix the target/lifecycle issue or record a bounded watch policy, then rerun."
grafana/tempo,1.24.4,s3-query-observability,watch,resource-or-condition-residue,2026-06-14T18:21:25Z,runs/live-helm-confighub-compare/grafana-tempo-s3-query-observability/receipt.yaml,Synced,Progressing,Synced,Healthy,Succeeded,pass,pass,runs/live-helm-confighub-compare/grafana-tempo-s3-query-observability/argocd-core-child.json sha256:8fa87c6e7d07307bdd7d355414416b87d6b769f2bbe59ca8d76b002b4cb4b808 12717 bytes,runs/live-helm-confighub-compare/grafana-tempo-s3-query-observability/argocd-core-child-tree.txt sha256:50b78b3a41c026af9be676039fa2a6c26ab0ee27ed54b210af29ab0fdfc56963 1993 bytes,pass,0,9,9,0,2,1,0,0,0,0,6,1,Ingress/tempo/tempo:Synced/Progressing,"Name the specific resource or condition (Ingress/tempo/tempo:Synced/Progressing), fix the target/lifecycle issue or record a bounded watch policy, then rerun."
