name,chart,version,base,catalog_layer,recipe_path,variant_path,values_profile,namespace,release_name,rendered_objects_path,package_base_path,installer_package_oci_ref,intent_path,render_parity,confighub_scan_ops,local_kind,gitops_oci_live,live_dual_parity,two_cluster_kind,variant_promotion,lifecycle_route_contract,lifecycle_route_count,gitops_route_count,lifecycle_contract_state,lifecycle_contract_reason,lifecycle_contract_next_action,declared_target_fact_count,target_requirement_count,target_fact_action_count,target_fact_contract_state,target_fact_contract_reason,target_fact_contract_next_action,confighub_change_state,setting_overlap_policy,source_repository_url
aqua-trivy-operator-0-32-1-default,aqua/trivy-operator,0.32.1,default,F2a,recipes/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/variants/default/variant.yaml,recipes/aqua/trivy-operator/0.32.1/effective-values.yaml,default,trivy-operator,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/rendered/release-objects.yaml,packages/aqua/trivy-operator/0.32.1/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1@sha256:df97b8e3f79f987652528c261ddd3cb5a5dc297f2a57cf22fcad90c592a1f094,data/helm-render-intents/intents/aqua-trivy-operator-0-32-1-default.yaml,yes,yes,yes,yes,yes,yes,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,0,0,0,actionable-gap,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites. When none are required, add an explicit empty targetFacts declaration plus targetFactsReview scope and evidence.",none-in-catalog-base,review-required,https://aquasecurity.github.io/helm-charts/
aqua-trivy-operator-0-32-1-no-crds,aqua/trivy-operator,0.32.1,no-crds,F2b,recipes/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/variants/no-crds/variant.yaml,recipes/aqua/trivy-operator/0.32.1/effective-values-no-crds.yaml,default,trivy-operator,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/rendered/release-objects.yaml,packages/aqua/trivy-operator/0.32.1/bases/no-crds,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1@sha256:df97b8e3f79f987652528c261ddd3cb5a5dc297f2a57cf22fcad90c592a1f094,data/helm-render-intents/intents/aqua-trivy-operator-0-32-1-no-crds.yaml,yes,yes,yes,yes,yes,yes,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,12,12,0,attached,12 target prerequisites declared by this base.,,none-in-catalog-base,review-required,https://aquasecurity.github.io/helm-charts/
argo-cd-argo-cd-10-1-3-default,argo-cd/argo-cd,10.1.3,default,F2a,recipes/argo-cd/argo-cd/10.1.3,recipes/argo-cd/argo-cd/10.1.3/variants/default/variant.yaml,recipes/argo-cd/argo-cd/10.1.3/effective-values.yaml,argocd,argo-cd,recipes/argo-cd/argo-cd/10.1.3/revisions/default/r001/rendered/release-objects.yaml,packages/argo-cd/argo-cd/10.1.3/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3@sha256:8df2cb46a6de0187aabcce62253f94c3e2ee7391582ef74978485acda606ec1c,data/helm-render-intents/intents/argo-cd-argo-cd-10-1-3-default.yaml,yes,todo,todo,todo,todo,todo,missing-confighub-proof,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,1,1,0,attached,1 target prerequisite declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-cd-10-1-3-no-crds,argo-cd/argo-cd,10.1.3,no-crds,F2b,recipes/argo-cd/argo-cd/10.1.3,recipes/argo-cd/argo-cd/10.1.3/variants/no-crds/variant.yaml,recipes/argo-cd/argo-cd/10.1.3/effective-values-no-crds.yaml,argocd,argo-cd,recipes/argo-cd/argo-cd/10.1.3/revisions/no-crds/r001/rendered/release-objects.yaml,packages/argo-cd/argo-cd/10.1.3/bases/no-crds,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3@sha256:8df2cb46a6de0187aabcce62253f94c3e2ee7391582ef74978485acda606ec1c,data/helm-render-intents/intents/argo-cd-argo-cd-10-1-3-no-crds.yaml,yes,todo,todo,no,todo,todo,missing-confighub-proof,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,4,4,0,attached,4 target prerequisites declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-cd-10-2-1-default,argo-cd/argo-cd,10.2.1,default,F2a,recipes/argo-cd/argo-cd/10.2.1,recipes/argo-cd/argo-cd/10.2.1/variants/default/variant.yaml,recipes/argo-cd/argo-cd/10.2.1/effective-values.yaml,argocd,argo-cd,recipes/argo-cd/argo-cd/10.2.1/revisions/default/r001/rendered/release-objects.yaml,packages/argo-cd/argo-cd/10.2.1/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1@sha256:8a651b909262f4d33cae5c2454ba3a6b89b6fcf79434544cfc71d4c221f227ad,data/helm-render-intents/intents/argo-cd-argo-cd-10-2-1-default.yaml,yes,todo,todo,todo,todo,todo,missing-confighub-proof,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,1,1,0,attached,1 target prerequisite declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-cd-10-2-1-no-crds,argo-cd/argo-cd,10.2.1,no-crds,F2b,recipes/argo-cd/argo-cd/10.2.1,recipes/argo-cd/argo-cd/10.2.1/variants/no-crds/variant.yaml,recipes/argo-cd/argo-cd/10.2.1/effective-values-no-crds.yaml,argocd,argo-cd,recipes/argo-cd/argo-cd/10.2.1/revisions/no-crds/r001/rendered/release-objects.yaml,packages/argo-cd/argo-cd/10.2.1/bases/no-crds,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1@sha256:8a651b909262f4d33cae5c2454ba3a6b89b6fcf79434544cfc71d4c221f227ad,data/helm-render-intents/intents/argo-cd-argo-cd-10-2-1-no-crds.yaml,yes,todo,todo,no,todo,todo,missing-confighub-proof,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,4,4,0,attached,4 target prerequisites declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-cd-9-5-15-default,argo-cd/argo-cd,9.5.15,default,F2a,recipes/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/variants/default/variant.yaml,recipes/argo-cd/argo-cd/9.5.15/effective-values.yaml,argocd,argo-cd,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,packages/argo-cd/argo-cd/9.5.15/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15@sha256:3404bc0aed621a447aa76cd3e07f28a7f9bfd4d1a8da1385352852386643e665,data/helm-render-intents/intents/argo-cd-argo-cd-9-5-15-default.yaml,yes,yes,yes,yes,yes,yes,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,1,1,0,attached,1 target prerequisite declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-cd-9-5-15-no-crds,argo-cd/argo-cd,9.5.15,no-crds,F2b,recipes/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/variants/no-crds/variant.yaml,recipes/argo-cd/argo-cd/9.5.15/effective-values-no-crds.yaml,argocd,argo-cd,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,packages/argo-cd/argo-cd/9.5.15/bases/no-crds,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15@sha256:3404bc0aed621a447aa76cd3e07f28a7f9bfd4d1a8da1385352852386643e665,data/helm-render-intents/intents/argo-cd-argo-cd-9-5-15-no-crds.yaml,yes,yes,no,no,yes,todo,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,4,4,0,attached,4 target prerequisites declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-cd-9-5-17-default,argo-cd/argo-cd,9.5.17,default,F2a,recipes/argo-cd/argo-cd/9.5.17,recipes/argo-cd/argo-cd/9.5.17/variants/default/variant.yaml,recipes/argo-cd/argo-cd/9.5.17/effective-values.yaml,argocd,argo-cd,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,packages/argo-cd/argo-cd/9.5.17/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.17@sha256:69ffe2b8a2231e813729f2401e6a3acb1f8752260425f04c708ac0c35e308116,data/helm-render-intents/intents/argo-cd-argo-cd-9-5-17-default.yaml,yes,yes,yes,watch,watch,todo,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,1,1,0,attached,1 target prerequisite declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-cd-9-5-17-no-crds,argo-cd/argo-cd,9.5.17,no-crds,F2b,recipes/argo-cd/argo-cd/9.5.17,recipes/argo-cd/argo-cd/9.5.17/variants/no-crds/variant.yaml,recipes/argo-cd/argo-cd/9.5.17/effective-values-no-crds.yaml,argocd,argo-cd,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,packages/argo-cd/argo-cd/9.5.17/bases/no-crds,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.17@sha256:69ffe2b8a2231e813729f2401e6a3acb1f8752260425f04c708ac0c35e308116,data/helm-render-intents/intents/argo-cd-argo-cd-9-5-17-no-crds.yaml,yes,todo,yes,no,yes,yes,missing-confighub-proof,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,4,4,0,attached,4 target prerequisites declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-events-2-4-21-default,argo-cd/argo-events,2.4.21,default,F2a,recipes/argo-cd/argo-events/2.4.21,recipes/argo-cd/argo-events/2.4.21/variants/default/variant.yaml,recipes/argo-cd/argo-events/2.4.21/effective-values.yaml,default,argo-events,recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/rendered/release-objects.yaml,packages/argo-cd/argo-events/2.4.21/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events:2.4.21@sha256:a7ff1505149539d2e66d3df74352131956a10112984792bf54499808e4f45ac2,data/helm-render-intents/intents/argo-cd-argo-events-2-4-21-default.yaml,yes,yes,yes,yes,yes,yes,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,0,0,0,actionable-gap,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites. When none are required, add an explicit empty targetFacts declaration plus targetFactsReview scope and evidence.",none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-events-2-4-21-no-crds,argo-cd/argo-events,2.4.21,no-crds,F2b,recipes/argo-cd/argo-events/2.4.21,recipes/argo-cd/argo-events/2.4.21/variants/no-crds/variant.yaml,recipes/argo-cd/argo-events/2.4.21/effective-values-no-crds.yaml,default,argo-events,recipes/argo-cd/argo-events/2.4.21/revisions/no-crds/r001/rendered/release-objects.yaml,packages/argo-cd/argo-events/2.4.21/bases/no-crds,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events:2.4.21@sha256:a7ff1505149539d2e66d3df74352131956a10112984792bf54499808e4f45ac2,data/helm-render-intents/intents/argo-cd-argo-events-2-4-21-no-crds.yaml,yes,yes,yes,yes,yes,yes,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,0,0,0,actionable-gap,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites. When none are required, add an explicit empty targetFacts declaration plus targetFactsReview scope and evidence.",none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-rollouts-2-40-9-default,argo-cd/argo-rollouts,2.40.9,default,F2a,recipes/argo-cd/argo-rollouts/2.40.9,recipes/argo-cd/argo-rollouts/2.40.9/variants/default/variant.yaml,recipes/argo-cd/argo-rollouts/2.40.9/effective-values.yaml,default,argo-rollouts,recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/rendered/release-objects.yaml,packages/argo-cd/argo-rollouts/2.40.9/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts:2.40.9@sha256:3c5ce38388c8ba364e305f9ecebbb9e605e37891cab52aafa4320bd86baf8b95,data/helm-render-intents/intents/argo-cd-argo-rollouts-2-40-9-default.yaml,yes,yes,yes,yes,yes,yes,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,0,0,0,actionable-gap,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites. When none are required, add an explicit empty targetFacts declaration plus targetFactsReview scope and evidence.",none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-rollouts-2-40-9-no-crds,argo-cd/argo-rollouts,2.40.9,no-crds,F2b,recipes/argo-cd/argo-rollouts/2.40.9,recipes/argo-cd/argo-rollouts/2.40.9/variants/no-crds/variant.yaml,recipes/argo-cd/argo-rollouts/2.40.9/effective-values-no-crds.yaml,default,argo-rollouts,recipes/argo-cd/argo-rollouts/2.40.9/revisions/no-crds/r001/rendered/release-objects.yaml,packages/argo-cd/argo-rollouts/2.40.9/bases/no-crds,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts:2.40.9@sha256:3c5ce38388c8ba364e305f9ecebbb9e605e37891cab52aafa4320bd86baf8b95,data/helm-render-intents/intents/argo-cd-argo-rollouts-2-40-9-no-crds.yaml,yes,yes,yes,yes,yes,yes,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,0,0,0,actionable-gap,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites. When none are required, add an explicit empty targetFacts declaration plus targetFactsReview scope and evidence.",none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-workflows-1-0-14-controller-default-reviewed,argo-cd/argo-workflows,1.0.14,controller-default-reviewed,F2b,recipes/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/variants/controller-default-reviewed/variant.yaml,recipes/argo-cd/argo-workflows/1.0.14/effective-values.yaml,default,argo-workflows,recipes/argo-cd/argo-workflows/1.0.14/revisions/controller-default-reviewed/r001/rendered/release-objects.yaml,packages/argo-cd/argo-workflows/1.0.14/bases/controller-default-reviewed,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14@sha256:21c5bc5c0500c1bc85d02b44ba4e4321101f58f5625b6acce22c78ba815205c2,data/helm-render-intents/intents/argo-cd-argo-workflows-1-0-14-controller-default-reviewed.yaml,yes,yes,no,yes,yes,yes,proven,yes,1,1,attached,1 lifecycle route attached for this exact chart version and base.,,8,8,0,attached,8 target prerequisites declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-workflows-1-0-14-default,argo-cd/argo-workflows,1.0.14,default,F2a,recipes/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/variants/default/variant.yaml,recipes/argo-cd/argo-workflows/1.0.14/effective-values.yaml,default,argo-workflows,recipes/argo-cd/argo-workflows/1.0.14/revisions/default/r001/rendered/release-objects.yaml,packages/argo-cd/argo-workflows/1.0.14/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14@sha256:21c5bc5c0500c1bc85d02b44ba4e4321101f58f5625b6acce22c78ba815205c2,data/helm-render-intents/intents/argo-cd-argo-workflows-1-0-14-default.yaml,yes,yes,no,yes,yes,yes,proven,yes,1,1,attached,1 lifecycle route attached for this exact chart version and base.,,8,8,0,attached,8 target prerequisites declared by this base.,,none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argo-workflows-1-0-14-minimal-crds,argo-cd/argo-workflows,1.0.14,minimal-crds,F2b,recipes/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/variants/minimal-crds/variant.yaml,recipes/argo-cd/argo-workflows/1.0.14/effective-values-minimal-crds.yaml,default,argo-workflows,recipes/argo-cd/argo-workflows/1.0.14/revisions/minimal-crds/r001/rendered/release-objects.yaml,packages/argo-cd/argo-workflows/1.0.14/bases/minimal-crds,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14@sha256:21c5bc5c0500c1bc85d02b44ba4e4321101f58f5625b6acce22c78ba815205c2,data/helm-render-intents/intents/argo-cd-argo-workflows-1-0-14-minimal-crds.yaml,yes,yes,yes,yes,yes,yes,proven,yes,1,1,attached,1 lifecycle route attached for this exact chart version and base.,,0,0,0,actionable-gap,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites. When none are required, add an explicit empty targetFacts declaration plus targetFactsReview scope and evidence.",none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
argo-cd-argocd-image-updater-1-2-2-default,argo-cd/argocd-image-updater,1.2.2,default,F2a,recipes/argo-cd/argocd-image-updater/1.2.2,recipes/argo-cd/argocd-image-updater/1.2.2/variants/default/variant.yaml,recipes/argo-cd/argocd-image-updater/1.2.2/effective-values.yaml,default,argocd-image-updater,recipes/argo-cd/argocd-image-updater/1.2.2/revisions/default/r001/rendered/release-objects.yaml,packages/argo-cd/argocd-image-updater/1.2.2/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argocd-image-updater:1.2.2@sha256:3f50dd91833bcd42870138464b00fc58e066f4b92765069755bd7d1de5c4b89a,data/helm-render-intents/intents/argo-cd-argocd-image-updater-1-2-2-default.yaml,yes,yes,yes,yes,yes,yes,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,0,0,0,actionable-gap,"This base has not recorded whether it needs a Secret, CRD, namespace, value, storage service, external API, or target topology.","Review the base and record its target prerequisites. When none are required, add an explicit empty targetFacts declaration plus targetFactsReview scope and evidence.",none-in-catalog-base,review-required,https://argoproj.github.io/argo-helm
autoscaler-cluster-autoscaler-9-57-0-controller-default-reviewed,autoscaler/cluster-autoscaler,9.57.0,controller-default-reviewed,F2b,recipes/autoscaler/cluster-autoscaler/9.57.0,recipes/autoscaler/cluster-autoscaler/9.57.0/variants/controller-default-reviewed/variant.yaml,recipes/autoscaler/cluster-autoscaler/9.57.0/effective-values-controller-default-reviewed.yaml,default,cluster-autoscaler,recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/controller-default-reviewed/r001/rendered/release-objects.yaml,packages/autoscaler/cluster-autoscaler/9.57.0/bases/controller-default-reviewed,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler:9.57.0@sha256:2024c48b8dc5e19932a91c11c36baf2c9f694b5200158a45f6f4b142063fe352,data/helm-render-intents/intents/autoscaler-cluster-autoscaler-9-57-0-controller-default-reviewed.yaml,yes,yes,yes,yes,yes,no,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,2,2,0,attached,2 target prerequisites declared by this base.,,none-in-catalog-base,review-required,https://kubernetes.github.io/autoscaler
autoscaler-cluster-autoscaler-9-57-0-default,autoscaler/cluster-autoscaler,9.57.0,default,F2a,recipes/autoscaler/cluster-autoscaler/9.57.0,recipes/autoscaler/cluster-autoscaler/9.57.0/variants/default/variant.yaml,recipes/autoscaler/cluster-autoscaler/9.57.0/effective-values.yaml,default,cluster-autoscaler,recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/default/r001/rendered/release-objects.yaml,packages/autoscaler/cluster-autoscaler/9.57.0/bases/default,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler:9.57.0@sha256:2024c48b8dc5e19932a91c11c36baf2c9f694b5200158a45f6f4b142063fe352,data/helm-render-intents/intents/autoscaler-cluster-autoscaler-9-57-0-default.yaml,yes,yes,yes,yes,yes,watch,proven,n/a,0,0,no-route-required,The current catalog record has no source hook or separate lifecycle step for this base.,,0,0,1,actionable-gap,"1 observed prerequisite action record exists, but the base does not declare the prerequisite.","Add the observed prerequisite to spec.targetFacts in the base variant, then rerun its proof.",none-in-catalog-base,review-required,https://kubernetes.github.io/autoscaler
