chart,version,variant,catalog_status,proof_surface,image_refs,digest_pinned_refs,mutable_tag_refs,floating_latest_or_untagged_refs,needs_resolution,resolution_receipt_status,resolution_receipt_path,support_image_policy_decision_status,support_image_policy_decision_state,support_image_policy_decision_path,example_unpinned_images,rendered_sha256,rendered_path,next_action
argo-cd/argo-cd,9.5.15,default,catalog-supported,top20-catalog-supported,9,0,9,0,yes,recorded,data/image-digest-workdown/receipts/argo-cd-argo-cd/default/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.2,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
argo-cd/argo-cd,9.5.15,no-crds,catalog-supported,top20-catalog-supported,9,0,9,0,yes,recorded,data/image-digest-workdown/receipts/argo-cd-argo-cd/no-crds/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.2,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
bitnami/mongodb,19.0.7,existing-secret-replicaset,catalog-supported,top20-catalog-supported,3,3,0,0,no,missing,,recorded,no-open-image-digest-gap,data/production-support-decisions/bitnami-mongodb/image-policy-decision.yaml,,3723a87004e25f813534be469bf648b6d6b80357fb01e47e465f775dcaec9231,recipes/bitnami/mongodb/19.0.7/revisions/existing-secret-replicaset/r001/rendered/release-objects.yaml,none
bitnami/mongodb,19.0.7,generated-passwords,catalog-supported,top20-catalog-supported,2,2,0,0,no,missing,,recorded,no-open-image-digest-gap,data/production-support-decisions/bitnami-mongodb/image-policy-decision.yaml,,ce99d9a7867d5cb7ea0f0f983d092600ec1bb24ce50e969d1032bdbf937e8fdf,recipes/bitnami/mongodb/19.0.7/revisions/generated-passwords/r001/rendered/release-objects.yaml,none
bitnami/mysql,14.0.3,existing-secret,catalog-supported,top20-catalog-supported,2,0,2,0,yes,recorded,data/image-digest-workdown/receipts/bitnami-mysql/existing-secret/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/bitnami-mysql/image-policy-decision.yaml,docker.io/bitnamilegacy/mysql:9.4.0-debian-12-r1;docker.io/bitnamilegacy/mysql:9.4.0-debian-12-r1,024c04f020fbe5cc7af518d743a68e055f999e88a6633b278adccc769c1b7fa8,recipes/bitnami/mysql/14.0.3/revisions/existing-secret/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
bitnami/mysql,14.0.3,generated-passwords,catalog-supported,top20-catalog-supported,2,0,2,0,yes,recorded,data/image-digest-workdown/receipts/bitnami-mysql/generated-passwords/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/bitnami-mysql/image-policy-decision.yaml,docker.io/bitnamilegacy/mysql:9.4.0-debian-12-r1;docker.io/bitnamilegacy/mysql:9.4.0-debian-12-r1,04e856bfa75859dc9d8e45c61d49ad566494a7f66c257da9113ad26ca1696380,recipes/bitnami/mysql/14.0.3/revisions/generated-passwords/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
bitnami/nginx,24.0.2,existing-tls-ingress,catalog-supported,top20-catalog-supported,2,2,0,0,no,missing,,missing,,,,cb5cdb64d2f05a0f3e2b2d07facc3d08705f86b3a34a3f52c891bdbd28d44e8f,recipes/bitnami/nginx/24.0.2/revisions/existing-tls-ingress/r001/rendered/release-objects.yaml,none
bitnami/nginx,24.0.2,http-clusterip,catalog-supported,top20-catalog-supported,2,2,0,0,no,missing,,missing,,,,7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba,recipes/bitnami/nginx/24.0.2/revisions/http-clusterip/r001/rendered/release-objects.yaml,none
bitnami/postgresql,18.6.7,existing-secret,catalog-supported,top20-catalog-supported,1,1,0,0,no,missing,,missing,,,,595ce44f8c11b10ad1817bf57141529864efd48318a6a97a6e914d3669bb90dd,recipes/bitnami/postgresql/18.6.7/revisions/existing-secret/r001/rendered/release-objects.yaml,none
bitnami/postgresql,18.6.7,generated-passwords,catalog-supported,top20-catalog-supported,1,1,0,0,no,missing,,missing,,,,db49bd6d27e0deaed0b9e314f0527bc2d9468b7be10f9bbdaad14593f0b65a6b,recipes/bitnami/postgresql/18.6.7/revisions/generated-passwords/r001/rendered/release-objects.yaml,none
bitnami/rabbitmq,16.0.14,existing-secret,catalog-supported,top20-catalog-supported,2,0,2,0,yes,missing,,missing,,,docker.io/bitnamilegacy/rabbitmq:4.1.3-debian-12-r1;docker.io/bitnamilegacy/rabbitmq:4.1.3-debian-12-r1,cdff3262264844b099e7f4421f1bbd5027360c2d23ba34667506d85255c4b6f2,recipes/bitnami/rabbitmq/16.0.14/revisions/existing-secret/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
bitnami/rabbitmq,16.0.14,generated-passwords,catalog-supported,top20-catalog-supported,2,0,2,0,yes,missing,,missing,,,docker.io/bitnamilegacy/rabbitmq:4.1.3-debian-12-r1;docker.io/bitnamilegacy/rabbitmq:4.1.3-debian-12-r1,81187ce4367f5196ddbaa35ea55b972698f8a474d78a2cdc2908b12290c89f31,recipes/bitnami/rabbitmq/16.0.14/revisions/generated-passwords/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
bitnami/redis,25.5.3,default,catalog-supported,top20-catalog-supported,2,2,0,0,no,missing,,missing,,,,175caf404c4a005708398d2facd696a8500ef4280c47c682b7bae6273a91272e,recipes/bitnami/redis/25.5.3/revisions/default/r001/rendered/release-objects.yaml,none
bitnami/redis,25.5.3,reuse-existing-secret,catalog-supported,top20-catalog-supported,2,2,0,0,no,missing,,missing,,,,55f424589dfd8581580a51659cdf46e52180961ddbf9f6b7b244d0aacc42546f,recipes/bitnami/redis/25.5.3/revisions/reuse-existing-secret/r001/rendered/release-objects.yaml,none
external-secrets/external-secrets,2.5.0,default,catalog-supported,top20-catalog-supported,3,0,3,0,yes,recorded,data/image-digest-workdown/receipts/external-secrets-external-secrets/default/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/external-secrets-external-secrets/image-policy-decision.yaml,ghcr.io/external-secrets/external-secrets:v2.5.0;ghcr.io/external-secrets/external-secrets:v2.5.0;ghcr.io/external-secrets/external-secrets:v2.5.0,f1c832a9af788c9d2a7a0b066d76a7d8af253d83f5b0fa39c1aa91271230d3db,recipes/external-secrets/external-secrets/2.5.0/revisions/default/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
external-secrets/external-secrets,2.5.0,no-crds,catalog-supported,top20-catalog-supported,3,0,3,0,yes,recorded,data/image-digest-workdown/receipts/external-secrets-external-secrets/no-crds/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/external-secrets-external-secrets/image-policy-decision.yaml,ghcr.io/external-secrets/external-secrets:v2.5.0;ghcr.io/external-secrets/external-secrets:v2.5.0;ghcr.io/external-secrets/external-secrets:v2.5.0,da5857fba93e0394594d7e072b31e3cf28985392b5cc0443730a23b722d7670b,recipes/external-secrets/external-secrets/2.5.0/revisions/no-crds/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
grafana/grafana,10.5.15,existing-secret-ingress,catalog-supported,top20-catalog-supported,1,0,1,0,yes,missing,,missing,,,docker.io/grafana/grafana:12.3.1,04b1fc4abd47d12c2eef1e06e7f4dc7cb2dd6ffd639a7a8967bda1c98a00fb60,recipes/grafana/grafana/10.5.15/revisions/existing-secret-ingress/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
grafana/grafana,10.5.15,generated-passwords,catalog-supported,top20-catalog-supported,1,0,1,0,yes,missing,,missing,,,docker.io/grafana/grafana:12.3.1,893351c9b8cad0a10b0176a946bf514a76c5895bdb2d88a31bdd53a94288066d,recipes/grafana/grafana/10.5.15/revisions/generated-passwords/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
grafana/loki,7.0.0,simple-scalable-minio,catalog-supported,top20-catalog-supported,11,0,11,0,yes,recorded,data/image-digest-workdown/receipts/grafana-loki/simple-scalable-minio/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/grafana-loki/image-policy-decision.yaml,docker.io/grafana/loki-canary:3.6.7;docker.io/grafana/loki:3.6.7;docker.io/grafana/loki:3.6.7,91787d0999a776a5b32de6fa06264eb4ba43bc520a66f82234a07cdf94c2f207,recipes/grafana/loki/7.0.0/revisions/simple-scalable-minio/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
grafana/loki,7.0.0,single-binary-filesystem,catalog-supported,top20-catalog-supported,8,0,8,0,yes,recorded,data/image-digest-workdown/receipts/grafana-loki/single-binary-filesystem/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/grafana-loki/image-policy-decision.yaml,docker.io/grafana/loki-canary:3.6.7;docker.io/grafana/loki:3.6.7;docker.io/kiwigrid/k8s-sidecar:2.5.0,6c1e4c38271f2c48cb66ac6e39be8643524e774fec8cf363875c66bf3ea2bb30,recipes/grafana/loki/7.0.0/revisions/single-binary-filesystem/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
