priority,chart,version,variant,catalog_status,proof_surface,image_refs,digest_pinned_refs,mutable_tag_refs,floating_latest_or_untagged_refs,needs_resolution,resolution_receipt_status,resolution_receipt_path,support_image_policy_decision_status,support_image_policy_decision_state,support_image_policy_decision_path,example_unpinned_images,rendered_sha256,rendered_path,next_action
1,grafana/loki,7.0.0,simple-scalable-minio,catalog-supported,top20-catalog-supported,11,0,11,0,yes,recorded,data/image-digest-workdown/receipts/grafana-loki/simple-scalable-minio/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/grafana-loki/image-policy-decision.yaml,docker.io/grafana/loki-canary:3.6.7;docker.io/grafana/loki:3.6.7;docker.io/grafana/loki:3.6.7,91787d0999a776a5b32de6fa06264eb4ba43bc520a66f82234a07cdf94c2f207,recipes/grafana/loki/7.0.0/revisions/simple-scalable-minio/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
2,hashicorp/consul,2.0.0,secure-mesh-existing-secrets,catalog-supported,top20-catalog-supported,11,0,11,0,yes,recorded,data/image-digest-workdown/receipts/hashicorp-consul/secure-mesh-existing-secrets/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/hashicorp-consul/image-policy-decision.yaml,hashicorp/consul-dataplane:2.0.0;hashicorp/consul-dataplane:2.0.0;hashicorp/consul-dataplane:2.0.0,0acc8c339c2965446b754c3a9c948c4f154ca6e47b074ddc3b8d315e2cb7c468,recipes/hashicorp/consul/2.0.0/revisions/secure-mesh-existing-secrets/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
3,argo-cd/argo-cd,10.1.3,default,catalog-supported,top20-catalog-supported,9,0,9,0,yes,stale-version,data/image-digest-workdown/receipts/argo-cd-argo-cd/default/image-digest-resolution.yaml,stale-version,,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.5,b2cbe21e58abbf285edb7710df9df299c93bb288293eed091ef7e24f83f850b5,recipes/argo-cd/argo-cd/10.1.3/revisions/default/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
4,argo-cd/argo-cd,10.2.1,default,catalog-supported,top20-catalog-supported,9,0,9,0,yes,stale-version,data/image-digest-workdown/receipts/argo-cd-argo-cd/default/image-digest-resolution.yaml,stale-version,,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.5,a2ba05a7684443115b1516e1b01a03ebe845cdfcf956722539ae0d3f5bff8780,recipes/argo-cd/argo-cd/10.2.1/revisions/default/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
5,argo-cd/argo-cd,9.5.15,default,catalog-supported,top20-catalog-supported,9,0,9,0,yes,recorded,data/image-digest-workdown/receipts/argo-cd-argo-cd/default/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.2,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
6,argo-cd/argo-cd,9.5.17,default,catalog-supported,top20-catalog-supported,9,0,9,0,yes,stale-version,data/image-digest-workdown/receipts/argo-cd-argo-cd/default/image-digest-resolution.yaml,stale-version,,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.3,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
7,argo-cd/argo-cd,10.1.3,no-crds,catalog-supported,top20-catalog-supported,9,0,9,0,yes,stale-version,data/image-digest-workdown/receipts/argo-cd-argo-cd/no-crds/image-digest-resolution.yaml,stale-version,,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.5,813fb156368c0a1588c666c9870f07e5441347d11af65a9d349161109ae1a5da,recipes/argo-cd/argo-cd/10.1.3/revisions/no-crds/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
8,argo-cd/argo-cd,10.2.1,no-crds,catalog-supported,top20-catalog-supported,9,0,9,0,yes,stale-version,data/image-digest-workdown/receipts/argo-cd-argo-cd/no-crds/image-digest-resolution.yaml,stale-version,,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.5,51d717634a2d0098d0791629aad974dc79b1ec0de68e4adfe00005de2003ca14,recipes/argo-cd/argo-cd/10.2.1/revisions/no-crds/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
9,argo-cd/argo-cd,9.5.15,no-crds,catalog-supported,top20-catalog-supported,9,0,9,0,yes,recorded,data/image-digest-workdown/receipts/argo-cd-argo-cd/no-crds/image-digest-resolution.yaml,recorded,mutable-image-exception-accepted-for-target-scope,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.2,23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml,covered by target-scoped image policy decision; create digest-pinned base or override for stricter scopes
10,argo-cd/argo-cd,9.5.17,no-crds,catalog-supported,top20-catalog-supported,9,0,9,0,yes,stale-version,data/image-digest-workdown/receipts/argo-cd-argo-cd/no-crds/image-digest-resolution.yaml,stale-version,,data/production-support-decisions/argo-cd-argo-cd/image-policy-decision.yaml,ecr-public.aws.com/docker/library/redis:8.2.3-alpine;ghcr.io/dexidp/dex:v2.45.1;quay.io/argoproj/argocd:v3.4.3,58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/rendered/release-objects.yaml,resolve image digests and record image override/proof receipt before production OCI support
