chart,version,package_path,installer_yaml,installer_oci_ref,publication_status,publication_receipt,published_digest,default_base,bases,base_count,rendered_yaml_paths,rendered_yaml_sha256s,external_requires_count,collector,transformers,public_catalog,proof_surface,chart_page,matrix_rows,setup_command,inspect_command,list_command
aqua/trivy-operator,0.32.1,packages/aqua/trivy-operator/0.32.1,packages/aqua/trivy-operator/0.32.1/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1,published-receipt,runs/installer-oci/aqua-trivy-operator/0.32.1/installer-package-publication-receipt.yaml,355fbd3de30de328d9910173e8c75ba864b91c265d63335d8020dd9ab41934a3,default,default;no-crds,2,packages/aqua/trivy-operator/0.32.1/bases/default/upstream.yaml;packages/aqua/trivy-operator/0.32.1/bases/no-crds/upstream.yaml,4728643a42924d6af2c0b2b4f1f616938c31b6271ed7e32bac2ce36e5e339a25;875c8aa838c2841aeda6fbd5ffe95e4f7e2c6a36d64194715bb4039aff0ed492,12,yes,0,yes,next80-proof-grade,site/charts/aqua-trivy-operator-0-32-1.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1 --base default --work-dir .tmp/demo/aqua-trivy-operator-0-32-1-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator
argo-cd/argo-cd,10.1.3,packages/argo-cd/argo-cd/10.1.3,packages/argo-cd/argo-cd/10.1.3/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3,published-receipt,runs/installer-oci/argo-cd-argo-cd/10.1.3/installer-package-publication-receipt.yaml,47b8e8bc99d37236cfd8bf337f1d2fadedd4ee3aa7371a26c4d8dd716d612e56,default,default;no-crds,2,packages/argo-cd/argo-cd/10.1.3/bases/default/upstream.yaml;packages/argo-cd/argo-cd/10.1.3/bases/no-crds/upstream.yaml,b2cbe21e58abbf285edb7710df9df299c93bb288293eed091ef7e24f83f850b5;813fb156368c0a1588c666c9870f07e5441347d11af65a9d349161109ae1a5da,5,yes,0,no,,,0,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3 --base default --work-dir .tmp/demo/argo-cd-argo-cd-10-1-3-default --non-interactive,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd
argo-cd/argo-cd,10.2.1,packages/argo-cd/argo-cd/10.2.1,packages/argo-cd/argo-cd/10.2.1/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1,published-receipt,runs/installer-oci/argo-cd-argo-cd/10.2.1/installer-package-publication-receipt.yaml,41de728b947ec43c78e7b5dbc38eed77577b0486483ca0cfbdff3c95d8450e88,default,default;no-crds,2,packages/argo-cd/argo-cd/10.2.1/bases/default/upstream.yaml;packages/argo-cd/argo-cd/10.2.1/bases/no-crds/upstream.yaml,a2ba05a7684443115b1516e1b01a03ebe845cdfcf956722539ae0d3f5bff8780;51d717634a2d0098d0791629aad974dc79b1ec0de68e4adfe00005de2003ca14,5,yes,0,no,,,0,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1 --base default --work-dir .tmp/demo/argo-cd-argo-cd-10-2-1-default --non-interactive,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd
argo-cd/argo-cd,9.5.15,packages/argo-cd/argo-cd/9.5.15,packages/argo-cd/argo-cd/9.5.15/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15,published-receipt,runs/installer-oci/argo-cd-argo-cd/9.5.15/installer-package-publication-receipt.yaml,776804d665c3b64eeaa1061978530bc6e2ef291c564525b145e5166109c76307,default,default;no-crds,2,packages/argo-cd/argo-cd/9.5.15/bases/default/upstream.yaml;packages/argo-cd/argo-cd/9.5.15/bases/no-crds/upstream.yaml,e52ddef5e56e347a8959dd1e8591e116479bf8aa8682c83e3753fe7355a38cc0;23a51fb8ea2215b08a853bbb26698d80f58a5514b68d4f49cdcd870a8371fc71,5,yes,0,yes,top20-catalog-supported,site/charts/argo-cd-argo-cd-9-5-15.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15 --base default --work-dir .tmp/demo/argo-cd-argo-cd-9-5-15-default --non-interactive --namespace argocd,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd
argo-cd/argo-cd,9.5.17,packages/argo-cd/argo-cd/9.5.17,packages/argo-cd/argo-cd/9.5.17/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.17,published-receipt,runs/installer-oci/argo-cd-argo-cd/9.5.17/installer-package-publication-receipt.yaml,a66af33631072ce965cb5d9ff90e375576f3456b2735d4ef8ee1744af0fa01ac,default,default;no-crds,2,packages/argo-cd/argo-cd/9.5.17/bases/default/upstream.yaml;packages/argo-cd/argo-cd/9.5.17/bases/no-crds/upstream.yaml,e79d4daf30498e893d2dc41c736de2de1fe3ff3a4dc396212a86336143f80fa7;58d54d31b7e52f80c4a352f48a8828fc62fc31b8e2c8aea497f756ae5ce0f9ec,5,yes,0,no,,,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.17 --base default --work-dir .tmp/demo/argo-cd-argo-cd-9-5-17-default --non-interactive,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.17,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd
argo-cd/argo-events,2.4.21,packages/argo-cd/argo-events/2.4.21,packages/argo-cd/argo-events/2.4.21/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events:2.4.21,published-receipt,runs/installer-oci/argo-cd-argo-events/2.4.21/installer-package-publication-receipt.yaml,305f63669cfe2d1fb456b90bb025043320cb214ec3e023db16547106b6454848,default,default;no-crds,2,packages/argo-cd/argo-events/2.4.21/bases/default/upstream.yaml;packages/argo-cd/argo-events/2.4.21/bases/no-crds/upstream.yaml,fe5c705f2f03410df75055542a79619c82947dafbf3f1c01c05eca2fc197503b;4858a0854eb393c136be157686a7417478ee33c88428452eaa21ad3fed65ad49,0,no,0,yes,next80-proof-grade,site/charts/argo-cd-argo-events-2-4-21.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events:2.4.21 --base default --work-dir .tmp/demo/argo-cd-argo-events-2-4-21-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events:2.4.21,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events
argo-cd/argo-rollouts,2.40.9,packages/argo-cd/argo-rollouts/2.40.9,packages/argo-cd/argo-rollouts/2.40.9/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts:2.40.9,published-receipt,runs/installer-oci/argo-cd-argo-rollouts/2.40.9/installer-package-publication-receipt.yaml,ad3399a8f53042aae44ace370e703813511b22602a78a8987ca33d7c0c460d39,default,default;no-crds,2,packages/argo-cd/argo-rollouts/2.40.9/bases/default/upstream.yaml;packages/argo-cd/argo-rollouts/2.40.9/bases/no-crds/upstream.yaml,cd696130d24a1a676d5bc1abb9978ff10d6d4e6e072655c6ef275453b1e85e47;6facde581531cc4995b342bf9b3614f4c73f5c8d9ba057ae92895db6c3813dd7,0,no,0,yes,next80-proof-grade,site/charts/argo-cd-argo-rollouts-2-40-9.html,3,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts:2.40.9 --base default --work-dir .tmp/demo/argo-cd-argo-rollouts-2-40-9-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts:2.40.9,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts
argo-cd/argo-workflows,1.0.14,packages/argo-cd/argo-workflows/1.0.14,packages/argo-cd/argo-workflows/1.0.14/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14,published-receipt,runs/installer-oci/argo-cd-argo-workflows/1.0.14/installer-package-publication-receipt.yaml,63d7842650804abded9b5bd176f48e0b0e46be6615778476e43e7999e60b9388,default,default;controller-default-reviewed;minimal-crds,3,packages/argo-cd/argo-workflows/1.0.14/bases/default/upstream.yaml;packages/argo-cd/argo-workflows/1.0.14/bases/controller-default-reviewed/upstream.yaml;packages/argo-cd/argo-workflows/1.0.14/bases/minimal-crds/upstream.yaml,677516f7d311ffdfcf7a4b424585cada43ba104af51ef7e283c575d8279c16bc;677516f7d311ffdfcf7a4b424585cada43ba104af51ef7e283c575d8279c16bc;8c1919f7c1841fb4dbaf12f2d110c82e4426e8e766310cc850efe81d2fb2fd4b,16,yes,0,yes,next80-proof-grade,site/charts/argo-cd-argo-workflows-1-0-14.html,4,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14 --base default --work-dir .tmp/demo/argo-cd-argo-workflows-1-0-14-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows
argo-cd/argocd-image-updater,1.2.2,packages/argo-cd/argocd-image-updater/1.2.2,packages/argo-cd/argocd-image-updater/1.2.2/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argocd-image-updater:1.2.2,published-receipt,runs/installer-oci/argo-cd-argocd-image-updater/1.2.2/installer-package-publication-receipt.yaml,f70d38a4c6aeef745a46bc7a8c679b566ce8540aecf2bcf1ba30e883a7e8f718,default,default,1,packages/argo-cd/argocd-image-updater/1.2.2/bases/default/upstream.yaml,0b3646b69dab9a21cad5cbc550a95ffb9ac4be833cc2d076b1fd12cbe4e4eaf2,0,no,0,yes,next80-proof-grade,site/charts/argo-cd-argocd-image-updater-1-2-2.html,2,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argocd-image-updater:1.2.2 --base default --work-dir .tmp/demo/argo-cd-argocd-image-updater-1-2-2-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argocd-image-updater:1.2.2,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argocd-image-updater
autoscaler/cluster-autoscaler,9.57.0,packages/autoscaler/cluster-autoscaler/9.57.0,packages/autoscaler/cluster-autoscaler/9.57.0/installer.yaml,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler:9.57.0,published-receipt,runs/installer-oci/autoscaler-cluster-autoscaler/9.57.0/installer-package-publication-receipt.yaml,3f68f62ea9623093ef3b172b12cb7002cd444b2de0c9ed7e9c47e64b94cb06c2,default,default;controller-default-reviewed,2,packages/autoscaler/cluster-autoscaler/9.57.0/bases/default/upstream.yaml;packages/autoscaler/cluster-autoscaler/9.57.0/bases/controller-default-reviewed/upstream.yaml,9e67f520b5c65ff34d72f8c85e4245c2d9d238b6da336112dfa272a060d69446;b89d1d1b0acbcfc12528c4aa8b29451000eb5734e04818aeedabf713c958837a,0,yes,0,yes,next80-proof-grade,site/charts/autoscaler-cluster-autoscaler-9-57-0.html,4,cub installer setup --pull oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler:9.57.0 --base default --work-dir .tmp/demo/autoscaler-cluster-autoscaler-9-57-0-default --non-interactive --namespace default,cub installer inspect oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler:9.57.0,cub installer list oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler
