package_path,tag_reference,manifest_digest,immutable_reference,package_sha256,signer_identity,oidc_issuer,observed_at,signature_receipt,signature_bundle,signature_payload,verification_output,payload_verification_output,verification_command,payload_verification_command
packages/aqua/trivy-operator/0.32.1,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1,sha256:df97b8e3f79f987652528c261ddd3cb5a5dc297f2a57cf22fcad90c592a1f094,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1@sha256:df97b8e3f79f987652528c261ddd3cb5a5dc297f2a57cf22fcad90c592a1f094,355fbd3de30de328d9910173e8c75ba864b91c265d63335d8020dd9ab41934a3,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:34:24.455Z,runs/installer-oci-signatures/aqua-trivy-operator/0.32.1/signature-receipt.yaml,runs/installer-oci-signatures/aqua-trivy-operator/0.32.1/signature.sigstore.json,runs/installer-oci-signatures/aqua-trivy-operator/0.32.1/signature-payload.json,runs/installer-oci-signatures/aqua-trivy-operator/0.32.1/verification.json,runs/installer-oci-signatures/aqua-trivy-operator/0.32.1/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/aqua/trivy-operator/0.32.1 --annotations confighub.com/package-sha256=355fbd3de30de328d9910173e8c75ba864b91c265d63335d8020dd9ab41934a3 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/aqua-trivy-operator:0.32.1@sha256:df97b8e3f79f987652528c261ddd3cb5a5dc297f2a57cf22fcad90c592a1f094,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/aqua-trivy-operator/0.32.1/signature.sigstore.json --digest df97b8e3f79f987652528c261ddd3cb5a5dc297f2a57cf22fcad90c592a1f094 --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/argo-cd/argo-cd/10.1.3,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3,sha256:8df2cb46a6de0187aabcce62253f94c3e2ee7391582ef74978485acda606ec1c,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3@sha256:8df2cb46a6de0187aabcce62253f94c3e2ee7391582ef74978485acda606ec1c,47b8e8bc99d37236cfd8bf337f1d2fadedd4ee3aa7371a26c4d8dd716d612e56,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:34:30.205Z,runs/installer-oci-signatures/argo-cd-argo-cd/10.1.3/signature-receipt.yaml,runs/installer-oci-signatures/argo-cd-argo-cd/10.1.3/signature.sigstore.json,runs/installer-oci-signatures/argo-cd-argo-cd/10.1.3/signature-payload.json,runs/installer-oci-signatures/argo-cd-argo-cd/10.1.3/verification.json,runs/installer-oci-signatures/argo-cd-argo-cd/10.1.3/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/argo-cd/argo-cd/10.1.3 --annotations confighub.com/package-sha256=47b8e8bc99d37236cfd8bf337f1d2fadedd4ee3aa7371a26c4d8dd716d612e56 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.1.3@sha256:8df2cb46a6de0187aabcce62253f94c3e2ee7391582ef74978485acda606ec1c,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/argo-cd-argo-cd/10.1.3/signature.sigstore.json --digest 8df2cb46a6de0187aabcce62253f94c3e2ee7391582ef74978485acda606ec1c --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/argo-cd/argo-cd/10.2.1,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1,sha256:8a651b909262f4d33cae5c2454ba3a6b89b6fcf79434544cfc71d4c221f227ad,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1@sha256:8a651b909262f4d33cae5c2454ba3a6b89b6fcf79434544cfc71d4c221f227ad,41de728b947ec43c78e7b5dbc38eed77577b0486483ca0cfbdff3c95d8450e88,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:34:37.841Z,runs/installer-oci-signatures/argo-cd-argo-cd/10.2.1/signature-receipt.yaml,runs/installer-oci-signatures/argo-cd-argo-cd/10.2.1/signature.sigstore.json,runs/installer-oci-signatures/argo-cd-argo-cd/10.2.1/signature-payload.json,runs/installer-oci-signatures/argo-cd-argo-cd/10.2.1/verification.json,runs/installer-oci-signatures/argo-cd-argo-cd/10.2.1/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/argo-cd/argo-cd/10.2.1 --annotations confighub.com/package-sha256=41de728b947ec43c78e7b5dbc38eed77577b0486483ca0cfbdff3c95d8450e88 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:10.2.1@sha256:8a651b909262f4d33cae5c2454ba3a6b89b6fcf79434544cfc71d4c221f227ad,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/argo-cd-argo-cd/10.2.1/signature.sigstore.json --digest 8a651b909262f4d33cae5c2454ba3a6b89b6fcf79434544cfc71d4c221f227ad --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/argo-cd/argo-cd/9.5.15,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15,sha256:3404bc0aed621a447aa76cd3e07f28a7f9bfd4d1a8da1385352852386643e665,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15@sha256:3404bc0aed621a447aa76cd3e07f28a7f9bfd4d1a8da1385352852386643e665,776804d665c3b64eeaa1061978530bc6e2ef291c564525b145e5166109c76307,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:34:44.603Z,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.15/signature-receipt.yaml,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.15/signature.sigstore.json,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.15/signature-payload.json,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.15/verification.json,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.15/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/argo-cd/argo-cd/9.5.15 --annotations confighub.com/package-sha256=776804d665c3b64eeaa1061978530bc6e2ef291c564525b145e5166109c76307 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.15@sha256:3404bc0aed621a447aa76cd3e07f28a7f9bfd4d1a8da1385352852386643e665,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/argo-cd-argo-cd/9.5.15/signature.sigstore.json --digest 3404bc0aed621a447aa76cd3e07f28a7f9bfd4d1a8da1385352852386643e665 --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/argo-cd/argo-cd/9.5.17,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.17,sha256:69ffe2b8a2231e813729f2401e6a3acb1f8752260425f04c708ac0c35e308116,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.17@sha256:69ffe2b8a2231e813729f2401e6a3acb1f8752260425f04c708ac0c35e308116,a66af33631072ce965cb5d9ff90e375576f3456b2735d4ef8ee1744af0fa01ac,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:34:51.497Z,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.17/signature-receipt.yaml,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.17/signature.sigstore.json,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.17/signature-payload.json,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.17/verification.json,runs/installer-oci-signatures/argo-cd-argo-cd/9.5.17/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/argo-cd/argo-cd/9.5.17 --annotations confighub.com/package-sha256=a66af33631072ce965cb5d9ff90e375576f3456b2735d4ef8ee1744af0fa01ac europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-cd:9.5.17@sha256:69ffe2b8a2231e813729f2401e6a3acb1f8752260425f04c708ac0c35e308116,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/argo-cd-argo-cd/9.5.17/signature.sigstore.json --digest 69ffe2b8a2231e813729f2401e6a3acb1f8752260425f04c708ac0c35e308116 --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/argo-cd/argo-events/2.4.21,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events:2.4.21,sha256:a7ff1505149539d2e66d3df74352131956a10112984792bf54499808e4f45ac2,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events:2.4.21@sha256:a7ff1505149539d2e66d3df74352131956a10112984792bf54499808e4f45ac2,305f63669cfe2d1fb456b90bb025043320cb214ec3e023db16547106b6454848,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:34:56.601Z,runs/installer-oci-signatures/argo-cd-argo-events/2.4.21/signature-receipt.yaml,runs/installer-oci-signatures/argo-cd-argo-events/2.4.21/signature.sigstore.json,runs/installer-oci-signatures/argo-cd-argo-events/2.4.21/signature-payload.json,runs/installer-oci-signatures/argo-cd-argo-events/2.4.21/verification.json,runs/installer-oci-signatures/argo-cd-argo-events/2.4.21/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/argo-cd/argo-events/2.4.21 --annotations confighub.com/package-sha256=305f63669cfe2d1fb456b90bb025043320cb214ec3e023db16547106b6454848 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-events:2.4.21@sha256:a7ff1505149539d2e66d3df74352131956a10112984792bf54499808e4f45ac2,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/argo-cd-argo-events/2.4.21/signature.sigstore.json --digest a7ff1505149539d2e66d3df74352131956a10112984792bf54499808e4f45ac2 --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/argo-cd/argo-rollouts/2.40.9,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts:2.40.9,sha256:3c5ce38388c8ba364e305f9ecebbb9e605e37891cab52aafa4320bd86baf8b95,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts:2.40.9@sha256:3c5ce38388c8ba364e305f9ecebbb9e605e37891cab52aafa4320bd86baf8b95,ad3399a8f53042aae44ace370e703813511b22602a78a8987ca33d7c0c460d39,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:35:03.083Z,runs/installer-oci-signatures/argo-cd-argo-rollouts/2.40.9/signature-receipt.yaml,runs/installer-oci-signatures/argo-cd-argo-rollouts/2.40.9/signature.sigstore.json,runs/installer-oci-signatures/argo-cd-argo-rollouts/2.40.9/signature-payload.json,runs/installer-oci-signatures/argo-cd-argo-rollouts/2.40.9/verification.json,runs/installer-oci-signatures/argo-cd-argo-rollouts/2.40.9/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/argo-cd/argo-rollouts/2.40.9 --annotations confighub.com/package-sha256=ad3399a8f53042aae44ace370e703813511b22602a78a8987ca33d7c0c460d39 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-rollouts:2.40.9@sha256:3c5ce38388c8ba364e305f9ecebbb9e605e37891cab52aafa4320bd86baf8b95,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/argo-cd-argo-rollouts/2.40.9/signature.sigstore.json --digest 3c5ce38388c8ba364e305f9ecebbb9e605e37891cab52aafa4320bd86baf8b95 --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/argo-cd/argo-workflows/1.0.14,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14,sha256:21c5bc5c0500c1bc85d02b44ba4e4321101f58f5625b6acce22c78ba815205c2,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14@sha256:21c5bc5c0500c1bc85d02b44ba4e4321101f58f5625b6acce22c78ba815205c2,63d7842650804abded9b5bd176f48e0b0e46be6615778476e43e7999e60b9388,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:35:11.441Z,runs/installer-oci-signatures/argo-cd-argo-workflows/1.0.14/signature-receipt.yaml,runs/installer-oci-signatures/argo-cd-argo-workflows/1.0.14/signature.sigstore.json,runs/installer-oci-signatures/argo-cd-argo-workflows/1.0.14/signature-payload.json,runs/installer-oci-signatures/argo-cd-argo-workflows/1.0.14/verification.json,runs/installer-oci-signatures/argo-cd-argo-workflows/1.0.14/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/argo-cd/argo-workflows/1.0.14 --annotations confighub.com/package-sha256=63d7842650804abded9b5bd176f48e0b0e46be6615778476e43e7999e60b9388 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argo-workflows:1.0.14@sha256:21c5bc5c0500c1bc85d02b44ba4e4321101f58f5625b6acce22c78ba815205c2,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/argo-cd-argo-workflows/1.0.14/signature.sigstore.json --digest 21c5bc5c0500c1bc85d02b44ba4e4321101f58f5625b6acce22c78ba815205c2 --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/argo-cd/argocd-image-updater/1.2.2,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argocd-image-updater:1.2.2,sha256:3f50dd91833bcd42870138464b00fc58e066f4b92765069755bd7d1de5c4b89a,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argocd-image-updater:1.2.2@sha256:3f50dd91833bcd42870138464b00fc58e066f4b92765069755bd7d1de5c4b89a,f70d38a4c6aeef745a46bc7a8c679b566ce8540aecf2bcf1ba30e883a7e8f718,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:35:17.575Z,runs/installer-oci-signatures/argo-cd-argocd-image-updater/1.2.2/signature-receipt.yaml,runs/installer-oci-signatures/argo-cd-argocd-image-updater/1.2.2/signature.sigstore.json,runs/installer-oci-signatures/argo-cd-argocd-image-updater/1.2.2/signature-payload.json,runs/installer-oci-signatures/argo-cd-argocd-image-updater/1.2.2/verification.json,runs/installer-oci-signatures/argo-cd-argocd-image-updater/1.2.2/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/argo-cd/argocd-image-updater/1.2.2 --annotations confighub.com/package-sha256=f70d38a4c6aeef745a46bc7a8c679b566ce8540aecf2bcf1ba30e883a7e8f718 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/argo-cd-argocd-image-updater:1.2.2@sha256:3f50dd91833bcd42870138464b00fc58e066f4b92765069755bd7d1de5c4b89a,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/argo-cd-argocd-image-updater/1.2.2/signature.sigstore.json --digest 3f50dd91833bcd42870138464b00fc58e066f4b92765069755bd7d1de5c4b89a --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
packages/autoscaler/cluster-autoscaler/9.57.0,oci://europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler:9.57.0,sha256:2024c48b8dc5e19932a91c11c36baf2c9f694b5200158a45f6f4b142063fe352,europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler:9.57.0@sha256:2024c48b8dc5e19932a91c11c36baf2c9f694b5200158a45f6f4b142063fe352,3f68f62ea9623093ef3b172b12cb7002cd444b2de0c9ed7e9c47e64b94cb06c2,helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com,https://accounts.google.com,2026-08-26T05:35:24.974Z,runs/installer-oci-signatures/autoscaler-cluster-autoscaler/9.57.0/signature-receipt.yaml,runs/installer-oci-signatures/autoscaler-cluster-autoscaler/9.57.0/signature.sigstore.json,runs/installer-oci-signatures/autoscaler-cluster-autoscaler/9.57.0/signature-payload.json,runs/installer-oci-signatures/autoscaler-cluster-autoscaler/9.57.0/verification.json,runs/installer-oci-signatures/autoscaler-cluster-autoscaler/9.57.0/payload-verification.txt,cosign verify --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com --annotations confighub.com/package-path=packages/autoscaler/cluster-autoscaler/9.57.0 --annotations confighub.com/package-sha256=3f68f62ea9623093ef3b172b12cb7002cd444b2de0c9ed7e9c47e64b94cb06c2 europe-west1-docker.pkg.dev/nth-fort-499605-q5/helm-expt/autoscaler-cluster-autoscaler:9.57.0@sha256:2024c48b8dc5e19932a91c11c36baf2c9f694b5200158a45f6f4b142063fe352,cosign verify-blob-attestation --bundle runs/installer-oci-signatures/autoscaler-cluster-autoscaler/9.57.0/signature.sigstore.json --digest 2024c48b8dc5e19932a91c11c36baf2c9f694b5200158a45f6f4b142063fe352 --digestAlg sha256 --type https://sigstore.dev/cosign/sign/v1 --certificate-identity helm-expt-package-signer@nth-fort-499605-q5.iam.gserviceaccount.com --certificate-oidc-issuer https://accounts.google.com
