chart,version,base,result,observed_at,receipt,oci_object_count,confighub_unit_count,controller,workload_space,regular_helm_runtime,confighub_apply_runtime,oci_runtime,gitops_sync,gitops_health,operation_phase,operation_elapsed_seconds,confighub_upload_elapsed_seconds,direct_apply_elapsed_seconds,workload_publish_elapsed_seconds,app_publish_elapsed_seconds,argo_wait_elapsed_seconds,target_profile,target_profile_result,schedulable_nodes,separated_secret_count,lifecycle_secret_count,current_stage,residue,missing_progress_fields,next_action
argo-cd/argo-cd,9.5.15,default,pass,2026-06-09T10:15:40Z,runs/live-helm-confighub-compare/argo-cd-argo-cd-default/receipt.yaml,50,,Argo CD OCI,helm-expt-parity-argocd-mq6hhzqm-vjr-argo-cd,pass,pass,pass,Synced,Healthy,,,,,,,,,,,2,,complete,,gitops-operation-elapsed; confighub-upload-elapsed,Add upload/apply elapsed-time evidence in the next live run so this pass also proves progress visibility.
argo-cd/argo-cd,9.5.17,default,watch,2026-06-14T18:53:29Z,runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml,50,,Argo CD OCI,helm-expt-parity-argocd-mqe575l2-s1w-argo-cd,pass,pass,watch,unknown,unknown,,,150.478,0.31,34.253,0.989,422.643,none,pass,,2,0,gitops-sync,gitops-health:unknown,,"Preserve the row as watch, name the first non-green stage, and rerun only after the target/controller policy is explicit."
hashicorp/consul,2.0.0,default-control-plane,pass,2026-06-08T19:19:58Z,runs/live-helm-confighub-compare/hashicorp-consul-default-control-plane/receipt.yaml,69,,Argo CD OCI,helm-expt-parity-consul-mq5li3h5-1bw5-consul,pass,pass,pass,Synced,Healthy,,,,,,,,,,,0,,complete,,gitops-operation-elapsed; confighub-upload-elapsed,Add upload/apply elapsed-time evidence in the next live run so this pass also proves progress visibility.
hashicorp/consul,2.0.0,secure-mesh-existing-secrets,watch,2026-06-14T14:36:32Z,runs/live-helm-confighub-compare/hashicorp-consul-secure-mesh-existing-secrets/receipt.yaml,98,98,Argo CD OCI,helm-expt-parity-hashicorpconsce7c0-mqdw0pqn-150h-hashicorp-consul-secure-mesh-existing-secrets,pass,pass,pass,Synced,Progressing,Succeeded,3,302.519,0.362,326.841,1.038,422.615,kind-three-node,pass,3,1,1,controller-health-watch,Ingress/consul/consul-consul-ui:Synced/Progressing,,Keep as watch until the controller-health residue is explained or accepted for the target scope (Ingress/consul/consul-consul-ui:Synced/Progressing); add upload/apply elapsed-time evidence on rerun.
kyverno/kyverno,3.8.1,default,pass,2026-06-13T05:54:07Z,runs/live-helm-confighub-compare/kyverno-kyverno-default/receipt.yaml,70,,Argo CD OCI,helm-expt-parity-kyverno-default-final-0613-kyverno-kyverno,pass,pass,pass,Synced,Healthy,Succeeded,,,,,,,none,pass,,0,,complete,,gitops-operation-elapsed; confighub-upload-elapsed,Add upload/apply elapsed-time evidence in the next live run so this pass also proves progress visibility.
prometheus-community/kube-prometheus-stack,85.3.3,default,pass,2026-06-09T09:59:35Z,runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml,125,,Argo CD OCI,helm-expt-parity-kubeprometheudecd9-mq6gxaw5-jvz-kube-prometheus-stack,pass,pass,pass,Synced,Healthy,,,,,,,,,,,2,,complete,,gitops-operation-elapsed; confighub-upload-elapsed,Add upload/apply elapsed-time evidence in the next live run so this pass also proves progress visibility.
prometheus-community/kube-prometheus-stack,85.3.3,no-crds,pass,2026-06-14T12:52:24Z,runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-no-crds/receipt.yaml,115,,Argo CD OCI,helm-expt-parity-prometheuscom8a5b5-mqdsasx9-1pgx-prometheus-community-kube-prometheus-stack-no-crds,pass,pass,pass,Synced,Healthy,Succeeded,4,234.236,0.621,61.145,0.992,40.266,none,pass,,2,0,complete,,,Keep the evidence fresh before using as a large-operation example.
prometheus-community/kube-prometheus-stack,86.1.0,default,pass,2026-06-14T20:49:03Z,runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default-86-1-0/receipt.yaml,125,,Argo CD OCI,helm-expt-parity-kubeprometheudecd9-mqe9brrc-1xch-kube-prometheus-stack,pass,pass,pass,Synced,Healthy,Succeeded,6,340.426,0.684,79.984,0.908,50.342,none,pass,,2,0,complete,,,Keep the evidence fresh before using as a large-operation example.
prometheus-community/kube-prometheus-stack,86.1.0,no-crds,pass,2026-06-14T20:33:23Z,runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-no-crds-86-1-0/receipt.yaml,115,,Argo CD OCI,helm-expt-parity-kubeprometheudecd9-mqe8rmi0-1a26-kube-prometheus-stack,pass,pass,pass,Synced,Healthy,Succeeded,14,227.808,0.694,70.946,1.129,50.351,none,pass,,2,0,complete,,,Keep the evidence fresh before using as a large-operation example.
rook-release/rook-ceph,v1.19.5,default,pass,2026-06-15T05:11:39Z,runs/live-helm-confighub-compare/rook-release-rook-ceph-default/receipt.yaml,134,,Argo CD OCI,helm-expt-parity-rookceph-mqera4ya-18v-rook-ceph,pass,pass,pass,Synced,Healthy,Succeeded,2,339.623,0.435,90.003,1.023,30.229,none,pass,,0,0,complete,,,Keep the evidence fresh before using as a large-operation example.
