chart,version,base,result,semantic_parity,reason,related_lifecycle_evidence,meaning,receipt
aqua/trivy-operator,0.32.1,default,pass,pass,,,live parity passed,runs/live-kind-parity/aqua-trivy-operator-default/receipt.yaml
aqua/trivy-operator,0.32.1,no-crds,pass,pass,,,live parity passed,runs/live-kind-parity/aqua-trivy-operator-no-crds/receipt.yaml
argo-cd/argo-cd,9.5.15,no-crds,pass,pass,,,live parity passed,runs/live-kind-parity/argo-cd-argo-cd-no-crds/receipt.yaml
argo-cd/argo-cd,9.5.17,default,pass,pass,,,live parity passed,runs/live-kind-parity/argo-cd-argo-cd-default/receipt.yaml
argo-cd/argo-events,2.4.21,default,pass,pass,,,live parity passed,runs/live-kind-parity/argo-cd-argo-events-default/receipt.yaml
argo-cd/argo-events,2.4.21,no-crds,pass,pass,,,live parity passed,runs/live-kind-parity/argo-cd-argo-events-no-crds/receipt.yaml
argo-cd/argo-rollouts,2.40.9,default,pass,pass,,,live parity passed,runs/live-kind-parity/argo-cd-argo-rollouts-default/receipt.yaml
argo-cd/argo-rollouts,2.40.9,no-crds,pass,pass,,,live parity passed,runs/live-kind-parity/argo-cd-argo-rollouts-no-crds/receipt.yaml
argo-cd/argo-workflows,1.0.14,minimal-crds,pass,pass,,,live parity passed,runs/live-kind-parity/argo-cd-argo-workflows-minimal-crds/receipt.yaml
argo-cd/argocd-image-updater,1.2.2,default,pass,pass,,,live parity passed,runs/live-kind-parity/argo-cd-argocd-image-updater-default/receipt.yaml
autoscaler/cluster-autoscaler,9.57.0,default,watch,pass,render-input: required Helm values missing (parity passed),,semantic parity passed; required render inputs need a modeled base,runs/live-kind-parity/autoscaler-cluster-autoscaler-default/receipt.yaml
autoscaler/vertical-pod-autoscaler,0.9.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/autoscaler-vertical-pod-autoscaler-default/receipt.yaml
autoscaler/vertical-pod-autoscaler,0.9.0,no-crds,pass,pass,,,live parity passed,runs/live-kind-parity/autoscaler-vertical-pod-autoscaler-no-crds/receipt.yaml
bitnami/mongodb,19.0.7,existing-secret-replicaset,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-mongodb-existing-secret-replicaset/receipt.yaml
bitnami/mongodb,19.0.7,generated-passwords,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-mongodb-generated-passwords/receipt.yaml
bitnami/mysql,14.0.3,existing-secret,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-mysql-existing-secret/receipt.yaml
bitnami/mysql,14.0.3,generated-passwords,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-mysql-generated-passwords/receipt.yaml
bitnami/nginx,24.0.2,existing-tls-ingress,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-nginx-existing-tls-ingress/receipt.yaml
bitnami/nginx,24.0.2,http-clusterip,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-nginx-http-clusterip/receipt.yaml
bitnami/postgresql,18.6.7,existing-secret,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-postgresql-existing-secret/receipt.yaml
bitnami/postgresql,18.6.7,generated-passwords,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-postgresql-generated-passwords/receipt.yaml
bitnami/rabbitmq,16.0.14,existing-secret,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-rabbitmq-existing-secret/receipt.yaml
bitnami/rabbitmq,16.0.14,generated-passwords,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-rabbitmq-generated-passwords/receipt.yaml
bitnami/redis,25.5.3,default,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-redis-default/receipt.yaml
bitnami/redis,25.5.3,reuse-existing-secret,pass,pass,,,live parity passed,runs/live-kind-parity/bitnami-redis-reuse-existing-secret/receipt.yaml
cloudnative-pg/cloudnative-pg,0.28.2,default,pass,pass,,,live parity passed,runs/live-kind-parity/cloudnative-pg-cloudnative-pg-default/receipt.yaml
coredns/coredns,1.45.2,default,pass,pass,,,live parity passed,runs/live-kind-parity/coredns-coredns-default/receipt.yaml
descheduler/descheduler,0.36.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/descheduler-descheduler-default/receipt.yaml
elastic/eck-operator,3.4.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/elastic-eck-operator-default/receipt.yaml
elastic/logstash,8.5.1,default,pass,pass,,,live parity passed,runs/live-kind-parity/elastic-logstash-default/receipt.yaml
external-dns/external-dns,1.21.1,dry-run-txt-registry,pass,pass,,,live parity passed,runs/live-kind-parity/external-dns-external-dns-dry-run-txt-registry/receipt.yaml
external-secrets/external-secrets,2.5.0,default,pass,pass,,pass: runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-default/receipt.yaml,live parity passed,runs/live-kind-parity/external-secrets-external-secrets-default/receipt.yaml
external-secrets/external-secrets,2.5.0,no-crds,pass,pass,,pass: runs/lifecycle-observations/cert-manager-eso/external-secrets-external-secrets-no-crds/receipt.yaml,live parity passed,runs/live-kind-parity/external-secrets-external-secrets-no-crds/receipt.yaml
gatekeeper/gatekeeper,3.22.2,default,pass,pass,,,live parity passed,runs/live-kind-parity/gatekeeper-gatekeeper-default/receipt.yaml
grafana/alloy,1.8.2,default,pass,pass,,,live parity passed,runs/live-kind-parity/grafana-alloy-default/receipt.yaml
grafana/grafana,10.5.15,existing-secret-ingress,pass,pass,,,live parity passed,runs/live-kind-parity/grafana-grafana-existing-secret-ingress/receipt.yaml
grafana/grafana,10.5.15,generated-passwords,pass,pass,,,live parity passed,runs/live-kind-parity/grafana-grafana-generated-passwords/receipt.yaml
grafana/loki,7.0.0,simple-scalable-minio,pass,pass,,,live parity passed,runs/live-kind-parity/grafana-loki-simple-scalable-minio/receipt.yaml
grafana/loki,7.0.0,single-binary-filesystem,pass,pass,,,live parity passed,runs/live-kind-parity/grafana-loki-single-binary-filesystem/receipt.yaml
grafana/tempo,1.24.4,local-persistent,pass,pass,,,live parity passed,runs/live-kind-parity/grafana-tempo-local-persistent/receipt.yaml
grafana/tempo,1.24.4,s3-query-observability,pass,pass,,,live parity passed,runs/live-kind-parity/grafana-tempo-s3-query-observability/receipt.yaml
hashicorp/consul,2.0.0,default-control-plane,pass,pass,,,live parity passed,runs/live-kind-parity/hashicorp-consul-default-control-plane/receipt.yaml
hashicorp/consul,2.0.0,secure-mesh-existing-secrets,pass,pass,,,live parity passed,runs/live-kind-parity/hashicorp-consul-secure-mesh-existing-secrets/receipt.yaml
hashicorp/vault,0.32.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/hashicorp-vault-default/receipt.yaml
hashicorp/vault,0.32.0,dev-mode,pass,pass,,,live parity passed,runs/live-kind-parity/hashicorp-vault-dev-mode/receipt.yaml
hashicorp/vault,0.32.0,ha-raft-ui,pass,pass,,,live parity passed,runs/live-kind-parity/hashicorp-vault-ha-raft-ui/receipt.yaml
ingress-nginx/ingress-nginx,4.15.1,admission-disabled,pass,pass,,,live parity passed,runs/live-kind-parity/ingress-nginx-ingress-nginx-admission-disabled/receipt.yaml
ingress-nginx/ingress-nginx,4.15.1,default,pass,pass,,,live parity passed,runs/live-kind-parity/ingress-nginx-ingress-nginx-default/receipt.yaml
ingress-nginx/ingress-nginx,4.15.1,internal-clusterip,pass,pass,,,live parity passed,runs/live-kind-parity/ingress-nginx-ingress-nginx-internal-clusterip/receipt.yaml
jetstack/cert-manager,v1.20.2,crds-enabled,pass,pass,,pass: runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-crds-enabled/receipt.yaml,live parity passed,runs/live-kind-parity/jetstack-cert-manager-crds-enabled/receipt.yaml
jetstack/cert-manager,v1.20.2,default,pass,pass,,pass: runs/lifecycle-observations/cert-manager-eso/jetstack-cert-manager-default/receipt.yaml,live parity passed,runs/live-kind-parity/jetstack-cert-manager-default/receipt.yaml
kedacore/keda,2.19.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/kedacore-keda-default/receipt.yaml
longhorn/longhorn,1.11.2,default,pass,pass,,,live parity passed,runs/live-kind-parity/longhorn-longhorn-default/receipt.yaml
longhorn/longhorn,1.11.2,ui-ingress,pass,pass,,,live parity passed,runs/live-kind-parity/longhorn-longhorn-ui-ingress/receipt.yaml
metrics-server/metrics-server,3.13.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/metrics-server-metrics-server-default/receipt.yaml
metrics-server/metrics-server,3.13.0,external-tls-ca,pass,pass,,,live parity passed,runs/live-kind-parity/metrics-server-metrics-server-external-tls-ca/receipt.yaml
nats/nats,2.14.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/nats-nats-default/receipt.yaml
open-telemetry/opentelemetry-operator,0.114.0,default,pass,pass,,,live parity passed,runs/live-kind-parity/open-telemetry-opentelemetry-operator-default/receipt.yaml
