chart,supported,score,render_equivalent,behaviorally_complete,readable,usable,verifiable,honestly_scoped,variant_complete,variant_count,support_status,production_readiness,missing_criteria,recipe_path
aqua/trivy-operator@0.32.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/aqua/trivy-operator/0.32.1
argo-cd/argo-cd@10.1.3,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/argo-cd/argo-cd/10.1.3
argo-cd/argo-cd@10.2.1,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/argo-cd/argo-cd/10.2.1
argo-cd/argo-cd@9.5.15,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/argo-cd/argo-cd/9.5.15
argo-cd/argo-cd@9.5.17,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/argo-cd/argo-cd/9.5.17
argo-cd/argo-events@2.4.21,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/argo-cd/argo-events/2.4.21
argo-cd/argo-rollouts@2.40.9,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/argo-cd/argo-rollouts/2.40.9
argo-cd/argo-workflows@1.0.14,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/argo-cd/argo-workflows/1.0.14
argo-cd/argocd-image-updater@1.2.2,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/argo-cd/argocd-image-updater/1.2.2
autoscaler/cluster-autoscaler@9.57.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/autoscaler/cluster-autoscaler/9.57.0
autoscaler/vertical-pod-autoscaler@0.9.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/autoscaler/vertical-pod-autoscaler/0.9.0
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1
bitnami/apache@11.4.29,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/bitnami/apache/11.4.29
bitnami/contour@21.1.4,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/bitnami/contour/21.1.4
bitnami/elasticsearch@22.1.6,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/bitnami/elasticsearch/22.1.6
bitnami/memcached@8.5.5,yes,6/6,yes,yes,yes,yes,yes,yes,no,1,proof-grade,not-reviewed-for-production,none,recipes/bitnami/memcached/8.5.5
bitnami/mongodb@19.0.7,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/bitnami/mongodb/19.0.7
bitnami/mongodb@19.0.9,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/bitnami/mongodb/19.0.9
bitnami/mongodb@19.1.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/bitnami/mongodb/19.1.0
bitnami/mysql@14.0.3,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/bitnami/mysql/14.0.3
bitnami/nginx@24.0.2,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/bitnami/nginx/24.0.2
bitnami/nginx@24.0.4,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/bitnami/nginx/24.0.4
bitnami/nginx@25.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/bitnami/nginx/25.0.0
bitnami/opensearch@2.0.10,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/bitnami/opensearch/2.0.10
bitnami/phpmyadmin@20.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,proof-grade,not-reviewed-for-production,none,recipes/bitnami/phpmyadmin/20.0.0
bitnami/postgresql@18.6.10,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/bitnami/postgresql/18.6.10
bitnami/postgresql@18.6.7,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/bitnami/postgresql/18.6.7
bitnami/postgresql@18.7.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/bitnami/postgresql/18.7.0
bitnami/rabbitmq@16.0.14,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/bitnami/rabbitmq/16.0.14
bitnami/redis@25.5.3,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-supported,production-review-ready,none,recipes/bitnami/redis/25.5.3
bitnami/redis@27.0.0,yes,6/6,yes,yes,yes,yes,yes,yes,yes,2,catalog-candidate,not-reviewed-for-production,none,recipes/bitnami/redis/27.0.0
bitnami/spark@10.0.3,yes,6/6,yes,yes,yes,yes,yes,yes,yes,3,proof-grade,not-reviewed-for-production,none,recipes/bitnami/spark/10.0.3
