rank,chart,version,recipe_path,package_path,helm_objects,cub_objects,semantic_match,rendered_sha256,scan_high,scan_medium,scan_low,uses_lookup,uses_generated_facts,uses_capabilities,uses_tpl,has_hooks,crds,cluster_rbac,webhooks,proof_focus
21,traefik/traefik@40.2.0,40.2.0,recipes/traefik/traefik/40.2.0,packages/traefik/traefik/40.2.0,31,32,31/31,84b1e950901024fda7bb0be73aba239015712ae0c3d4cb0ecabcb091abc53c09,0,27,0,true,true,true,true,false,25,true,false,"ingress controller, CRDs, RBAC, Service exposure"
22,kedacore/keda@2.19.0,2.19.0,recipes/kedacore/keda/2.19.0,packages/kedacore/keda/2.19.0,29,30,29/29,95bac2eeb03cdf4d0392ed7d66c37c81db91beeba346752f932abef73d26db1f,0,17,0,true,false,true,true,false,6,true,true,"autoscaling controller, CRDs, webhooks, RBAC"
23,kyverno/kyverno@3.8.1,3.8.1,recipes/kyverno/kyverno/3.8.1,packages/kyverno/kyverno/3.8.1,69,70,69/69,00df8d584a2b69683a7895eff47d5a2bd6c1947827272bc518b0b79bbba80884,0,45,0,true,true,true,true,true,22,true,false,"policy engine, CRDs, admission webhooks, RBAC"
24,kyverno/kyverno-policies@3.8.0,3.8.0,recipes/kyverno/kyverno-policies/3.8.0,packages/kyverno/kyverno-policies/3.8.0,11,12,11/11,e486d983f614fe17b5eb85b4a8e9088242c2b94ca3694d1e11294c44a4bc9ef9,0,0,0,true,false,false,true,false,0,false,false,"policy bundle, generated policy objects"
25,gatekeeper/gatekeeper@3.22.2,3.22.2,recipes/gatekeeper/gatekeeper/3.22.2,packages/gatekeeper/gatekeeper/3.22.2,30,31,30/30,757e7fe97f5331bd964463ed228d147bdc090f3bb6d7c34b319522124efd2e5d,0,22,0,false,false,true,false,true,17,true,true,"OPA admission control, CRDs, webhooks, RBAC"
26,open-telemetry/opentelemetry-operator@0.114.0,0.114.0,recipes/open-telemetry/opentelemetry-operator/0.114.0,packages/open-telemetry/opentelemetry-operator/0.114.0,17,18,17/17,68dd01565796d137e5dea26e1db02ef3e0d99bbbafd000ec3663680b5bbda873,0,9,0,true,true,true,true,true,4,true,true,"operator chart, CRDs, webhooks, RBAC"
27,elastic/eck-operator@3.4.0,3.4.0,recipes/elastic/eck-operator/3.4.0,packages/elastic/eck-operator/3.4.0,22,23,22/22,11bd8f291f9da0611bf6795dbbbe41a9e4e5ae9fe4cd58e9bad69dd883aee278,0,18,0,false,true,true,true,false,12,true,true,"Elastic operator, CRDs, webhooks, RBAC"
28,falcosecurity/falcosidekick@0.13.1,0.13.1,recipes/falcosecurity/falcosidekick/0.13.1,packages/falcosecurity/falcosidekick/0.13.1,6,7,6/6,7a657f26e36fdc7b72d0ec1ba0831010739e3f84677af99e7397a500a414d0b4,0,1,0,false,false,true,false,true,0,false,false,"runtime security event forwarding, Secret/config handling"
29,istio/istiod@1.30.0,1.30.0,recipes/istio/istiod/1.30.0,packages/istio/istiod/1.30.0,17,18,17/17,53385181293dd9a8228f37a370148dde3cc77acecf5a3a8539fa1b8eb0f9afdf,1,8,0,false,true,false,true,false,0,true,true,"service mesh control plane, webhooks, RBAC"
30,istio/gateway@1.30.0,1.30.0,recipes/istio/gateway/1.30.0,packages/istio/gateway/1.30.0,6,7,6/6,07b3cb11d265a7b857b231a347be2c71742e5bc1eeb02efddd7ce71ecc1c7afc,1,0,0,false,false,false,false,false,0,false,false,gateway workload and Service exposure
31,linkerd/linkerd-crds@1.8.0,1.8.0,recipes/linkerd/linkerd-crds/1.8.0,packages/linkerd/linkerd-crds/1.8.0,8,9,8/8,af01ee9087a17f0ffabc7b8c0d6969a8fddde7dde977264ee92e6b12cd8ea01b,0,8,0,false,true,false,false,false,8,false,false,service mesh CRD package
32,external-dns/external-dns@1.21.1,1.21.1,recipes/external-dns/external-dns/1.21.1,packages/external-dns/external-dns/1.21.1,6,7,6/6,764caa006e0e36ed1ad27659090d71a9ca5ff4d671962684b49500971c57ee74,0,3,0,false,true,false,true,false,1,true,false,"external DNS controller, RBAC, provider config"
33,aqua/trivy-operator@0.32.1,0.32.1,recipes/aqua/trivy-operator/0.32.1,packages/aqua/trivy-operator/0.32.1,33,34,33/33,4728643a42924d6af2c0b2b4f1f616938c31b6271ed7e32bac2ce36e5e339a25,0,19,0,true,false,false,true,false,12,true,false,"security scanner operator, CRDs, RBAC, scan report lifecycle"
