chart,base,outcome_level,render_parity,in_confighub,local_live,lifecycle_observation,lifecycle_receipt,lifecycle_policy,gitops_oci_live,live_helm_vs_confighub_parity,two_cluster_kind_parity,two_cluster_kind_parity_reason,complete_core_lane_set,missing_or_non_pass_lanes,recipe_path,package_path,variant_revision,evidence_notes
aqua/trivy-operator@0.32.1,default,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/aqua/trivy-operator/0.32.1,packages/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/trivy-operator-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/aqua-trivy-operator-0.32.1-default/observation-receipt.yaml | runs/live-helm-confighub-compare/aqua-trivy-operator-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/aqua-trivy-operator-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/aqua-trivy-operator-default/receipt.yaml | runs/live-kind-parity/aqua-trivy-operator-default/receipt.yaml
aqua/trivy-operator@0.32.1,no-crds,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/aqua/trivy-operator/0.32.1,packages/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/trivy-operator-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/aqua-trivy-operator-0.32.1-no-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/aqua-trivy-operator-no-crds/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/aqua-trivy-operator-no-crds/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/aqua-trivy-operator-no-crds/receipt.yaml | runs/live-kind-parity/aqua-trivy-operator-no-crds/receipt.yaml
argo-cd/argo-cd@9.5.15,default,live-parity,pass,pass,pass,missing,,,pass,pass,missing,,yes,none,recipes/argo-cd/argo-cd/9.5.15,packages/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-cd-confighub-proof/latest/confighub-proof-receipt.yaml | runs/top20-local-kind/argo-cd-default/observation-receipt.json | runs/live-helm-confighub-compare/argo-cd-argo-cd-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-cd-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-cd-default/receipt.yaml | no two-cluster kind parity receipt in this repo
argo-cd/argo-cd@9.5.15,no-crds,live-parity,pass,pass,blocked,missing,,,pass,pass,pass,,no,local_kind_kubectl_apply,recipes/argo-cd/argo-cd/9.5.15,packages/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-cd-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-cd-9.5.15-no-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/argo-cd-argo-cd-no-crds/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-cd-no-crds/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-cd-no-crds/receipt.yaml | runs/live-kind-parity/argo-cd-argo-cd-no-crds/receipt.yaml
argo-cd/argo-cd@9.5.17,default,two-cluster-kind-parity,pass,pass,pass,missing,,,watch,watch,pass,,no,confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-cd/9.5.17,packages/argo-cd/argo-cd/9.5.17,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-cd-9517-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-cd-9.5.17-default/observation-receipt.yaml | runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-cd-default-9-5-17/receipt.yaml | runs/live-kind-parity/argo-cd-argo-cd-default/receipt.yaml
argo-cd/argo-cd@9.5.17,no-crds,live-parity,pass,pass,pass,missing,,,pass,pass,missing,,yes,none,recipes/argo-cd/argo-cd/9.5.17,packages/argo-cd/argo-cd/9.5.17,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-cd-9517-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-cd-9.5.17-no-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/argo-cd-argo-cd-no-crds-9-5-17/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-cd-no-crds-9-5-17/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-cd-no-crds-9-5-17/receipt.yaml | no two-cluster kind parity receipt in this repo
argo-cd/argo-events@2.4.21,default,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/argo-cd/argo-events/2.4.21,packages/argo-cd/argo-events/2.4.21,recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-events-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-events-2.4.21-default/observation-receipt.yaml | runs/live-helm-confighub-compare/argo-cd-argo-events-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-events-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-events-default/receipt.yaml | runs/live-kind-parity/argo-cd-argo-events-default/receipt.yaml
argo-cd/argo-events@2.4.21,no-crds,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/argo-cd/argo-events/2.4.21,packages/argo-cd/argo-events/2.4.21,recipes/argo-cd/argo-events/2.4.21/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-events-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-events-2.4.21-no-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/argo-cd-argo-events-no-crds/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-events-no-crds/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-events-no-crds/receipt.yaml | runs/live-kind-parity/argo-cd-argo-events-no-crds/receipt.yaml
argo-cd/argo-rollouts@2.40.9,default,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/argo-cd/argo-rollouts/2.40.9,packages/argo-cd/argo-rollouts/2.40.9,recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-rollouts-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-rollouts-2.40.9-default/observation-receipt.yaml | runs/live-helm-confighub-compare/argo-cd-argo-rollouts-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-rollouts-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-rollouts-default/receipt.yaml | runs/live-kind-parity/argo-cd-argo-rollouts-default/receipt.yaml
argo-cd/argo-rollouts@2.40.9,no-crds,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/argo-cd/argo-rollouts/2.40.9,packages/argo-cd/argo-rollouts/2.40.9,recipes/argo-cd/argo-rollouts/2.40.9/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-rollouts-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-rollouts-2.40.9-no-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/argo-cd-argo-rollouts-no-crds/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-rollouts-no-crds/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-rollouts-no-crds/receipt.yaml | runs/live-kind-parity/argo-cd-argo-rollouts-no-crds/receipt.yaml
argo-cd/argo-workflows@1.0.14,controller-default-reviewed,in-confighub,pass,pass,blocked,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-workflows/1.0.14,packages/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/revisions/controller-default-reviewed/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-workflows-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-controller-default-reviewed/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
argo-cd/argo-workflows@1.0.14,default,in-confighub,pass,pass,blocked,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-workflows/1.0.14,packages/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-workflows-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
argo-cd/argo-workflows@1.0.14,minimal-crds,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,yes,none,recipes/argo-cd/argo-workflows/1.0.14,packages/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/revisions/minimal-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-workflows-minimal-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argo-workflows-1.0.14-minimal-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/argo-cd-argo-workflows-minimal-crds/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-workflows-minimal-crds/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argo-workflows-minimal-crds/receipt.yaml | runs/live-kind-parity/argo-cd-argo-workflows-minimal-crds/receipt.yaml
argo-cd/argocd-image-updater@1.2.2,default,live-parity,pass,pass,pass,missing,,,pass,pass,pass,,no,confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argocd-image-updater/1.2.2,packages/argo-cd/argocd-image-updater/1.2.2,recipes/argo-cd/argocd-image-updater/1.2.2/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argocd-image-updater-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/argo-cd-argocd-image-updater-1.2.2-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | exact live parity receipt: runs/live-helm-confighub-compare/argo-cd-argocd-image-updater-default/receipt.yaml | runs/live-kind-parity/argo-cd-argocd-image-updater-default/receipt.yaml
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,live-parity,pass,pass,pass,missing,,,pass,pass,missing,,yes,none,recipes/autoscaler/cluster-autoscaler/9.57.0,packages/autoscaler/cluster-autoscaler/9.57.0,recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/controller-default-reviewed/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cluster-autoscaler-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/autoscaler-cluster-autoscaler-9.57.0-controller-default-reviewed/observation-receipt.yaml | runs/live-helm-confighub-compare/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/autoscaler-cluster-autoscaler-controller-default-reviewed/receipt.yaml | no two-cluster kind parity receipt in this repo
autoscaler/cluster-autoscaler@9.57.0,default,live-parity,pass,pass,pass,missing,,,pass,pass,watch,render-input: required Helm values missing (parity passed),no,confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/autoscaler/cluster-autoscaler/9.57.0,packages/autoscaler/cluster-autoscaler/9.57.0,recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cluster-autoscaler-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/autoscaler-cluster-autoscaler-9.57.0-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | exact live parity receipt: runs/live-helm-confighub-compare/autoscaler-cluster-autoscaler-default/receipt.yaml | runs/live-kind-parity/autoscaler-cluster-autoscaler-default/receipt.yaml
autoscaler/vertical-pod-autoscaler@0.9.0,default,live-parity,pass,pass,blocked,missing,,,pass,pass,pass,,no,local_kind_kubectl_apply,recipes/autoscaler/vertical-pod-autoscaler/0.9.0,packages/autoscaler/vertical-pod-autoscaler/0.9.0,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/vertical-pod-autoscaler-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/autoscaler-vertical-pod-autoscaler-0.9.0-default/observation-receipt.yaml | runs/live-helm-confighub-compare/autoscaler-vertical-pod-autoscaler-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/autoscaler-vertical-pod-autoscaler-default/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/autoscaler-vertical-pod-autoscaler-default/receipt.yaml | runs/live-kind-parity/autoscaler-vertical-pod-autoscaler-default/receipt.yaml
autoscaler/vertical-pod-autoscaler@0.9.0,no-crds,live-parity,pass,pass,blocked,missing,,,pass,pass,pass,,no,local_kind_kubectl_apply,recipes/autoscaler/vertical-pod-autoscaler/0.9.0,packages/autoscaler/vertical-pod-autoscaler/0.9.0,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/vertical-pod-autoscaler-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/autoscaler-vertical-pod-autoscaler-0.9.0-no-crds/observation-receipt.yaml | runs/live-helm-confighub-compare/autoscaler-vertical-pod-autoscaler-no-crds/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/autoscaler-vertical-pod-autoscaler-no-crds/receipt.yaml | exact live parity receipt: runs/live-helm-confighub-compare/autoscaler-vertical-pod-autoscaler-no-crds/receipt.yaml | runs/live-kind-parity/autoscaler-vertical-pod-autoscaler-no-crds/receipt.yaml
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,default,in-confighub,pass,pass,fail,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,packages/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/aws-ebs-csi-driver-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/aws-ebs-csi-driver-aws-ebs-csi-driver-2.60.1-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
bitnami/apache@11.4.29,default,in-confighub,pass,pass,blocked,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/bitnami/apache/11.4.29,packages/bitnami/apache/11.4.29,recipes/bitnami/apache/11.4.29/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-apache-11-4-29-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/bitnami-apache-11.4.29-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
bitnami/contour@21.1.4,default,in-confighub,pass,pass,blocked,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/bitnami/contour/21.1.4,packages/bitnami/contour/21.1.4,recipes/bitnami/contour/21.1.4/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-contour-21-1-4-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/bitnami-contour-21.1.4-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
bitnami/contour@21.1.4,no-crds,in-confighub,pass,pass,blocked,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/bitnami/contour/21.1.4,packages/bitnami/contour/21.1.4,recipes/bitnami/contour/21.1.4/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-contour-21-1-4-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/bitnami-contour-21.1.4-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
bitnami/elasticsearch@22.1.6,default,in-confighub,pass,pass,fail,missing,,,missing,missing,missing,,no,local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/bitnami/elasticsearch/22.1.6,packages/bitnami/elasticsearch/22.1.6,recipes/bitnami/elasticsearch/22.1.6/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/cl-elasticsearch-22-1-6-default-confighub-proof/latest/confighub-proof-receipt.yaml | runs/next80-local-kind/bitnami-elasticsearch-22.1.6-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
