chart,base,target_bound_base,derived_variant,source_space,downstream_space,intended_state,target_bound_live,argo,runtime,blockers,route_forward,intended_receipt,target_bound_receipt
bitnami/nginx@24.0.2,http-clusterip,http-clusterip,customer-acme-prod,helm-nginx-confighub-proof,NGINX-customer-acme-prod,pass,pass,pass,pass,,,runs/derived-variant-execution/nginx-customer-acme-prod/variant-create-receipt.yaml,runs/derived-variant-target-bound/nginx-customer-acme-prod/receipt.yaml
bitnami/nginx@24.0.2,http-clusterip,http-clusterip,prod-us-east,helm-nginx-confighub-proof,NGINX-prod-us-east,pass,pass,pass,pass,,,runs/derived-variant-execution/nginx-prod-us-east/variant-create-receipt.yaml,runs/derived-variant-target-bound/nginx-prod-us-east/receipt.yaml
bitnami/redis@25.5.3,default,,prod-us-east,helm-redis-confighub-proof,Redis-prod-us-east,pass,not-target-bound,not-attempted,not-attempted,,,runs/derived-variant-execution/redis-prod-us-east/variant-create-receipt.yaml,
bitnami/redis@25.5.3,default,default,staging-eu-west,helm-redis-confighub-proof,Redis-staging-eu-west,pass,blocked,not-attempted,not-attempted,namespace-mutation-not-yet-modeled;redis-secret-delivery-not-yet-modeled,"Add a derived namespace mutation check for Redis or keep namespace as redis in the declared derived variant.; Model Redis Secret delivery explicitly: generated-secret receipt for default, or target-fact Secret binding for reuse-existing-secret.; After those capabilities exist, run the same target-bound live path used for NGINX and record Argo/runtime evidence.",runs/derived-variant-execution/redis-staging-eu-west/variant-create-receipt.yaml,runs/derived-variant-target-bound/redis-staging-eu-west/receipt.yaml
grafana/grafana@10.5.15,generated-passwords,,customer-acme-prod,helm-grafana-confighub-proof,Grafana-customer-acme-prod,pass,not-target-bound,not-attempted,not-attempted,,,runs/derived-variant-execution/grafana-customer-acme-prod/variant-create-receipt.yaml,
grafana/grafana@10.5.15,generated-passwords,,prod-us-east,helm-grafana-confighub-proof,Grafana-prod-us-east,pass,not-target-bound,not-attempted,not-attempted,,,runs/derived-variant-execution/grafana-prod-us-east/variant-create-receipt.yaml,
hashicorp/vault@0.32.0,default,,regulated-prod-us-east,helm-vault-confighub-proof,Vault-regulated-prod-us-east,pass,not-target-bound,not-attempted,not-attempted,,,runs/derived-variant-execution/vault-regulated-prod-us-east/variant-create-receipt.yaml,
hashicorp/vault@0.32.0,default,,staging-us-east,helm-vault-confighub-proof,Vault-staging-us-east,pass,not-target-bound,not-attempted,not-attempted,,,runs/derived-variant-execution/vault-staging-us-east/variant-create-receipt.yaml,
metrics-server/metrics-server@3.13.0,default,default,prod-us-east,,MetricsServer-prod-us-east,not-in-intended-wave,pass,pass,pass,,,,runs/derived-variant-target-bound/metrics-server-prod-us-east/receipt.yaml
prometheus-community/prometheus@29.8.0,default,server-only-ephemeral,prod-us-east,helm-prometheus-confighub-proof,Prometheus-prod-us-east,pass,pass,pass,pass,,,runs/derived-variant-execution/prometheus-prod-us-east/variant-create-receipt.yaml,runs/derived-variant-target-bound/prometheus-server-only-prod-us-east/receipt.yaml
prometheus-community/prometheus@29.8.0,default,server-only-ephemeral,staging-eu-west,helm-prometheus-confighub-proof,Prometheus-staging-eu-west,pass,pass,pass,pass,,,runs/derived-variant-execution/prometheus-staging-eu-west/variant-create-receipt.yaml,runs/derived-variant-target-bound/prometheus-server-only-staging-eu-west/receipt.yaml
