chart,feature,status,support_meaning,evidence
aqua/trivy-operator@0.32.1,post_deploy_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,other_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,hook_status,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,generates_secrets,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,existing_secret,buildable - not yet run,bring-your-own-secret route status,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,crds,present,tracked chart fact,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,no_crds_variant,built,CRD ownership route status,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,webhooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,required_values,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,values_schema,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,install_vs_upgrade,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,notes,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,extension_slots,yes - per-use review,open extension slots require per-use review,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,buildable_not_yet_run,existing-secret (buildable - not yet run),known build path exists but has not been promoted,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
aqua/trivy-operator@0.32.1,not_yet_enabled,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),no hard capability gap recorded,data/chart-facts/chart-facts.csv;recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml;recipes/aqua/trivy-operator/0.32.1/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,post_deploy_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,other_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,hook_status,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,generates_secrets,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,existing_secret,n/a,bring-your-own-secret route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,crds,present,tracked chart fact,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,no_crds_variant,built,CRD ownership route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,webhooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,required_values,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,values_schema,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,install_vs_upgrade,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,notes,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,extension_slots,yes - per-use review,open extension slots require per-use review,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,buildable_not_yet_run,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-cd@9.5.15,not_yet_enabled,ha (curated proof lane - bespoke teaching needed),hard gap or curated proof lane remains,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-cd/9.5.15/helm-pain-report.yaml;recipes/argo-cd/argo-cd/9.5.15/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,post_deploy_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,other_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,hook_status,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,generates_secrets,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,existing_secret,n/a,bring-your-own-secret route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,crds,present,tracked chart fact,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,no_crds_variant,built,CRD ownership route status,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,webhooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,required_values,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,values_schema,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,install_vs_upgrade,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,notes,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,extension_slots,yes - per-use review,open extension slots require per-use review,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,buildable_not_yet_run,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-events@2.4.21,not_yet_enabled,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),no hard capability gap recorded,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml;recipes/argo-cd/argo-events/2.4.21/weirdness-and-mitigations.md
argo-cd/argo-rollouts@2.40.9,post_deploy_hooks,-,not observed or not applicable in chart facts,data/chart-facts/chart-facts.csv;recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml;recipes/argo-cd/argo-rollouts/2.40.9/weirdness-and-mitigations.md
