chart,category,class,confighub_home
aqua/trivy-operator@0.32.1,secret-material,build,recipe
bitnami/spark@10.0.3,secret-material,build,recipe
crossplane-stable/crossplane@2.3.1,secret-material,build,recipe
dex/dex@0.24.0,secret-material,build,recipe
elastic/eck-operator@3.4.0,secret-material,build,recipe
falcosecurity/falcosidekick@0.13.1,secret-material,build,recipe
gatekeeper/gatekeeper@3.22.2,secret-material,build,recipe
grafana/promtail@6.17.1,secret-material,build,recipe
minio-operator/tenant@7.1.1,secret-material,build,recipe
nats/nats@2.14.0,secret-material,build,recipe
runix/pgadmin4@1.62.0,secret-material,build,recipe
velero/velero@12.0.1,secret-material,build,recipe
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,sync-secret-rotation,build,recipe
grafana/grafana@10.5.15,chart-deprecation,sme,recipe
grafana/tempo@1.24.4,chart-deprecation,sme,recipe
aqua/trivy-operator@0.32.1,extension-slots,sme,extension-slot
argo-cd/argo-events@2.4.21,extension-slots,sme,extension-slot
argo-cd/argo-rollouts@2.40.9,extension-slots,sme,extension-slot
argo-cd/argo-workflows@1.0.14,extension-slots,sme,extension-slot
argo-cd/argocd-image-updater@1.2.2,extension-slots,sme,extension-slot
autoscaler/cluster-autoscaler@9.57.0,extension-slots,sme,extension-slot
autoscaler/vertical-pod-autoscaler@0.9.0,extension-slots,sme,extension-slot
bitnami/apache@11.4.29,extension-slots,sme,extension-slot
bitnami/contour@21.1.4,extension-slots,sme,extension-slot
bitnami/elasticsearch@22.1.6,extension-slots,sme,extension-slot
bitnami/memcached@8.5.5,extension-slots,sme,extension-slot
bitnami/opensearch@2.0.10,extension-slots,sme,extension-slot
bitnami/phpmyadmin@20.0.0,extension-slots,sme,extension-slot
bitnami/spark@10.0.3,extension-slots,sme,extension-slot
bitnami/zookeeper@13.8.7,extension-slots,sme,extension-slot
coredns/coredns@1.45.2,extension-slots,sme,extension-slot
crossplane-stable/crossplane@2.3.1,extension-slots,sme,extension-slot
elastic/eck-operator@3.4.0,extension-slots,sme,extension-slot
elastic/filebeat@8.5.1,extension-slots,sme,extension-slot
elastic/kibana@8.5.1,extension-slots,sme,extension-slot
elastic/logstash@8.5.1,extension-slots,sme,extension-slot
elastic/metricbeat@8.5.1,extension-slots,sme,extension-slot
external-dns/external-dns@1.21.1,extension-slots,sme,extension-slot
fairwinds-stable/goldilocks@10.3.0,extension-slots,sme,extension-slot
