receipt,family,date_field,recorded,age_days
runs/redis-confighub/latest/upload-oci-receipt.yaml,redis-confighub,observedAt,2026-05-26T12:22:45Z,92
runs/redis-local-kind/reuse-existing-secret-latest/observation-receipt.yaml,redis-local-kind,observedAt,2026-05-26T11:33:15.250Z,92
runs/alertmanager-confighub-proof/latest/confighub-proof-receipt.yaml,alertmanager-confighub-proof,date,2026-05-27,91
runs/alertmanager-confighub-proof/latest/function-scan-receipt.yaml,alertmanager-confighub-proof,observedAt,2026-05-27,91
runs/alertmanager-confighub-proof/latest/safe-ops-receipt.yaml,alertmanager-confighub-proof,observedAt,2026-05-27,91
runs/alertmanager-default-confighub-proof/latest/variant-promotion-receipt.yaml,alertmanager-default-confighub-proof,observedAt,2026-05-27,91
runs/alertmanager-ha-confighub-proof/latest/confighub-proof-receipt.yaml,alertmanager-ha-confighub-proof,date,2026-05-27,91
runs/alertmanager-ha-confighub-proof/latest/function-scan-receipt.yaml,alertmanager-ha-confighub-proof,observedAt,2026-05-27,91
runs/alertmanager-ha-confighub-proof/latest/safe-ops-receipt.yaml,alertmanager-ha-confighub-proof,observedAt,2026-05-27,91
runs/alertmanager-ha-confighub-proof/latest/variant-promotion-receipt.yaml,alertmanager-ha-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-9517-confighub-proof/latest/confighub-proof-receipt.yaml,argo-cd-9517-confighub-proof,date,2026-05-27,91
runs/argo-cd-9517-confighub-proof/latest/function-scan-receipt.yaml,argo-cd-9517-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-9517-confighub-proof/latest/safe-ops-receipt.yaml,argo-cd-9517-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-9517-default-confighub-proof/latest/variant-promotion-receipt.yaml,argo-cd-9517-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-confighub-proof/latest/confighub-proof-receipt.yaml,argo-cd-confighub-proof,date,2026-05-27,91
runs/argo-cd-confighub-proof/latest/function-scan-receipt.yaml,argo-cd-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-confighub-proof/latest/safe-ops-receipt.yaml,argo-cd-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-confighub-proof/latest/variant-promotion-receipt.yaml,argo-cd-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-default-confighub-proof/latest/confighub-proof-receipt.yaml,argo-cd-default-confighub-proof,date,2026-05-27,91
runs/argo-cd-default-confighub-proof/latest/function-scan-receipt.yaml,argo-cd-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-default-confighub-proof/latest/safe-ops-receipt.yaml,argo-cd-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-default-confighub-proof/latest/variant-promotion-receipt.yaml,argo-cd-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml,argo-cd-no-crds-confighub-proof,date,2026-05-27,91
runs/argo-cd-no-crds-confighub-proof/latest/function-scan-receipt.yaml,argo-cd-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-no-crds-confighub-proof/latest/safe-ops-receipt.yaml,argo-cd-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-cd-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,argo-cd-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-events-confighub-proof/latest/confighub-proof-receipt.yaml,argo-events-confighub-proof,date,2026-05-27,91
runs/argo-events-confighub-proof/latest/function-scan-receipt.yaml,argo-events-confighub-proof,observedAt,2026-05-27,91
runs/argo-events-confighub-proof/latest/safe-ops-receipt.yaml,argo-events-confighub-proof,observedAt,2026-05-27,91
runs/argo-events-default-confighub-proof/latest/variant-promotion-receipt.yaml,argo-events-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-events-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml,argo-events-no-crds-confighub-proof,date,2026-05-27,91
runs/argo-events-no-crds-confighub-proof/latest/function-scan-receipt.yaml,argo-events-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-events-no-crds-confighub-proof/latest/safe-ops-receipt.yaml,argo-events-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-events-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,argo-events-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-rollouts-confighub-proof/latest/confighub-proof-receipt.yaml,argo-rollouts-confighub-proof,date,2026-05-27,91
runs/argo-rollouts-confighub-proof/latest/function-scan-receipt.yaml,argo-rollouts-confighub-proof,observedAt,2026-05-27,91
runs/argo-rollouts-confighub-proof/latest/safe-ops-receipt.yaml,argo-rollouts-confighub-proof,observedAt,2026-05-27,91
runs/argo-rollouts-default-confighub-proof/latest/variant-promotion-receipt.yaml,argo-rollouts-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-rollouts-no-crds-confighub-proof/latest/confighub-proof-receipt.yaml,argo-rollouts-no-crds-confighub-proof,date,2026-05-27,91
runs/argo-rollouts-no-crds-confighub-proof/latest/function-scan-receipt.yaml,argo-rollouts-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-rollouts-no-crds-confighub-proof/latest/safe-ops-receipt.yaml,argo-rollouts-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-rollouts-no-crds-confighub-proof/latest/variant-promotion-receipt.yaml,argo-rollouts-no-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-confighub-proof/latest/confighub-proof-receipt.yaml,argo-workflows-confighub-proof,date,2026-05-27,91
runs/argo-workflows-confighub-proof/latest/function-scan-receipt.yaml,argo-workflows-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-confighub-proof/latest/safe-ops-receipt.yaml,argo-workflows-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-controller-default-reviewed-confighub-proof/latest/variant-promotion-receipt.yaml,argo-workflows-controller-default-reviewed-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-default-confighub-proof/latest/confighub-proof-receipt.yaml,argo-workflows-default-confighub-proof,date,2026-05-27,91
runs/argo-workflows-default-confighub-proof/latest/function-scan-receipt.yaml,argo-workflows-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-default-confighub-proof/latest/safe-ops-receipt.yaml,argo-workflows-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-default-confighub-proof/latest/variant-promotion-receipt.yaml,argo-workflows-default-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-minimal-crds-confighub-proof/latest/confighub-proof-receipt.yaml,argo-workflows-minimal-crds-confighub-proof,date,2026-05-27,91
runs/argo-workflows-minimal-crds-confighub-proof/latest/function-scan-receipt.yaml,argo-workflows-minimal-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-minimal-crds-confighub-proof/latest/safe-ops-receipt.yaml,argo-workflows-minimal-crds-confighub-proof,observedAt,2026-05-27,91
runs/argo-workflows-minimal-crds-confighub-proof/latest/variant-promotion-receipt.yaml,argo-workflows-minimal-crds-confighub-proof,observedAt,2026-05-27,91
runs/argocd-image-updater-confighub-proof/latest/confighub-proof-receipt.yaml,argocd-image-updater-confighub-proof,date,2026-05-27,91
runs/argocd-image-updater-confighub-proof/latest/function-scan-receipt.yaml,argocd-image-updater-confighub-proof,observedAt,2026-05-27,91
runs/argocd-image-updater-confighub-proof/latest/safe-ops-receipt.yaml,argocd-image-updater-confighub-proof,observedAt,2026-05-27,91
runs/argocd-image-updater-default-confighub-proof/latest/variant-promotion-receipt.yaml,argocd-image-updater-default-confighub-proof,observedAt,2026-05-27,91
runs/aws-ebs-csi-driver-default-confighub-proof/latest/confighub-proof-receipt.yaml,aws-ebs-csi-driver-default-confighub-proof,date,2026-05-27,91
runs/aws-ebs-csi-driver-default-confighub-proof/latest/function-scan-receipt.yaml,aws-ebs-csi-driver-default-confighub-proof,observedAt,2026-05-27,91
runs/aws-ebs-csi-driver-default-confighub-proof/latest/safe-ops-receipt.yaml,aws-ebs-csi-driver-default-confighub-proof,observedAt,2026-05-27,91
runs/aws-ebs-csi-driver-default-confighub-proof/latest/variant-promotion-receipt.yaml,aws-ebs-csi-driver-default-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-confighub-proof/latest/confighub-proof-receipt.yaml,cert-manager-confighub-proof,date,2026-05-27,91
runs/cert-manager-confighub-proof/latest/function-scan-receipt.yaml,cert-manager-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-confighub-proof/latest/safe-ops-receipt.yaml,cert-manager-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-confighub-proof/latest/variant-promotion-receipt.yaml,cert-manager-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-crds-enabled-confighub-proof/latest/confighub-proof-receipt.yaml,cert-manager-crds-enabled-confighub-proof,date,2026-05-27,91
runs/cert-manager-crds-enabled-confighub-proof/latest/function-scan-receipt.yaml,cert-manager-crds-enabled-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-crds-enabled-confighub-proof/latest/safe-ops-receipt.yaml,cert-manager-crds-enabled-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-crds-enabled-confighub-proof/latest/variant-promotion-receipt.yaml,cert-manager-crds-enabled-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-csi-driver-default-confighub-proof/latest/confighub-proof-receipt.yaml,cert-manager-csi-driver-default-confighub-proof,date,2026-05-27,91
runs/cert-manager-csi-driver-default-confighub-proof/latest/function-scan-receipt.yaml,cert-manager-csi-driver-default-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-csi-driver-default-confighub-proof/latest/safe-ops-receipt.yaml,cert-manager-csi-driver-default-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-csi-driver-default-confighub-proof/latest/variant-promotion-receipt.yaml,cert-manager-csi-driver-default-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-default-confighub-proof/latest/confighub-proof-receipt.yaml,cert-manager-default-confighub-proof,date,2026-05-27,91
runs/cert-manager-default-confighub-proof/latest/function-scan-receipt.yaml,cert-manager-default-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-default-confighub-proof/latest/safe-ops-receipt.yaml,cert-manager-default-confighub-proof,observedAt,2026-05-27,91
runs/cert-manager-default-confighub-proof/latest/variant-promotion-receipt.yaml,cert-manager-default-confighub-proof,observedAt,2026-05-27,91
runs/cl-apache-11-4-29-default-confighub-proof/latest/confighub-proof-receipt.yaml,cl-apache-11-4-29-default-confighub-proof,date,2026-05-27,91
runs/cl-apache-11-4-29-default-confighub-proof/latest/function-scan-receipt.yaml,cl-apache-11-4-29-default-confighub-proof,observedAt,2026-05-27,91
runs/cl-apache-11-4-29-default-confighub-proof/latest/safe-ops-receipt.yaml,cl-apache-11-4-29-default-confighub-proof,observedAt,2026-05-27,91
runs/cl-apache-11-4-29-default-confighub-proof/latest/variant-promotion-receipt.yaml,cl-apache-11-4-29-default-confighub-proof,observedAt,2026-05-27,91
runs/cl-apache-11-4-29-legacy-confighub-proof/latest/confighub-proof-receipt.yaml,cl-apache-11-4-29-legacy-confighub-proof,date,2026-05-27,91
