chart,version,base,receipt,missing_images,image_location,both_helm_and_confighub_fail,candidate_override_path,current_off_ramp,recommended_action,owner_class,next_action
bitnami/apache,11.4.29,default,runs/live-helm-confighub-compare/bitnami-apache-default/receipt.yaml,docker.io/bitnami/apache:2.4.65-debian-12-r2,init-container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/apache,11.4.29,legacy,runs/live-helm-confighub-compare/bitnami-apache-legacy/receipt.yaml,docker.io/bitnamilegacy/apache:2.4.65-debian-12-r2,init-container,regular-helm-only,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/contour,21.1.4,default,runs/live-helm-confighub-compare/bitnami-contour-default/receipt.yaml,docker.io/bitnami/contour:1.32.1-debian-12-r0; docker.io/bitnami/envoy:1.34.5-debian-12-r0,hook/lifecycle-job,regular-helm-only,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/contour,21.1.4,no-crds,runs/live-helm-confighub-compare/bitnami-contour-no-crds/receipt.yaml,docker.io/bitnami/contour:1.32.1-debian-12-r0; docker.io/bitnami/envoy:1.34.5-debian-12-r0,hook/lifecycle-job,regular-helm-only,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/elasticsearch,22.1.6,default,runs/live-helm-confighub-compare/bitnami-elasticsearch-default/receipt.yaml,docker.io/bitnami/elasticsearch:9.1.2-debian-12-r0; docker.io/bitnami/os-shell:12-debian-12-r50,init-container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/elasticsearch,22.1.6,ha,runs/live-helm-confighub-compare/bitnami-elasticsearch-ha/receipt.yaml,docker.io/bitnami/elasticsearch:9.1.2-debian-12-r0; docker.io/bitnami/os-shell:12-debian-12-r50,init-container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/elasticsearch,22.1.6,legacy,runs/live-helm-confighub-compare/bitnami-elasticsearch-legacy/receipt.yaml,docker.io/bitnamilegacy/elasticsearch:9.1.2-debian-12-r0; docker.io/bitnamilegacy/os-shell:12-debian-12-r50,init-container,regular-helm-only,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/opensearch,2.0.10,default,runs/live-helm-confighub-compare/bitnami-opensearch-default/receipt.yaml,docker.io/bitnami/opensearch:3.2.0-debian-12-r0; docker.io/bitnami/os-shell:12-debian-12-r51,init-container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/opensearch,2.0.10,ha,runs/live-helm-confighub-compare/bitnami-opensearch-ha/receipt.yaml,docker.io/bitnami/opensearch:3.2.0-debian-12-r0; docker.io/bitnami/os-shell:12-debian-12-r51,init-container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/opensearch,2.0.10,legacy,runs/live-helm-confighub-compare/bitnami-opensearch-legacy/receipt.yaml,docker.io/bitnamilegacy/opensearch:3.2.0-debian-12-r0; docker.io/bitnamilegacy/os-shell:12-debian-12-r51,init-container,regular-helm-only,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/phpmyadmin,20.0.0,default,runs/live-helm-confighub-compare/bitnami-phpmyadmin-default/receipt.yaml,docker.io/bitnami/phpmyadmin:5.2.2-debian-12-r22,init-container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/phpmyadmin,20.0.0,legacy,runs/live-helm-confighub-compare/bitnami-phpmyadmin-legacy/receipt.yaml,docker.io/bitnamilegacy/phpmyadmin:5.2.2-debian-12-r22,init-container,regular-helm-only,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/spark,10.0.3,default,runs/live-helm-confighub-compare/bitnami-spark-default/receipt.yaml,docker.io/bitnami/spark:4.0.0-debian-12-r20,container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/spark,10.0.3,ha,runs/live-helm-confighub-compare/bitnami-spark-ha/receipt.yaml,docker.io/bitnami/spark:4.0.0-debian-12-r20,container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/spark,10.0.3,legacy,runs/live-helm-confighub-compare/bitnami-spark-legacy/receipt.yaml,docker.io/bitnamilegacy/spark:4.0.0-debian-12-r20,container,regular-helm-only,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/zookeeper,13.8.7,default,runs/live-helm-confighub-compare/bitnami-zookeeper-default/receipt.yaml,docker.io/bitnami/zookeeper:3.9.3-debian-12-r21,container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/zookeeper,13.8.7,ha,runs/live-helm-confighub-compare/bitnami-zookeeper-ha/receipt.yaml,docker.io/bitnami/zookeeper:3.9.3-debian-12-r21,container,both,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
bitnami/zookeeper,13.8.7,legacy,runs/live-helm-confighub-compare/bitnami-zookeeper-legacy/receipt.yaml,docker.io/bitnamilegacy/zookeeper:3.9.3-debian-12-r21,container,regular-helm-only,unknown — no image override in committed recipe artifacts (chart uses its default image.* values),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",refresh-chart-or-base,catalog-refresh,"Refresh the catalog base to a chart version whose pinned image still exists upstream, or pin a retained digest; the current pinned tag(s) were removed from the publisher registry."
istio/gateway,1.30.0,controller-default-reviewed,runs/live-helm-confighub-compare/istio-gateway-controller-default-reviewed/receipt.yaml,auto,container,both,"set a concrete image in a supported base, or deploy the injector (chart renders image: auto; no image value in committed base)","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",supported-image-override,base-design,"Provide a concrete image in a supported base; the chart renders `image: auto` for sidecar injection, which is not present on a vanilla target."
istio/gateway,1.30.0,default,runs/live-helm-confighub-compare/istio-gateway-default/receipt.yaml,auto,container,both,"set a concrete image in a supported base, or deploy the injector (chart renders image: auto; no image value in committed base)","Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",supported-image-override,base-design,"Provide a concrete image in a supported base; the chart renders `image: auto` for sidecar injection, which is not present on a vanilla target."
