wave,priority,chart,version,base,controller,current_evidence,status,package_path,recipe_path,required_receipt,next_action
1,1,bitnami/redis,25.5.3,reuse-existing-secret,Flux OCI,local-kind-observed,ready-for-gitops-live-run,packages/bitnami/redis/25.5.3,recipes/bitnami/redis/25.5.3,data/runtime-gitops/receipts/bitnami-redis/reuse-existing-secret/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,2,bitnami/nginx,24.0.2,http-clusterip,Argo CD OCI,local-kind-observed,ready-for-gitops-live-run,packages/bitnami/nginx/24.0.2,recipes/bitnami/nginx/24.0.2,data/runtime-gitops/receipts/bitnami-nginx/http-clusterip/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,3,metrics-server/metrics-server,3.13.0,default,Argo CD OCI,local-kind-observed,ready-for-gitops-live-run,packages/metrics-server/metrics-server/3.13.0,recipes/metrics-server/metrics-server/3.13.0,data/runtime-gitops/receipts/metrics-server-metrics-server/default/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,4,prometheus-community/prometheus,29.8.0,server-only-ephemeral,Flux OCI,local-kind-observed,ready-for-gitops-live-run,packages/prometheus-community/prometheus/29.8.0,recipes/prometheus-community/prometheus/29.8.0,data/runtime-gitops/receipts/prometheus-community-prometheus/server-only-ephemeral/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,5,bitnami/postgresql,18.6.7,existing-secret,Flux OCI,local-kind-observed,ready-for-gitops-live-run,packages/bitnami/postgresql/18.6.7,recipes/bitnami/postgresql/18.6.7,data/runtime-gitops/receipts/bitnami-postgresql/existing-secret/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,6,external-secrets/external-secrets,2.5.0,no-crds,Argo CD OCI,local-kind-observed,ready-for-gitops-live-run,packages/external-secrets/external-secrets/2.5.0,recipes/external-secrets/external-secrets/2.5.0,data/runtime-gitops/receipts/external-secrets-external-secrets/no-crds/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,7,ingress-nginx/ingress-nginx,4.15.1,admission-disabled,Argo CD OCI,local-kind-observed,ready-for-gitops-live-run,packages/ingress-nginx/ingress-nginx/4.15.1,recipes/ingress-nginx/ingress-nginx/4.15.1,data/runtime-gitops/receipts/ingress-nginx-ingress-nginx/admission-disabled/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,8,argo-cd/argo-cd,9.5.15,no-crds,Argo CD OCI,local-kind-observed,ready-for-gitops-live-run,packages/argo-cd/argo-cd/9.5.15,recipes/argo-cd/argo-cd/9.5.15,data/runtime-gitops/receipts/argo-cd-argo-cd/no-crds/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,9,prometheus-community/kube-prometheus-stack,85.3.3,no-crds,Flux OCI,local-kind-observed,ready-for-gitops-live-run,packages/prometheus-community/kube-prometheus-stack/85.3.3,recipes/prometheus-community/kube-prometheus-stack/85.3.3,data/runtime-gitops/receipts/prometheus-community-kube-prometheus-stack/no-crds/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
1,10,hashicorp/consul,2.0.0,secure-mesh-existing-secrets,Flux OCI,local-kind-observed,ready-for-gitops-live-run,packages/hashicorp/consul/2.0.0,recipes/hashicorp/consul/2.0.0,data/runtime-gitops/receipts/hashicorp-consul/secure-mesh-existing-secrets/latest.yaml,"publish/upload the selected base, let the declared OCI controller sync it, then commit the runtime/GitOps observation receipt"
