chart,base,rendered_secret_count,target_fact_secret_count,lifecycle_secret_count,user_secret_count,review_secret_count,overall_disposition,dispositions,roles,evidence,notes
aqua/trivy-operator@0.32.1,default,2,0,0,0,2,delivered,delivered,secret-material-review,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
aqua/trivy-operator@0.32.1,no-crds,2,0,0,0,2,delivered,delivered,secret-material-review,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
argo-cd/argo-cd@9.5.15,default,2,1,0,3,0,delivered-and-staged,delivered;staged,user-credential-material,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/rendered/release-objects.yaml;recipes/argo-cd/argo-cd/9.5.15/variants/default/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
argo-cd/argo-cd@9.5.15,no-crds,2,1,0,3,0,delivered-and-staged,delivered;staged,user-credential-material,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/rendered/release-objects.yaml;recipes/argo-cd/argo-cd/9.5.15/variants/no-crds/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
argo-cd/argo-events@2.4.21,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/argo-cd/argo-events/2.4.21/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
argo-cd/argo-events@2.4.21,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/argo-cd/argo-events/2.4.21/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
argo-cd/argo-rollouts@2.40.9,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/argo-cd/argo-rollouts/2.40.9/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
argo-cd/argo-rollouts@2.40.9,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/argo-cd/argo-rollouts/2.40.9/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
argo-cd/argo-workflows@1.0.14,controller-default-reviewed,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/argo-cd/argo-workflows/1.0.14/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
argo-cd/argo-workflows@1.0.14,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/argo-cd/argo-workflows/1.0.14/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
argo-cd/argo-workflows@1.0.14,minimal-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/argo-cd/argo-workflows/1.0.14/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
argo-cd/argocd-image-updater@1.2.2,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/argo-cd/argocd-image-updater/1.2.2/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
autoscaler/cluster-autoscaler@9.57.0,controller-default-reviewed,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/autoscaler/cluster-autoscaler/9.57.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
autoscaler/cluster-autoscaler@9.57.0,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/autoscaler/cluster-autoscaler/9.57.0/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
autoscaler/vertical-pod-autoscaler@0.9.0,default,0,1,1,0,0,staged,staged,kubernetes-lifecycle-state,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/variants/default/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
autoscaler/vertical-pod-autoscaler@0.9.0,no-crds,0,1,1,0,0,staged,staged,kubernetes-lifecycle-state,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/variants/no-crds/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/apache@11.4.29,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/apache/11.4.29/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/contour@21.1.4,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/contour/21.1.4/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/contour@21.1.4,no-crds,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/contour/21.1.4/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/elasticsearch@22.1.6,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/elasticsearch/22.1.6/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/elasticsearch@22.1.6,ha,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/elasticsearch/22.1.6/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/memcached@8.5.5,default,0,0,0,0,0,not-applicable,not-applicable,not-applicable,recipes/bitnami/memcached/8.5.5/artifact-index.yaml,No rendered Secret or required target Secret is present in the committed artifact index for this base.
bitnami/mongodb@19.0.7,existing-secret-replicaset,0,1,0,1,0,staged,staged,user-credential-material,recipes/bitnami/mongodb/19.0.7/variants/existing-secret-replicaset/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/mongodb@19.0.7,generated-passwords,1,0,0,1,0,delivered,delivered,user-credential-material,recipes/bitnami/mongodb/19.0.7/revisions/generated-passwords/r001/rendered/release-objects.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
bitnami/mysql@14.0.3,existing-secret,0,1,0,1,0,staged,staged,user-credential-material,recipes/bitnami/mysql/14.0.3/variants/existing-secret/variant.yaml,Secret handling is explicit for this base; read secrets.csv for per-Secret ownership.
