"persona","run_id","category","format","goal_code","goal","start_url","outcome","clicks","elapsed_ms","start_complete","start_matched_groups","first_click_accurate","matched_groups","total_groups","actionable","next_action_clear","disposition","evidence_url","evidence_title","evidence_excerpt","path"
"developer","developer-001","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/index.html","success","0","47","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/index.html","Config Workshop · Understand and test your configuration","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Helm · AICR · OCI packages Detect and Stop Config Drift Search the Catalog when we already cover your chart and version","http://127.0.0.1:8767/site/index.html"
"developer","developer-002","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/guides.html","success","0","19","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/guides.html","Guides · Config Workshop","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Learn this by doing it Three guides, shortest first. Each one runs real commands against real packages, so you finish w","http://127.0.0.1:8767/site/guides.html"
"developer","developer-003","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/ask.html","success","0","19","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/ask.html","Check my config · Config Workshop","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Check your configuration Use the AI assistant you already have. For Helm, this page builds a local prompt for one chart","http://127.0.0.1:8767/site/ask.html"
"developer","developer-004","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/charts/index.html","success","0","14","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/charts/index.html","Component Catalog · Config Workshop","Component Catalog · Config Workshop Config Workshop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Choose a co","http://127.0.0.1:8767/site/charts/index.html"
"developer","developer-005","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/try.html","success","0","19","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/try.html","Try Redis · Config Workshop","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Try a simple example: Redis Runs on your laptop Render one reviewed Redis configuration and inspect the 14 Kubernetes o","http://127.0.0.1:8767/site/try.html"
"developer","developer-006","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/testing.html","success","0","33","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/testing.html","Worked Examples · Config Workshop","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Choose a worked example Runs on your laptop Choose the kind of configuration you have, then follow one worked example t","http://127.0.0.1:8767/site/testing.html"
"developer","developer-007","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/how-it-works.html","success","0","32","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/how-it-works.html","Choose How To Deploy It · Config Workshop","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Choose how to deploy it Come here after you have inspected the Kubernetes objects. They may have come from Helm, an AIC","http://127.0.0.1:8767/site/how-it-works.html"
"developer","developer-008","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/docs.html","success","0","19","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/docs.html","Docs · Config Workshop","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Find instructions for the step you are doing Choose the question closest to your current work. Each link opens the comm","http://127.0.0.1:8767/site/docs.html"
"developer","developer-009","comprehension","mixed","D-C1","understand what this site does","http://127.0.0.1:8767/site/confighub.html","success","0","12","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/confighub.html","Use ConfigHub · Config Workshop","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Keep and manage your configuration with ConfigHub Needs a ConfigHub account ConfigHub keeps reviewed Kubernetes configu","http://127.0.0.1:8767/site/confighub.html"
"developer","developer-010","comprehension","mixed","D-C2","understand Catalog versus my own case","http://127.0.0.1:8767/site/index.html","success","0","12","yes","2","no","2","2","yes","yes","continue","http://127.0.0.1:8767/site/index.html","Config Workshop · Understand and test your configuration","hop AN EXPERIMENTAL TEST SITE FOR CONFIG TOOLS Guides Check my config Catalog Deployment Docs FAQ ConfigHub Helm · AICR · OCI packages Detect and Stop Config Drift Search the Catalog when we already cover your chart and version","http://127.0.0.1:8767/site/index.html"
