chart,version,chart_ref,packet,selected_base_candidate,candidate_variants,decision_state,catalog_support_claim_allowed,strongest_evidence,scan_high,scan_medium,gate_decisions,work_order_count,feature_focus,next_action
aqua/trivy-operator,0.32.1,aqua/trivy-operator@0.32.1,data/top100-promotion-wave/review-packets/aqua-trivy-operator-0-32-1.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,19,allow;warn,4,,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
argo-cd/argo-events,2.4.21,argo-cd/argo-events@2.4.21,data/top100-promotion-wave/review-packets/argo-cd-argo-events-2-4-21.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,5,allow;warn,4,,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
argo-cd/argo-rollouts,2.40.9,argo-cd/argo-rollouts@2.40.9,data/top100-promotion-wave/review-packets/argo-cd-argo-rollouts-2-40-9.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,10,allow;warn,4,,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
autoscaler/vertical-pod-autoscaler,0.9.0,autoscaler/vertical-pod-autoscaler@0.9.0,data/top100-promotion-wave/review-packets/autoscaler-vertical-pod-autoscaler-0-9-0.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,25,allow;warn,4,,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
cloudnative-pg/cloudnative-pg,0.28.2,cloudnative-pg/cloudnative-pg@0.28.2,data/top100-promotion-wave/review-packets/cloudnative-pg-cloudnative-pg-0-28-2.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,16,allow;warn,9,generated-facts;tpl;crds;cluster-rbac;webhooks,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,data/top100-promotion-wave/review-packets/elastic-eck-operator-3-4-0.yaml,default,default;ha;no-crds,review-input-only,false,two-cluster-kind-parity,0,18,allow;warn,8,tpl;capabilities;cluster-rbac;webhooks;stateful-storage,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
elastic/logstash,8.5.1,elastic/logstash@8.5.1,data/top100-promotion-wave/review-packets/elastic-logstash-8-5-1.yaml,default,default;ha,review-input-only,false,two-cluster-kind-parity,0,0,allow,6,tpl;capabilities;stateful-storage,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
external-dns/external-dns,1.21.1,external-dns/external-dns@1.21.1,data/top100-promotion-wave/review-packets/external-dns-external-dns-1-21-1.yaml,dry-run-txt-registry,default;no-crds;dry-run-txt-registry,review-input-only,false,two-cluster-kind-parity,0,3,allow;warn,7,tpl;crds;cluster-rbac,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
gatekeeper/gatekeeper,3.22.2,gatekeeper/gatekeeper@3.22.2,data/top100-promotion-wave/review-packets/gatekeeper-gatekeeper-3-22-2.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,22,allow;warn,8,capabilities;hooks;crds;cluster-rbac;webhooks,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
grafana/alloy,1.8.2,grafana/alloy@1.8.2,data/top100-promotion-wave/review-packets/grafana-alloy-1-8-2.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,3,allow;warn,8,tpl;capabilities;crds;cluster-rbac;stateful-storage,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
nats/nats,2.14.0,nats/nats@2.14.0,data/top100-promotion-wave/review-packets/nats-nats-2-14-0.yaml,default,default;ha,review-input-only,false,two-cluster-kind-parity,0,1,allow;warn,5,tpl,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
open-telemetry/opentelemetry-operator,0.114.0,open-telemetry/opentelemetry-operator@0.114.0,data/top100-promotion-wave/review-packets/open-telemetry-opentelemetry-operator-0-114-0.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,9,allow;warn,4,,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
percona/pg-operator,3.0.0,percona/pg-operator@3.0.0,data/top100-promotion-wave/review-packets/percona-pg-operator-3-0-0.yaml,default,default;no-crds,review-input-only,false,two-cluster-kind-parity,0,8,allow;warn,4,,"Use this packet to choose the promoted base, close the listed review decisions, link selected live evidence or a routed deferral, then write a target-scoped support decision before changing catalog status."
