chart,version,repository,provenance,reason
alertmanager,1.37.0,https://prometheus-community.github.io/helm-charts,signed,provenance-file-published
alloy,1.11.0,https://grafana.github.io/helm-charts,unsigned,no-provenance-file
alloy,1.8.2,https://grafana.github.io/helm-charts,unsigned,no-provenance-file
apache,11.4.29,https://charts.bitnami.com/bitnami,unknown,oci-hosted-chart
argo-cd,10.1.3,https://argoproj.github.io/argo-helm,signed,provenance-file-published
argo-cd,10.2.1,https://argoproj.github.io/argo-helm,signed,provenance-file-published
argo-cd,9.5.15,https://argoproj.github.io/argo-helm,signed,provenance-file-published
argo-cd,9.5.17,https://argoproj.github.io/argo-helm,signed,provenance-file-published
argo-events,2.4.21,https://argoproj.github.io/argo-helm,signed,provenance-file-published
argo-rollouts,2.40.9,https://argoproj.github.io/argo-helm,signed,provenance-file-published
argo-workflows,1.0.14,https://argoproj.github.io/argo-helm,signed,provenance-file-published
argocd-image-updater,1.2.2,https://argoproj.github.io/argo-helm,signed,provenance-file-published
aws-ebs-csi-driver,2.60.1,https://kubernetes-sigs.github.io/aws-ebs-csi-driver,unsigned,no-provenance-file
cert-manager,v1.20.2,https://charts.jetstack.io,signed,provenance-file-published
cert-manager,v1.21.0,https://charts.jetstack.io,signed,provenance-file-published
cert-manager-csi-driver,v0.14.0,https://charts.jetstack.io,unsigned,no-provenance-file
cloudnative-pg,0.28.2,https://cloudnative-pg.github.io/charts,signed,provenance-file-published
cluster-autoscaler,9.57.0,https://kubernetes.github.io/autoscaler,unsigned,no-provenance-file
consul,2.0.0,https://helm.releases.hashicorp.com,signed,provenance-file-published
contour,21.1.4,https://charts.bitnami.com/bitnami,unknown,oci-hosted-chart
coredns,1.45.2,https://coredns.github.io/helm,unsigned,no-provenance-file
crossplane,2.3.1,https://charts.crossplane.io/stable,unsigned,no-provenance-file
descheduler,0.36.0,https://kubernetes-sigs.github.io/descheduler,unsigned,no-provenance-file
dex,0.24.0,https://charts.dexidp.io,unsigned,no-provenance-file
ec2-chart,1.18.4,oci://public.ecr.aws/aws-controllers-k8s,unknown,oci
eck-operator,3.4.0,https://helm.elastic.co,unsigned,no-provenance-file
eks-chart,1.16.3,oci://public.ecr.aws/aws-controllers-k8s,unknown,oci
elasticsearch,22.1.6,https://charts.bitnami.com/bitnami,unknown,oci-hosted-chart
external-dns,1.21.1,https://kubernetes-sigs.github.io/external-dns,unsigned,no-provenance-file
external-secrets,2.5.0,https://charts.external-secrets.io,signed,provenance-file-published
external-secrets,2.7.0,https://charts.external-secrets.io,signed,provenance-file-published
external-secrets,2.8.0,https://charts.external-secrets.io,signed,provenance-file-published
falco,9.0.0,https://falcosecurity.github.io/charts,unsigned,no-provenance-file
falcosidekick,0.13.1,https://falcosecurity.github.io/charts,unsigned,no-provenance-file
filebeat,8.5.1,https://helm.elastic.co,unsigned,no-provenance-file
fluent-bit,0.57.6,https://fluent.github.io/helm-charts,unsigned,no-provenance-file
fluentd,0.5.3,https://fluent.github.io/helm-charts,unsigned,no-provenance-file
gatekeeper,3.22.2,https://open-policy-agent.github.io/gatekeeper/charts,unsigned,no-provenance-file
gateway,1.30.0,https://istio-release.storage.googleapis.com/charts,unsigned,no-provenance-file
gitlab-runner,0.89.0,https://charts.gitlab.io,signed,provenance-file-published
goldilocks,10.3.0,https://charts.fairwinds.com/stable,unknown,status-403
grafana,10.5.15,https://grafana.github.io/helm-charts,unsigned,no-provenance-file
