chart,version,base,status,realization_strategy,source_base,rendered_object_set,user_job,remaining_before_catalog,recipe_variant,package_base,revision,proof_note
prometheus-community/kube-state-metrics,7.4.0,cluster-metrics-readonly,realized-alias-base,alias-of-default-render,default,b892be5f9969f39e3a7a0fadacde77cf3b9a86ca16485d5712cc2a476bda14bc,collect or expose cluster metrics without changing application workloads,ConfigHub proof lane; selected live lane; production disposition,recipes/prometheus-community/kube-state-metrics/7.4.0/variants/cluster-metrics-readonly/variant.yaml,packages/prometheus-community/kube-state-metrics/7.4.0/bases/cluster-metrics-readonly,recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
prometheus-community/prometheus-blackbox-exporter,11.10.0,cluster-metrics-readonly,realized-alias-base,alias-of-default-render,default,43dbd48cda5a6f5aa85365fdba15a04cb328d513a0123983ec943c505a01730c,collect or expose cluster metrics without changing application workloads,ConfigHub proof lane; selected live lane; production disposition,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/variants/cluster-metrics-readonly/variant.yaml,packages/prometheus-community/prometheus-blackbox-exporter/11.10.0/bases/cluster-metrics-readonly,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
prometheus-community/prometheus-adapter,5.3.0,cluster-metrics-readonly,realized-alias-base,alias-of-default-render,default,50e586691867cf7be3f14a7c3e71839f3f8b6cae32b64a10f01362d68add983a,collect or expose cluster metrics without changing application workloads,ConfigHub proof lane; selected live lane; production disposition,recipes/prometheus-community/prometheus-adapter/5.3.0/variants/cluster-metrics-readonly/variant.yaml,packages/prometheus-community/prometheus-adapter/5.3.0/bases/cluster-metrics-readonly,recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
stakater/reloader,2.2.12,controller-default-reviewed,realized-alias-base,alias-of-default-render,default,d73021c041d681424e89af4e6dde4e99ac3791b1622576649778f7314f979d9e,"install a cluster controller with explicit CRD, RBAC, and lifecycle boundaries",ConfigHub proof lane; selected live lane; production disposition,recipes/stakater/reloader/2.2.12/variants/controller-default-reviewed/variant.yaml,packages/stakater/reloader/2.2.12/bases/controller-default-reviewed,recipes/stakater/reloader/2.2.12/revisions/controller-default-reviewed/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
autoscaler/cluster-autoscaler,9.57.0,controller-default-reviewed,realized-alias-base-watch-required-values,alias-of-default-render,default,9e67f520b5c65ff34d72f8c85e4245c2d9d238b6da336112dfa272a060d69446,"install a cluster controller with explicit CRD, RBAC, and lifecycle boundaries",required render-time values: autoDiscovery.clusterName or autoscalingGroups[]; re-render as a non-alias base; ConfigHub proof lane; selected live lane; production disposition,recipes/autoscaler/cluster-autoscaler/9.57.0/variants/controller-default-reviewed/variant.yaml,packages/autoscaler/cluster-autoscaler/9.57.0/bases/controller-default-reviewed,recipes/autoscaler/cluster-autoscaler/9.57.0/revisions/controller-default-reviewed/r001/variant-revision.yaml,"Strict live parity reached semantic object parity, but Helm rendered no controller workload and printed that autoDiscovery or autoscalingGroups[] must be set. This alias base is not a functional controller install until those values are modeled and re-rendered."
argo-cd/argo-workflows,1.0.14,controller-default-reviewed,realized-alias-base,alias-of-default-render,default,677516f7d311ffdfcf7a4b424585cada43ba104af51ef7e283c575d8279c16bc,"install a cluster controller with explicit CRD, RBAC, and lifecycle boundaries",ConfigHub proof lane; selected live lane; production disposition,recipes/argo-cd/argo-workflows/1.0.14/variants/controller-default-reviewed/variant.yaml,packages/argo-cd/argo-workflows/1.0.14/bases/controller-default-reviewed,recipes/argo-cd/argo-workflows/1.0.14/revisions/controller-default-reviewed/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
elastic/filebeat,8.5.1,node-or-cluster-collector,realized-alias-base,alias-of-default-render,default,690fcc3d2e2d1019f35b7d9ec64ba0783b4dc445a2060c400d49dae6a251e020,run an observability collector or security agent with explicit output destinations,ConfigHub proof lane; selected live lane; production disposition,recipes/elastic/filebeat/8.5.1/variants/node-or-cluster-collector/variant.yaml,packages/elastic/filebeat/8.5.1/bases/node-or-cluster-collector,recipes/elastic/filebeat/8.5.1/revisions/node-or-cluster-collector/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
istio/gateway,1.30.0,controller-default-reviewed,realized-alias-base,alias-of-default-render,default,07b3cb11d265a7b857b231a347be2c71742e5bc1eeb02efddd7ce71ecc1c7afc,"install a cluster controller with explicit CRD, RBAC, and lifecycle boundaries",ConfigHub proof lane; selected live lane; production disposition,recipes/istio/gateway/1.30.0/variants/controller-default-reviewed/variant.yaml,packages/istio/gateway/1.30.0/bases/controller-default-reviewed,recipes/istio/gateway/1.30.0/revisions/controller-default-reviewed/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
nats/surveyor,0.20.9,default-reviewed,realized-alias-base,alias-of-default-render,default,c39b6dd56b5c2dfaedd3860e71d1eaaed9083354b35e4cef70eae6f9b982a7b1,"turn the default render into a named, reviewed install shape",ConfigHub proof lane; selected live lane; production disposition,recipes/nats/surveyor/0.20.9/variants/default-reviewed/variant.yaml,packages/nats/surveyor/0.20.9/bases/default-reviewed,recipes/nats/surveyor/0.20.9/revisions/default-reviewed/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
vm/victoria-metrics-single,0.39.0,default-reviewed,realized-alias-base,alias-of-default-render,default,10c95bd43cb02502fb823b0d461c26b60fb0b4fe988ccf8a0cbe2e29f0a8c5f8,"turn the default render into a named, reviewed install shape",ConfigHub proof lane; selected live lane; production disposition,recipes/vm/victoria-metrics-single/0.39.0/variants/default-reviewed/variant.yaml,packages/vm/victoria-metrics-single/0.39.0/bases/default-reviewed,recipes/vm/victoria-metrics-single/0.39.0/revisions/default-reviewed/r001/variant-revision.yaml,Kubernetes object set is intentionally identical to default; the base gives users a named start path before live and production review.
