chart,current_variant_count,current_variants,applicable_dimensions,recommend_to_build,to_build_count,recipe_path
aqua/trivy-operator@0.32.1,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/aqua/trivy-operator/0.32.1
argo-cd/argo-cd@9.5.15,2,default;no-crds,no-crds;ha,ha,1,recipes/argo-cd/argo-cd/9.5.15
argo-cd/argo-events@2.4.21,1,default,no-crds,no-crds,1,recipes/argo-cd/argo-events/2.4.21
argo-cd/argo-rollouts@2.40.9,1,default,no-crds,no-crds,1,recipes/argo-cd/argo-rollouts/2.40.9
argo-cd/argo-workflows@1.0.14,1,default,,none,0,recipes/argo-cd/argo-workflows/1.0.14
argo-cd/argocd-image-updater@1.2.2,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/argo-cd/argocd-image-updater/1.2.2
autoscaler/cluster-autoscaler@9.57.0,1,default,,none,0,recipes/autoscaler/cluster-autoscaler/9.57.0
autoscaler/vertical-pod-autoscaler@0.9.0,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/autoscaler/vertical-pod-autoscaler/0.9.0
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,1,default,,none,0,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1
bitnami/apache@11.4.29,1,default,existing-secret,existing-secret,1,recipes/bitnami/apache/11.4.29
bitnami/contour@21.1.4,1,default,existing-secret;no-crds,existing-secret;no-crds,2,recipes/bitnami/contour/21.1.4
bitnami/elasticsearch@22.1.6,1,default,existing-secret;ha,existing-secret;ha,2,recipes/bitnami/elasticsearch/22.1.6
bitnami/memcached@8.5.5,1,default,existing-secret,existing-secret,1,recipes/bitnami/memcached/8.5.5
bitnami/mongodb@19.0.7,2,generated-passwords;existing-secret-replicaset,existing-secret;ha,none,0,recipes/bitnami/mongodb/19.0.7
bitnami/mysql@14.0.3,2,generated-passwords;existing-secret,existing-secret;ha,ha,1,recipes/bitnami/mysql/14.0.3
bitnami/nginx@24.0.2,2,http-clusterip;existing-tls-ingress,existing-secret;ha;ingress-tls,existing-secret,1,recipes/bitnami/nginx/24.0.2
bitnami/opensearch@2.0.10,1,default,existing-secret;ha,existing-secret;ha,2,recipes/bitnami/opensearch/2.0.10
bitnami/phpmyadmin@20.0.0,1,default,existing-secret,existing-secret,1,recipes/bitnami/phpmyadmin/20.0.0
bitnami/postgresql@18.6.7,2,generated-passwords;existing-secret,existing-secret;ha,ha,1,recipes/bitnami/postgresql/18.6.7
bitnami/rabbitmq@16.0.14,2,generated-passwords;existing-secret,existing-secret;ha,ha,1,recipes/bitnami/rabbitmq/16.0.14
bitnami/redis@25.5.3,2,default;reuse-existing-secret,existing-secret,none,0,recipes/bitnami/redis/25.5.3
bitnami/spark@10.0.3,1,default,existing-secret;ha,existing-secret;ha,2,recipes/bitnami/spark/10.0.3
