"id","component","chart","base","variant","environment","region","target","source_space","downstream_space","execution_status","rendered_object_set_sha256","command"
"redis-prod-us-east","Redis","bitnami/redis","default","prod-us-east","Prod","us-east","redis-targets/prod-us-east","helm-redis-confighub-proof","Redis-prod-us-east","golden-target-only","175caf404c4a005708398d2facd696a8500ef4280c47c682b7bae6273a91272e","cub variant create prod-us-east helm-redis-confighub-proof --environment Prod --region us-east --target redis-targets/prod-us-east --namespace redis-prod --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}' --unit-delete-gate production-review --unit-destroy-gate production-review"
"redis-staging-eu-west","Redis","bitnami/redis","default","staging-eu-west","Staging","eu-west","redis-targets/staging-eu-west","helm-redis-confighub-proof","Redis-staging-eu-west","golden-target-only","175caf404c4a005708398d2facd696a8500ef4280c47c682b7bae6273a91272e","cub variant create staging-eu-west helm-redis-confighub-proof --environment Staging --region eu-west --target redis-targets/staging-eu-west --namespace redis-staging --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}'"
"prometheus-prod-us-east","Prometheus","prometheus-community/prometheus","default","prod-us-east","Prod","us-east","monitoring-targets/prod-us-east","helm-prometheus-confighub-proof","Prometheus-prod-us-east","golden-target-only","c11349803ddbb44562066474dd04d47d7c5c75d083dbc96162224573f949c11b","cub variant create prod-us-east helm-prometheus-confighub-proof --environment Prod --region us-east --target monitoring-targets/prod-us-east --namespace monitoring-prod --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}' --unit-delete-gate production-review --unit-destroy-gate production-review"
"prometheus-staging-eu-west","Prometheus","prometheus-community/prometheus","default","staging-eu-west","Staging","eu-west","monitoring-targets/staging-eu-west","helm-prometheus-confighub-proof","Prometheus-staging-eu-west","golden-target-only","c11349803ddbb44562066474dd04d47d7c5c75d083dbc96162224573f949c11b","cub variant create staging-eu-west helm-prometheus-confighub-proof --environment Staging --region eu-west --target monitoring-targets/staging-eu-west --namespace monitoring-staging --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}'"
"nginx-prod-us-east","NGINX","bitnami/nginx","http-clusterip","prod-us-east","Prod","us-east","web-targets/prod-us-east","helm-nginx-confighub-proof","NGINX-prod-us-east","golden-target-only","7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba","cub variant create prod-us-east helm-nginx-confighub-proof --environment Prod --region us-east --target web-targets/prod-us-east --namespace nginx-prod --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}' --unit-delete-gate production-review --unit-destroy-gate production-review"
"nginx-customer-acme-prod","NGINX","bitnami/nginx","http-clusterip","customer-acme-prod","Prod","us-west","web-targets/customer-acme-prod","helm-nginx-confighub-proof","NGINX-customer-acme-prod","golden-target-only","7fb28597f2eea8113612fa9e67ac84760cba1e72c42a4c59e4c25d284e0a94ba","cub variant create customer-acme-prod helm-nginx-confighub-proof --environment Prod --region us-west --target web-targets/customer-acme-prod --namespace nginx-acme --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}' --unit-delete-gate production-review --unit-destroy-gate production-review"
"grafana-prod-us-east","Grafana","grafana/grafana","static-passwords","prod-us-east","Prod","us-east","observability-targets/prod-us-east","helm-grafana-confighub-proof","Grafana-prod-us-east","golden-target-only","893351c9b8cad0a10b0176a946bf514a76c5895bdb2d88a31bdd53a94288066d","cub variant create prod-us-east helm-grafana-confighub-proof --environment Prod --region us-east --target observability-targets/prod-us-east --namespace grafana-prod --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}' --unit-delete-gate production-review --unit-destroy-gate production-review"
"grafana-customer-acme-prod","Grafana","grafana/grafana","static-passwords","customer-acme-prod","Prod","us-east","observability-targets/customer-acme-prod","helm-grafana-confighub-proof","Grafana-customer-acme-prod","golden-target-only","893351c9b8cad0a10b0176a946bf514a76c5895bdb2d88a31bdd53a94288066d","cub variant create customer-acme-prod helm-grafana-confighub-proof --environment Prod --region us-east --target observability-targets/customer-acme-prod --namespace grafana-acme --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}' --unit-delete-gate production-review --unit-destroy-gate production-review"
"vault-regulated-prod-us-east","Vault","hashicorp/vault","default","regulated-prod-us-east","Prod","us-east","security-targets/regulated-prod-us-east","helm-vault-confighub-proof","Vault-regulated-prod-us-east","golden-target-only","6de2d61c8de0c21faa951e89ec16658bcdff22e69d78075fdd394d895a5e6978","cub variant create regulated-prod-us-east helm-vault-confighub-proof --environment Prod --region us-east --target security-targets/regulated-prod-us-east --namespace vault-prod --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}' --unit-delete-gate production-review --unit-destroy-gate production-review"
"vault-staging-us-east","Vault","hashicorp/vault","default","staging-us-east","Staging","us-east","security-targets/staging-us-east","helm-vault-confighub-proof","Vault-staging-us-east","golden-target-only","6de2d61c8de0c21faa951e89ec16658bcdff22e69d78075fdd394d895a5e6978","cub variant create staging-us-east helm-vault-confighub-proof --environment Staging --region us-east --target security-targets/staging-us-east --namespace vault-staging --space-pattern 'template:{{.Labels.Component}}-{{.Labels.Variant}}'"
