chart,base_variant,variant_path,path_type,quirk_origin,render_proof_status,installer_proof_status,scan_status,gitops_status,live_status,remaining_gap,evidence_path,notes
aqua/trivy-operator@0.32.1,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/aqua/trivy-operator/0.32.1/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/aqua-trivy-operator-0.32.1-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/aqua-trivy-operator-default/receipt.yaml
aqua/trivy-operator@0.32.1,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/aqua/trivy-operator/0.32.1/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/aqua-trivy-operator-0.32.1-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/aqua-trivy-operator-no-crds/receipt.yaml
argo-cd/argo-cd@9.5.15,default,default,base-variant,chart-or-base,pass,pass,pass,pass,pass,none,recipes/argo-cd/argo-cd/9.5.15/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | runs/argo-cd-confighub-proof/latest/confighub-proof-receipt.yaml | runs/top20-local-kind/argo-cd-default/observation-receipt.json | runs/live-helm-confighub-compare/argo-cd-argo-cd-default/receipt.yaml#configHubOciArgo | runs/live-helm-confighub-compare/argo-cd-argo-cd-default/receipt.yaml | runs/live-kind-parity/argo-cd-argo-cd-default/receipt.yaml
argo-cd/argo-cd@9.5.15,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,blocked,blocked,confighub_upload_variant_scan_safe_ops;local_kind_kubectl_apply;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-cd/9.5.15/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/argo-cd-argo-cd-9.5.15-no-crds/observation-receipt.yaml | data/runtime-gitops/receipts/argo-cd-argo-cd/no-crds/latest.yaml | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/argo-cd-argo-cd-no-crds/receipt.yaml
argo-cd/argo-cd@9.5.17,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-cd/9.5.17/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/argo-cd-argo-cd-9.5.17-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
argo-cd/argo-cd@9.5.17,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-cd/9.5.17/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/argo-cd-argo-cd-9.5.17-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | no two-cluster kind parity receipt in this repo
argo-cd/argo-events@2.4.21,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-events/2.4.21/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/argo-cd-argo-events-2.4.21-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/argo-cd-argo-events-default/receipt.yaml
argo-cd/argo-events@2.4.21,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-events/2.4.21/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/argo-cd-argo-events-2.4.21-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/argo-cd-argo-events-no-crds/receipt.yaml
argo-cd/argo-rollouts@2.40.9,default,default,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-rollouts/2.40.9/revisions/default/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/argo-cd-argo-rollouts-2.40.9-default/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/argo-cd-argo-rollouts-default/receipt.yaml
argo-cd/argo-rollouts@2.40.9,no-crds,no-crds,base-variant,chart-or-base,pass,missing,missing,missing,pass,confighub_upload_variant_scan_safe_ops;confighub_oci_argo_live;live_helm_vs_confighub_dual_compare,recipes/argo-cd/argo-rollouts/2.40.9/revisions/no-crds/r001/variant-revision.yaml,Helm equivalence receipt and installer setupCheck present | no ConfigHub proof receipt for package/base | runs/next80-local-kind/argo-cd-argo-rollouts-2.40.9-no-crds/observation-receipt.yaml | no ConfigHub OCI/Argo live receipt in this repo | no live Helm vs ConfigHub dual-deploy comparison receipt | runs/live-kind-parity/argo-cd-argo-rollouts-no-crds/receipt.yaml
