batch_id,batch_goal,chart,version,base,command
B01,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/kube-prometheus-stack, prometheus-community/kube-state-metrics, prometheus-community/prometheus-adapter, prometheus-community/prometheus-blackbox-exporter, prometheus-community/prometheus-operator-crds.",prometheus-community/kube-prometheus-stack,86.1.0,no-crds,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts kube-prometheus-stack --base no-crds --variant-promotion-proof --cleanup-spaces
B01,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/kube-prometheus-stack, prometheus-community/kube-state-metrics, prometheus-community/prometheus-adapter, prometheus-community/prometheus-blackbox-exporter, prometheus-community/prometheus-operator-crds.",prometheus-community/kube-state-metrics,7.4.0,cluster-metrics-readonly,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts kube-state-metrics --base cluster-metrics-readonly --variant-promotion-proof --cleanup-spaces
B01,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/kube-prometheus-stack, prometheus-community/kube-state-metrics, prometheus-community/prometheus-adapter, prometheus-community/prometheus-blackbox-exporter, prometheus-community/prometheus-operator-crds.",prometheus-community/kube-state-metrics,7.4.0,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts kube-state-metrics --base default --variant-promotion-proof --cleanup-spaces
B01,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/kube-prometheus-stack, prometheus-community/kube-state-metrics, prometheus-community/prometheus-adapter, prometheus-community/prometheus-blackbox-exporter, prometheus-community/prometheus-operator-crds.",prometheus-community/prometheus-adapter,5.3.0,apiservice-v1-capability,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts prometheus-adapter --base apiservice-v1-capability --variant-promotion-proof --cleanup-spaces
B01,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/kube-prometheus-stack, prometheus-community/kube-state-metrics, prometheus-community/prometheus-adapter, prometheus-community/prometheus-blackbox-exporter, prometheus-community/prometheus-operator-crds.",prometheus-community/prometheus-adapter,5.3.0,cluster-metrics-readonly,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts prometheus-adapter --base cluster-metrics-readonly --variant-promotion-proof --cleanup-spaces
B01,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/kube-prometheus-stack, prometheus-community/kube-state-metrics, prometheus-community/prometheus-adapter, prometheus-community/prometheus-blackbox-exporter, prometheus-community/prometheus-operator-crds.",prometheus-community/prometheus-adapter,5.3.0,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts prometheus-adapter --base default --variant-promotion-proof --cleanup-spaces
B01,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/kube-prometheus-stack, prometheus-community/kube-state-metrics, prometheus-community/prometheus-adapter, prometheus-community/prometheus-blackbox-exporter, prometheus-community/prometheus-operator-crds.",prometheus-community/prometheus-blackbox-exporter,11.10.0,cluster-metrics-readonly,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts prometheus-blackbox-exporter --base cluster-metrics-readonly --variant-promotion-proof --cleanup-spaces
B01,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/kube-prometheus-stack, prometheus-community/kube-state-metrics, prometheus-community/prometheus-adapter, prometheus-community/prometheus-blackbox-exporter, prometheus-community/prometheus-operator-crds.",prometheus-community/prometheus-operator-crds,29.0.0,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts prometheus-operator-crds --base default --variant-promotion-proof --cleanup-spaces
B02,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/prometheus, rook-release/rook-ceph-cluster, rook-release/rook-ceph, runix/pgadmin4, sealed-secrets/sealed-secrets.",prometheus-community/prometheus,29.8.0,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts prometheus --base default --variant-promotion-proof --cleanup-spaces
B02,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/prometheus, rook-release/rook-ceph-cluster, rook-release/rook-ceph, runix/pgadmin4, sealed-secrets/sealed-secrets.",prometheus-community/prometheus,29.9.0,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts prometheus --base default --variant-promotion-proof --cleanup-spaces
B02,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/prometheus, rook-release/rook-ceph-cluster, rook-release/rook-ceph, runix/pgadmin4, sealed-secrets/sealed-secrets.",prometheus-community/prometheus,29.9.0,server-only-ephemeral,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts prometheus --base server-only-ephemeral --variant-promotion-proof --cleanup-spaces
B02,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/prometheus, rook-release/rook-ceph-cluster, rook-release/rook-ceph, runix/pgadmin4, sealed-secrets/sealed-secrets.",rook-release/rook-ceph-cluster,v1.19.5,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts rook-ceph-cluster --base default --variant-promotion-proof --cleanup-spaces
B02,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/prometheus, rook-release/rook-ceph-cluster, rook-release/rook-ceph, runix/pgadmin4, sealed-secrets/sealed-secrets.",rook-release/rook-ceph,v1.19.5,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts rook-ceph --base default --variant-promotion-proof --cleanup-spaces
B02,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/prometheus, rook-release/rook-ceph-cluster, rook-release/rook-ceph, runix/pgadmin4, sealed-secrets/sealed-secrets.",runix/pgadmin4,1.62.0,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts pgadmin4 --base default --variant-promotion-proof --cleanup-spaces
B02,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/prometheus, rook-release/rook-ceph-cluster, rook-release/rook-ceph, runix/pgadmin4, sealed-secrets/sealed-secrets.",sealed-secrets/sealed-secrets,2.18.6,default,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts sealed-secrets --base default --variant-promotion-proof --cleanup-spaces
B02,"Run 8 ready variant-promotion proofs serially once cub auth returns: prometheus-community/prometheus, rook-release/rook-ceph-cluster, rook-release/rook-ceph, runix/pgadmin4, sealed-secrets/sealed-secrets.",sealed-secrets/sealed-secrets,2.18.6,no-crds,node scripts/run-top20-confighub-proof.mjs --promotion-candidates --charts sealed-secrets --base no-crds --variant-promotion-proof --cleanup-spaces
