I0616 06:13:02.897184       1 main.go:174] "Initializing metadata"
I0616 06:13:02.897219       1 metadata.go:75] "Attempting to retrieve instance metadata from IMDS"
E0616 06:13:07.899490       1 metadata.go:81] "Retrieving IMDS metadata failed" err="could not get IMDS metadata: operation error ec2imds: GetInstanceIdentityDocument, request canceled, context deadline exceeded"
I0616 06:13:07.899618       1 metadata.go:92] "Attempting to retrieve instance metadata from Kubernetes API"
I0616 06:13:07.899816       1 envvar.go:195] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0616 06:13:07.899853       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowTLSCacheGC" enabled=true
I0616 06:13:07.899875       1 envvar.go:195] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0616 06:13:07.899885       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:13:07.899894       1 envvar.go:195] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0616 06:13:07.899903       1 envvar.go:195] "Feature gate default state" feature="UnlockWhileProcessingFIFO" enabled=true
I0616 06:13:07.899912       1 envvar.go:195] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:13:07.899932       1 envvar.go:195] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:13:07.899935       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCARotation" enabled=true
I0616 06:13:07.899937       1 envvar.go:195] "Feature gate default state" feature="AtomicFIFO" enabled=true
E0616 06:13:07.911249       1 metadata.go:98] "Retrieving Kubernetes metadata failed" err="did not find aws instance ID in node providerID string"
E0616 06:13:07.911305       1 main.go:179] "Failed to initialize metadata when it is required" err="all specified --metadata-sources '[imds kubernetes]' are unavailable"
I0616 06:13:07.911317       1 main.go:181] "The region can be manually supplied via the AWS_REGION environment variable"
W0616 06:13:02.953219       1 feature_gate.go:410] Setting GA feature gate Topology=true. It will be removed in a future release.
W0616 06:13:02.953261       1 feature_gate.go:410] Setting GA feature gate VolumeAttributesClass=false. It will be removed in a future release.
I0616 06:13:02.953263       1 feature_gate.go:466] feature gates: {map[Topology:true VolumeAttributesClass:false]}
I0616 06:13:02.953271       1 csi-provisioner.go:155] "Version" version="v6.2.0-eksbuild.5"
I0616 06:13:02.953274       1 csi-provisioner.go:178] Building kube configs for running in cluster...
I0616 06:13:02.953350       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0616 06:13:02.953353       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:13:02.953355       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:13:02.953356       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0616 06:13:02.953357       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:13:02.953358       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
