I0616 06:12:51.898700       1 main.go:174] "Initializing metadata"
I0616 06:12:51.898734       1 metadata.go:75] "Attempting to retrieve instance metadata from IMDS"
E0616 06:12:56.899208       1 metadata.go:81] "Retrieving IMDS metadata failed" err="could not get IMDS metadata: operation error ec2imds: GetInstanceIdentityDocument, request canceled, context deadline exceeded"
I0616 06:12:56.899251       1 metadata.go:92] "Attempting to retrieve instance metadata from Kubernetes API"
I0616 06:12:56.899813       1 envvar.go:195] "Feature gate default state" feature="UnlockWhileProcessingFIFO" enabled=true
I0616 06:12:56.899898       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:12:56.899905       1 envvar.go:195] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0616 06:12:56.899908       1 envvar.go:195] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0616 06:12:56.899910       1 envvar.go:195] "Feature gate default state" feature="AtomicFIFO" enabled=true
I0616 06:12:56.899911       1 envvar.go:195] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:12:56.899913       1 envvar.go:195] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:12:56.899914       1 envvar.go:195] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0616 06:12:56.899916       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowTLSCacheGC" enabled=true
I0616 06:12:56.899917       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCARotation" enabled=true
E0616 06:12:56.909908       1 metadata.go:98] "Retrieving Kubernetes metadata failed" err="did not find aws instance ID in node providerID string"
E0616 06:12:56.910065       1 main.go:179] "Failed to initialize metadata when it is required" err="all specified --metadata-sources '[imds kubernetes]' are unavailable"
I0616 06:12:56.910080       1 main.go:181] "The region can be manually supplied via the AWS_REGION environment variable"
W0616 06:12:55.927646       1 feature_gate.go:410] Setting GA feature gate Topology=true. It will be removed in a future release.
W0616 06:12:55.927686       1 feature_gate.go:410] Setting GA feature gate VolumeAttributesClass=false. It will be removed in a future release.
I0616 06:12:55.927688       1 feature_gate.go:466] feature gates: {map[Topology:true VolumeAttributesClass:false]}
I0616 06:12:55.927700       1 csi-provisioner.go:155] "Version" version="v6.2.0-eksbuild.5"
I0616 06:12:55.927703       1 csi-provisioner.go:178] Building kube configs for running in cluster...
I0616 06:12:55.927794       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:12:55.927802       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:12:55.927803       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0616 06:12:55.927805       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:12:55.927806       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0616 06:12:55.927807       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
W0616 06:12:55.928317       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:12:56.928968       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:12:57.936136       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:12:58.897258       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:12:59.893252       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:13:00.698537       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
