LAST SEEN   TYPE      REASON                    OBJECT                                                              MESSAGE
14m         Normal    Starting                  node/helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane
14m         Normal    Starting                  node/helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane   Starting kubelet.
14m         Normal    NodeHasSufficientPID      node/helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane   Node helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane status is now: NodeHasSufficientPID
14m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane   Node helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane status is now: NodeHasNoDiskPressure
14m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane   Node helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane status is now: NodeHasSufficientMemory
14m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane   Updated Node Allocatable limit across pods
14m         Normal    RegisteredNode            node/helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane   Node helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane event: Registered Node helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane in Controller
14m         Normal    NodeReady                 node/helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane   Node helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane status is now: NodeReady
5m5s        Normal    Scheduled                 pod/ebs-csi-node-mb2sb                                              Successfully assigned default/ebs-csi-node-mb2sb to helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane
5m5s        Warning   FailedCreate              replicaset/ebs-csi-controller-8d8878fb7                             Error creating: pods "ebs-csi-controller-8d8878fb7-" is forbidden: error looking up service account default/ebs-csi-controller-sa: serviceaccount "ebs-csi-controller-sa" not found
5m5s        Normal    SuccessfulCreate          replicaset/ebs-csi-controller-8d8878fb7                             Created pod: ebs-csi-controller-8d8878fb7-cjhbb
5m5s        Normal    SuccessfulCreate          replicaset/ebs-csi-controller-8d8878fb7                             Created pod: ebs-csi-controller-8d8878fb7-4pz47
5m5s        Normal    NoPods                    poddisruptionbudget/ebs-csi-controller                              No matching pods found
5m5s        Normal    ScalingReplicaSet         deployment/ebs-csi-controller                                       Scaled up replica set ebs-csi-controller-8d8878fb7 from 0 to 2
5m5s        Normal    Scheduled                 pod/ebs-csi-controller-8d8878fb7-cjhbb                              Successfully assigned default/ebs-csi-controller-8d8878fb7-cjhbb to helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane
5m5s        Normal    SuccessfulCreate          daemonset/ebs-csi-node                                              Created pod: ebs-csi-node-mb2sb
5m5s        Warning   FailedCreate              daemonset/ebs-csi-node                                              Error creating: pods "ebs-csi-node-" is forbidden: error looking up service account default/ebs-csi-node-sa: serviceaccount "ebs-csi-node-sa" not found
5m5s        Normal    Scheduled                 pod/ebs-csi-controller-8d8878fb7-4pz47                              Successfully assigned default/ebs-csi-controller-8d8878fb7-4pz47 to helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane
5m4s        Normal    Pulled                    pod/ebs-csi-controller-8d8878fb7-4pz47                              Container image "public.ecr.aws/csi-components/livenessprobe:v2.18.0-eksbuild.6" already present on machine and can be accessed by the pod
5m4s        Normal    Created                   pod/ebs-csi-controller-8d8878fb7-cjhbb                              Container created
5m4s        Normal    Created                   pod/ebs-csi-controller-8d8878fb7-4pz47                              Container created
5m4s        Normal    Created                   pod/ebs-csi-controller-8d8878fb7-4pz47                              Container created
5m4s        Normal    Started                   pod/ebs-csi-controller-8d8878fb7-4pz47                              Container started
5m4s        Normal    Pulled                    pod/ebs-csi-controller-8d8878fb7-4pz47                              Container image "public.ecr.aws/csi-components/csi-resizer:v2.1.0-eksbuild.6" already present on machine and can be accessed by the pod
5m4s        Normal    Pulled                    pod/ebs-csi-node-mb2sb                                              Container image "public.ecr.aws/csi-components/livenessprobe:v2.18.0-eksbuild.6" already present on machine and can be accessed by the pod
5m4s        Normal    Started                   pod/ebs-csi-node-mb2sb                                              Container started
