I0616 06:31:06.924690       1 main.go:174] "Initializing metadata"
I0616 06:31:06.924745       1 metadata.go:75] "Attempting to retrieve instance metadata from IMDS"
E0616 06:31:11.928571       1 metadata.go:81] "Retrieving IMDS metadata failed" err="could not get IMDS metadata: operation error ec2imds: GetInstanceIdentityDocument, request canceled, context deadline exceeded"
I0616 06:31:11.928705       1 metadata.go:92] "Attempting to retrieve instance metadata from Kubernetes API"
I0616 06:31:11.929199       1 envvar.go:195] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:31:11.929346       1 envvar.go:195] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0616 06:31:11.929368       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:31:11.929383       1 envvar.go:195] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:31:11.929397       1 envvar.go:195] "Feature gate default state" feature="AtomicFIFO" enabled=true
I0616 06:31:11.929410       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowTLSCacheGC" enabled=true
I0616 06:31:11.929423       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCARotation" enabled=true
I0616 06:31:11.929435       1 envvar.go:195] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0616 06:31:11.929454       1 envvar.go:195] "Feature gate default state" feature="UnlockWhileProcessingFIFO" enabled=true
I0616 06:31:11.929458       1 envvar.go:195] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
E0616 06:31:11.943634       1 metadata.go:98] "Retrieving Kubernetes metadata failed" err="did not find aws instance ID in node providerID string"
E0616 06:31:11.943679       1 main.go:179] "Failed to initialize metadata when it is required" err="all specified --metadata-sources '[imds kubernetes]' are unavailable"
I0616 06:31:11.943691       1 main.go:181] "The region can be manually supplied via the AWS_REGION environment variable"
W0616 06:29:23.885829       1 feature_gate.go:410] Setting GA feature gate Topology=true. It will be removed in a future release.
W0616 06:29:23.885860       1 feature_gate.go:410] Setting GA feature gate VolumeAttributesClass=false. It will be removed in a future release.
I0616 06:29:23.885861       1 feature_gate.go:466] feature gates: {map[Topology:true VolumeAttributesClass:false]}
I0616 06:29:23.885883       1 csi-provisioner.go:155] "Version" version="v6.2.0-eksbuild.5"
I0616 06:29:23.885887       1 csi-provisioner.go:178] Building kube configs for running in cluster...
I0616 06:29:23.885980       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:29:23.885987       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:29:23.885988       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0616 06:29:23.885990       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:29:23.885991       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0616 06:29:23.885992       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
W0616 06:29:23.886854       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:24.891524       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:25.893317       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
