I0616 06:29:23.937844       1 feature_gate.go:466] feature gates: {map[]}
I0616 06:29:23.937889       1 main.go:114] "Version" version="v4.11.0-eksbuild.6"
I0616 06:29:23.938005       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0616 06:29:23.938013       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:29:23.938015       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:29:23.938016       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0616 06:29:23.938017       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:29:23.938018       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
W0616 06:29:23.939167       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:24.941129       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:25.795406       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:26.686210       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:27.869188       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:28.793224       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:29.721401       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:30.659528       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:31.463882       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:32.363077       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:33.400642       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
I0616 06:29:33.940285       1 connection.go:253] "Still connecting" address="unix:///var/lib/csi/sockets/pluginproxy/csi.sock"
W0616 06:29:34.239028       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:35.373719       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:36.544911       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
W0616 06:29:37.622760       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
