I0616 06:31:07.894370       1 main.go:174] "Initializing metadata"
I0616 06:31:07.894402       1 metadata.go:75] "Attempting to retrieve instance metadata from IMDS"
E0616 06:31:12.896660       1 metadata.go:81] "Retrieving IMDS metadata failed" err="could not get IMDS metadata: operation error ec2imds: GetInstanceIdentityDocument, request canceled, context deadline exceeded"
I0616 06:31:12.896699       1 metadata.go:92] "Attempting to retrieve instance metadata from Kubernetes API"
I0616 06:31:12.897031       1 envvar.go:195] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0616 06:31:12.897062       1 envvar.go:195] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:31:12.897065       1 envvar.go:195] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0616 06:31:12.897067       1 envvar.go:195] "Feature gate default state" feature="UnlockWhileProcessingFIFO" enabled=true
I0616 06:31:12.897069       1 envvar.go:195] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:31:12.897071       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCARotation" enabled=true
I0616 06:31:12.897073       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowTLSCacheGC" enabled=true
I0616 06:31:12.897075       1 envvar.go:195] "Feature gate default state" feature="AtomicFIFO" enabled=true
I0616 06:31:12.897076       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:31:12.897078       1 envvar.go:195] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
E0616 06:31:12.905056       1 metadata.go:98] "Retrieving Kubernetes metadata failed" err="did not find aws instance ID in node providerID string"
E0616 06:31:12.905082       1 main.go:179] "Failed to initialize metadata when it is required" err="all specified --metadata-sources '[imds kubernetes]' are unavailable"
I0616 06:29:17.905641       1 main.go:145] "Version" version="v2.16.0-eksbuild.6"
I0616 06:29:17.905749       1 main.go:146] "Running node-driver-registrar" mode=""
I0616 06:29:17.905768       1 main.go:163] "Attempting to open a gRPC connection" csiAddress="/csi/csi.sock"
I0616 06:29:27.910519       1 connection.go:253] "Still connecting" address="unix:///csi/csi.sock"
I0616 06:29:37.907759       1 connection.go:253] "Still connecting" address="unix:///csi/csi.sock"
I0616 06:29:47.907444       1 connection.go:253] "Still connecting" address="unix:///csi/csi.sock"
E0616 06:29:47.907639       1 main.go:167] "Error connecting to CSI driver" err="context deadline exceeded"
I0616 06:18:29.377055       1 connection.go:253] "Still connecting" address="unix:///csi/csi.sock"
I0616 06:18:39.377804       1 connection.go:253] "Still connecting" address="unix:///csi/csi.sock"
