I0616 06:07:53.584336       1 main.go:174] "Initializing metadata"
I0616 06:07:53.584370       1 metadata.go:75] "Attempting to retrieve instance metadata from IMDS"
E0616 06:07:58.585883       1 metadata.go:81] "Retrieving IMDS metadata failed" err="could not get IMDS metadata: operation error ec2imds: GetInstanceIdentityDocument, request canceled, context deadline exceeded"
I0616 06:07:58.585921       1 metadata.go:92] "Attempting to retrieve instance metadata from Kubernetes API"
I0616 06:07:58.586103       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:07:58.586122       1 envvar.go:195] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0616 06:07:58.586124       1 envvar.go:195] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0616 06:07:58.586126       1 envvar.go:195] "Feature gate default state" feature="UnlockWhileProcessingFIFO" enabled=true
I0616 06:07:58.586128       1 envvar.go:195] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:07:58.586129       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowCARotation" enabled=true
I0616 06:07:58.586131       1 envvar.go:195] "Feature gate default state" feature="ClientsAllowTLSCacheGC" enabled=true
I0616 06:07:58.586132       1 envvar.go:195] "Feature gate default state" feature="InOrderInformers" enabled=true
I0616 06:07:58.586134       1 envvar.go:195] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0616 06:07:58.586135       1 envvar.go:195] "Feature gate default state" feature="AtomicFIFO" enabled=true
E0616 06:07:58.593191       1 metadata.go:98] "Retrieving Kubernetes metadata failed" err="did not find aws instance ID in node providerID string"
E0616 06:07:58.593275       1 main.go:179] "Failed to initialize metadata when it is required" err="all specified --metadata-sources '[imds kubernetes]' are unavailable"
I0616 06:07:58.593285       1 main.go:181] "The region can be manually supplied via the AWS_REGION environment variable"
W0616 06:07:22.904176       1 feature_gate.go:410] Setting GA feature gate Topology=true. It will be removed in a future release.
I0616 06:07:22.904231       1 feature_gate.go:466] feature gates: {map[Topology:true]}
I0616 06:07:22.904247       1 csi-provisioner.go:155] "Version" version="v6.2.0-eksbuild.5"
I0616 06:07:22.904253       1 csi-provisioner.go:178] Building kube configs for running in cluster...
I0616 06:07:22.904341       1 envvar.go:172] "Feature gate default state" feature="InOrderInformersBatchProcess" enabled=true
I0616 06:07:22.904363       1 envvar.go:172] "Feature gate default state" feature="InformerResourceVersion" enabled=true
I0616 06:07:22.904372       1 envvar.go:172] "Feature gate default state" feature="WatchListClient" enabled=true
I0616 06:07:22.904380       1 envvar.go:172] "Feature gate default state" feature="ClientsAllowCBOR" enabled=false
I0616 06:07:22.904387       1 envvar.go:172] "Feature gate default state" feature="ClientsPreferCBOR" enabled=false
I0616 06:07:22.904394       1 envvar.go:172] "Feature gate default state" feature="InOrderInformers" enabled=true
W0616 06:07:22.907250       1 logging.go:55] [core] [Channel #1 SubChannel #2] grpc: addrConn.createTransport failed to connect to {Addr: "/var/lib/csi/sockets/pluginproxy/csi.sock", ServerName: "localhost", Attributes: {"<%!p(networktype.keyType=grpc.internal.transport.networktype)>": "unix" }, }. Err: connection error: desc = "transport: Error while dialing: dial unix /var/lib/csi/sockets/pluginproxy/csi.sock: connect: no such file or directory"
