LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
8m          Normal    Scheduled           pod/ebs-csi-controller-c69844876-mzqxv    Successfully assigned default-helm/ebs-csi-controller-c69844876-mzqxv to helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane
8m          Normal    Pulling             pod/ebs-csi-controller-c69844876-lmwn7    Pulling image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1"
8m          Normal    SuccessfulCreate    daemonset/ebs-csi-node                    Created pod: ebs-csi-node-krjkc
8m          Normal    Pulling             pod/ebs-csi-controller-c69844876-mzqxv    Pulling image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1"
8m          Normal    Pulling             pod/ebs-csi-node-krjkc                    Pulling image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1"
8m          Normal    Scheduled           pod/ebs-csi-controller-c69844876-lmwn7    Successfully assigned default-helm/ebs-csi-controller-c69844876-lmwn7 to helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane
8m          Normal    SuccessfulCreate    replicaset/ebs-csi-controller-c69844876   Created pod: ebs-csi-controller-c69844876-lmwn7
8m          Normal    SuccessfulCreate    replicaset/ebs-csi-controller-c69844876   Created pod: ebs-csi-controller-c69844876-mzqxv
8m          Normal    NoPods              poddisruptionbudget/ebs-csi-controller    No matching pods found
8m          Normal    ScalingReplicaSet   deployment/ebs-csi-controller             Scaled up replica set ebs-csi-controller-c69844876 from 0 to 2
8m          Normal    Scheduled           pod/ebs-csi-node-krjkc                    Successfully assigned default-helm/ebs-csi-node-krjkc to helm-expt-parity-awsebscsidriver-mqg8g6it-215u-control-plane
7m53s       Normal    Pulled              pod/ebs-csi-controller-c69844876-lmwn7    Successfully pulled image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1" in 6.448s (6.448s including waiting). Image size: 32815808 bytes.
7m53s       Normal    Pulling             pod/ebs-csi-controller-c69844876-lmwn7    Pulling image "public.ecr.aws/csi-components/csi-provisioner:v6.2.0-eksbuild.5"
7m52s       Normal    Pulling             pod/ebs-csi-node-krjkc                    Pulling image "public.ecr.aws/csi-components/csi-node-driver-registrar:v2.16.0-eksbuild.6"
7m52s       Normal    Pulled              pod/ebs-csi-node-krjkc                    Successfully pulled image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1" in 946ms (7.394s including waiting). Image size: 32815808 bytes.
7m51s       Normal    Pulling             pod/ebs-csi-controller-c69844876-mzqxv    Pulling image "public.ecr.aws/csi-components/csi-provisioner:v6.2.0-eksbuild.5"
7m51s       Normal    Pulled              pod/ebs-csi-controller-c69844876-mzqxv    Successfully pulled image "public.ecr.aws/ebs-csi-driver/aws-ebs-csi-driver:v1.60.1" in 697ms (8.091s including waiting). Image size: 32815808 bytes.
7m45s       Normal    Pulled              pod/ebs-csi-controller-c69844876-lmwn7    Successfully pulled image "public.ecr.aws/csi-components/csi-provisioner:v6.2.0-eksbuild.5" in 6.945s (8.532s including waiting). Image size: 39335252 bytes.
