LAST SEEN   TYPE      REASON                    OBJECT                                                            MESSAGE
9m5s        Normal    Starting                  node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
9m12s       Normal    NodeHasNoDiskPressure     node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane status is now: NodeHasNoDiskPressure
9m12s       Normal    Starting                  node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Starting kubelet.
9m12s       Normal    NodeAllocatableEnforced   node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Updated Node Allocatable limit across pods
9m12s       Normal    NodeHasSufficientMemory   node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane status is now: NodeHasSufficientMemory
9m12s       Normal    NodeHasSufficientPID      node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane status is now: NodeHasSufficientPID
9m7s        Normal    RegisteredNode            node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane event: Registered Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane in Controller
8m55s       Normal    NodeReady                 node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane status is now: NodeReady
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-master                                  Create Claim data-elasticsearch-master-1 Pod elasticsearch-master-1 in StatefulSet elasticsearch-master success
10s         Normal    NoPods                    poddisruptionbudget/elasticsearch-master                          No matching pods found
10s         Normal    Provisioning              persistentvolumeclaim/data-elasticsearch-master-0                 External provisioner is provisioning volume for claim "default/data-elasticsearch-master-0"
10s         Normal    Provisioning              persistentvolumeclaim/data-elasticsearch-data-1                   External provisioner is provisioning volume for claim "default/data-elasticsearch-data-1"
10s         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-elasticsearch-master-1                 waiting for first consumer to be created before binding
10s         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-elasticsearch-data-1                   waiting for first consumer to be created before binding
10s         Normal    Provisioning              persistentvolumeclaim/data-elasticsearch-master-1                 External provisioner is provisioning volume for claim "default/data-elasticsearch-master-1"
10s         Normal    Provisioning              persistentvolumeclaim/data-elasticsearch-data-0                   External provisioner is provisioning volume for claim "default/data-elasticsearch-data-0"
10s         Normal    Scheduled                 pod/elasticsearch-coordinating-0                                  Successfully assigned default/elasticsearch-coordinating-0 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-master                                  Create Pod elasticsearch-master-1 in StatefulSet elasticsearch-master successful
10s         Normal    NoPods                    poddisruptionbudget/elasticsearch-data                            No matching pods found
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-master                                  Create Pod elasticsearch-master-0 in StatefulSet elasticsearch-master successful
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-master                                  Create Claim data-elasticsearch-master-0 Pod elasticsearch-master-0 in StatefulSet elasticsearch-master success
10s         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-elasticsearch-master-0                 waiting for first consumer to be created before binding
10s         Normal    Scheduled                 pod/elasticsearch-coordinating-1                                  Successfully assigned default/elasticsearch-coordinating-1 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
10s         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-elasticsearch-data-0                   waiting for first consumer to be created before binding
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-ingest                                  Create Pod elasticsearch-ingest-1 in StatefulSet elasticsearch-ingest successful
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-ingest                                  Create Pod elasticsearch-ingest-0 in StatefulSet elasticsearch-ingest successful
10s         Normal    NoPods                    poddisruptionbudget/elasticsearch-ingest                          No matching pods found
10s         Normal    Scheduled                 pod/elasticsearch-ingest-1                                        Successfully assigned default/elasticsearch-ingest-1 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
10s         Normal    NoPods                    poddisruptionbudget/elasticsearch-coordinating                    No matching pods found
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-coordinating                            Create Pod elasticsearch-coordinating-0 in StatefulSet elasticsearch-coordinating successful
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-coordinating                            Create Pod elasticsearch-coordinating-1 in StatefulSet elasticsearch-coordinating successful
10s         Normal    Scheduled                 pod/elasticsearch-ingest-0                                        Successfully assigned default/elasticsearch-ingest-0 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Pod elasticsearch-data-1 in StatefulSet elasticsearch-data successful
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Claim data-elasticsearch-data-1 Pod elasticsearch-data-1 in StatefulSet elasticsearch-data success
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Pod elasticsearch-data-0 in StatefulSet elasticsearch-data successful
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Claim data-elasticsearch-data-0 Pod elasticsearch-data-0 in StatefulSet elasticsearch-data success
9s          Normal    Pulling                   pod/elasticsearch-coordinating-1                                  Pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
