LAST SEEN   TYPE      REASON                    OBJECT                                                            MESSAGE
23m         Normal    Starting                  node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
23m         Normal    Starting                  node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Starting kubelet.
23m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Updated Node Allocatable limit across pods
23m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane status is now: NodeHasSufficientMemory
23m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane status is now: NodeHasNoDiskPressure
23m         Normal    NodeHasSufficientPID      node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane status is now: NodeHasSufficientPID
23m         Normal    RegisteredNode            node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane event: Registered Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane in Controller
23m         Normal    NodeReady                 node/helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane   Node helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane status is now: NodeReady
14m         Normal    SuccessfulCreate          statefulset/elasticsearch-master                                  Create Pod elasticsearch-master-0 in StatefulSet elasticsearch-master successful
14m         Normal    NoPods                    poddisruptionbudget/elasticsearch-master                          No matching pods found
14m         Normal    Provisioning              persistentvolumeclaim/data-elasticsearch-master-0                 External provisioner is provisioning volume for claim "default/data-elasticsearch-master-0"
14m         Normal    NoPods                    poddisruptionbudget/elasticsearch-ingest                          No matching pods found
14m         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-elasticsearch-master-1                 waiting for first consumer to be created before binding
14m         Normal    SuccessfulCreate          statefulset/elasticsearch-ingest                                  Create Pod elasticsearch-ingest-0 in StatefulSet elasticsearch-ingest successful
14m         Normal    Provisioning              persistentvolumeclaim/data-elasticsearch-master-1                 External provisioner is provisioning volume for claim "default/data-elasticsearch-master-1"
14m         Normal    Scheduled                 pod/elasticsearch-ingest-0                                        Successfully assigned default/elasticsearch-ingest-0 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
14m         Normal    Scheduled                 pod/elasticsearch-coordinating-0                                  Successfully assigned default/elasticsearch-coordinating-0 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
14m         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Pod elasticsearch-data-1 in StatefulSet elasticsearch-data successful
14m         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Claim data-elasticsearch-data-1 Pod elasticsearch-data-1 in StatefulSet elasticsearch-data success
14m         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Pod elasticsearch-data-0 in StatefulSet elasticsearch-data successful
14m         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-elasticsearch-master-0                 waiting for first consumer to be created before binding
14m         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Claim data-elasticsearch-data-0 Pod elasticsearch-data-0 in StatefulSet elasticsearch-data success
14m         Normal    Scheduled                 pod/elasticsearch-coordinating-1                                  Successfully assigned default/elasticsearch-coordinating-1 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
14m         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-elasticsearch-data-0                   waiting for first consumer to be created before binding
