LAST SEEN   TYPE      REASON                  OBJECT                                              MESSAGE
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-master                    Create Claim data-elasticsearch-master-0 Pod elasticsearch-master-0 in StatefulSet elasticsearch-master success
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-data                      Create Pod elasticsearch-data-0 in StatefulSet elasticsearch-data successful
8m1s        Normal    Provisioning            persistentvolumeclaim/data-elasticsearch-data-0     External provisioner is provisioning volume for claim "default-helm/data-elasticsearch-data-0"
8m1s        Normal    WaitForFirstConsumer    persistentvolumeclaim/data-elasticsearch-data-0     waiting for first consumer to be created before binding
8m1s        Normal    WaitForFirstConsumer    persistentvolumeclaim/data-elasticsearch-data-1     waiting for first consumer to be created before binding
8m1s        Normal    Scheduled               pod/elasticsearch-ingest-0                          Successfully assigned default-helm/elasticsearch-ingest-0 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
8m1s        Normal    Provisioning            persistentvolumeclaim/data-elasticsearch-data-1     External provisioner is provisioning volume for claim "default-helm/data-elasticsearch-data-1"
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-data                      Create Claim data-elasticsearch-data-0 Pod elasticsearch-data-0 in StatefulSet elasticsearch-data success
8m1s        Normal    WaitForFirstConsumer    persistentvolumeclaim/data-elasticsearch-master-0   waiting for first consumer to be created before binding
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-coordinating              Create Pod elasticsearch-coordinating-1 in StatefulSet elasticsearch-coordinating successful
8m1s        Normal    Provisioning            persistentvolumeclaim/data-elasticsearch-master-0   External provisioner is provisioning volume for claim "default-helm/data-elasticsearch-master-0"
8m1s        Normal    Scheduled               pod/elasticsearch-coordinating-1                    Successfully assigned default-helm/elasticsearch-coordinating-1 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
8m1s        Normal    WaitForFirstConsumer    persistentvolumeclaim/data-elasticsearch-master-1   waiting for first consumer to be created before binding
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-coordinating              Create Pod elasticsearch-coordinating-0 in StatefulSet elasticsearch-coordinating successful
8m1s        Normal    Provisioning            persistentvolumeclaim/data-elasticsearch-master-1   External provisioner is provisioning volume for claim "default-helm/data-elasticsearch-master-1"
8m1s        Normal    Scheduled               pod/elasticsearch-ingest-1                          Successfully assigned default-helm/elasticsearch-ingest-1 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
8m1s        Normal    Scheduled               pod/elasticsearch-coordinating-0                    Successfully assigned default-helm/elasticsearch-coordinating-0 to helm-expt-parity-elasticsearch-mqga39vs-1kmw-control-plane
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-master                    Create Pod elasticsearch-master-1 in StatefulSet elasticsearch-master successful
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-master                    Create Claim data-elasticsearch-master-1 Pod elasticsearch-master-1 in StatefulSet elasticsearch-master success
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-master                    Create Pod elasticsearch-master-0 in StatefulSet elasticsearch-master successful
8m1s        Normal    NoPods                  poddisruptionbudget/elasticsearch-coordinating      No matching pods found
8m1s        Normal    NoPods                  poddisruptionbudget/elasticsearch-master            No matching pods found
8m1s        Normal    NoPods                  poddisruptionbudget/elasticsearch-data              No matching pods found
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-data                      Create Claim data-elasticsearch-data-1 Pod elasticsearch-data-1 in StatefulSet elasticsearch-data success
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-data                      Create Pod elasticsearch-data-1 in StatefulSet elasticsearch-data successful
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-ingest                    Create Pod elasticsearch-ingest-1 in StatefulSet elasticsearch-ingest successful
8m1s        Normal    SuccessfulCreate        statefulset/elasticsearch-ingest                    Create Pod elasticsearch-ingest-0 in StatefulSet elasticsearch-ingest successful
