LAST SEEN   TYPE      REASON                    OBJECT                                                            MESSAGE
9m14s       Normal    Starting                  node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane
9m24s       Normal    NodeHasSufficientMemory   node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane status is now: NodeHasSufficientMemory
9m24s       Normal    NodeHasNoDiskPressure     node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane status is now: NodeHasNoDiskPressure
9m24s       Normal    NodeHasSufficientPID      node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane status is now: NodeHasSufficientPID
9m24s       Normal    NodeAllocatableEnforced   node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Updated Node Allocatable limit across pods
9m21s       Normal    Starting                  node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Starting kubelet.
9m21s       Normal    NodeAllocatableEnforced   node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Updated Node Allocatable limit across pods
9m21s       Normal    NodeHasSufficientMemory   node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane status is now: NodeHasSufficientMemory
9m21s       Normal    NodeHasNoDiskPressure     node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane status is now: NodeHasNoDiskPressure
9m21s       Normal    NodeHasSufficientPID      node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane status is now: NodeHasSufficientPID
9m15s       Normal    RegisteredNode            node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane event: Registered Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane in Controller
9m3s        Normal    NodeReady                 node/helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane   Node helm-expt-parity-elasticsearch-mqgeyy60-1773-control-plane status is now: NodeReady
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-coordinating                            Create Pod elasticsearch-coordinating-0 in StatefulSet elasticsearch-coordinating successful
10s         Normal    SuccessfulCreate          statefulset/elasticsearch-data                                    Create Claim data-elasticsearch-data-0 Pod elasticsearch-data-0 in StatefulSet elasticsearch-data success
10s         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-elasticsearch-master-1                 waiting for first consumer to be created before binding
10s         Normal    Provisioning              persistentvolumeclaim/data-elasticsearch-master-0                 External provisioner is provisioning volume for claim "default/data-elasticsearch-master-0"
10s         Normal    ExternalProvisioning      persistentvolumeclaim/data-elasticsearch-master-1                 Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
10s         Normal    Pulling                   pod/elasticsearch-ingest-1                                        Pulling image "docker.io/bitnami/os-shell:12-debian-12-r50"
