LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
8m57s       Normal    Starting                  node/helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane
9m5s        Normal    Starting                  node/helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane   Starting kubelet.
9m5s        Normal    NodeAllocatableEnforced   node/helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane   Updated Node Allocatable limit across pods
9m4s        Normal    NodeHasSufficientMemory   node/helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane   Node helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane status is now: NodeHasSufficientMemory
9m4s        Normal    NodeHasNoDiskPressure     node/helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane   Node helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane status is now: NodeHasNoDiskPressure
9m4s        Normal    NodeHasSufficientPID      node/helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane   Node helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane status is now: NodeHasSufficientPID
9m          Normal    RegisteredNode            node/helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane   Node helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane event: Registered Node helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane in Controller
8m47s       Normal    NodeReady                 node/helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane   Node helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane status is now: NodeReady
10s         Normal    Scheduled                 pod/phpmyadmin-f67d9cfd6-vjxlf                                Successfully assigned default/phpmyadmin-f67d9cfd6-vjxlf to helm-expt-parity-phpmyadmin-mqgb9186-qhf-control-plane
10s         Normal    Pulling                   pod/phpmyadmin-f67d9cfd6-vjxlf                                Pulling image "docker.io/bitnami/phpmyadmin:5.2.2-debian-12-r22"
10s         Warning   FailedCreate              replicaset/phpmyadmin-f67d9cfd6                               Error creating: pods "phpmyadmin-f67d9cfd6-" is forbidden: error looking up service account default/phpmyadmin: serviceaccount "phpmyadmin" not found
10s         Normal    SuccessfulCreate          replicaset/phpmyadmin-f67d9cfd6                               Created pod: phpmyadmin-f67d9cfd6-vjxlf
10s         Normal    ScalingReplicaSet         deployment/phpmyadmin                                         Scaled up replica set phpmyadmin-f67d9cfd6 from 0 to 1
10s         Normal    NoPods                    poddisruptionbudget/phpmyadmin                                No matching pods found
9s          Warning   Failed                    pod/phpmyadmin-f67d9cfd6-vjxlf                                Failed to pull image "docker.io/bitnami/phpmyadmin:5.2.2-debian-12-r22": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/phpmyadmin:5.2.2-debian-12-r22": failed to resolve reference "docker.io/bitnami/phpmyadmin:5.2.2-debian-12-r22": docker.io/bitnami/phpmyadmin:5.2.2-debian-12-r22: not found
9s          Warning   Failed                    pod/phpmyadmin-f67d9cfd6-vjxlf                                Error: ErrImagePull
8s          Normal    BackOff                   pod/phpmyadmin-f67d9cfd6-vjxlf                                Back-off pulling image "docker.io/bitnami/phpmyadmin:5.2.2-debian-12-r22"
8s          Warning   Failed                    pod/phpmyadmin-f67d9cfd6-vjxlf                                Error: ImagePullBackOff
