LAST SEEN   TYPE      REASON             OBJECT                             MESSAGE
8m          Normal    SuccessfulCreate   statefulset/spark-master           Create Pod spark-master-0 in StatefulSet spark-master successful
8m          Normal    Scheduled          pod/spark-master-0                 Successfully assigned default-helm/spark-master-0 to helm-expt-parity-spark-mqgga2xa-kju-control-plane
8m          Normal    NoPods             poddisruptionbudget/spark-worker   No matching pods found
8m          Normal    SuccessfulCreate   statefulset/spark-worker           Create Pod spark-worker-0 in StatefulSet spark-worker successful
8m          Normal    Scheduled          pod/spark-worker-0                 Successfully assigned default-helm/spark-worker-0 to helm-expt-parity-spark-mqgga2xa-kju-control-plane
8m          Normal    NoPods             poddisruptionbudget/spark-master   No matching pods found
5m13s       Normal    Pulling            pod/spark-master-0                 Pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
5m12s       Warning   Failed             pod/spark-master-0                 Error: ErrImagePull
5m12s       Warning   Failed             pod/spark-master-0                 Failed to pull image "docker.io/bitnami/spark:4.0.0-debian-12-r20": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/spark:4.0.0-debian-12-r20": failed to resolve reference "docker.io/bitnami/spark:4.0.0-debian-12-r20": docker.io/bitnami/spark:4.0.0-debian-12-r20: not found
5m6s        Normal    Pulling            pod/spark-worker-0                 Pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
5m5s        Warning   Failed             pod/spark-worker-0                 Failed to pull image "docker.io/bitnami/spark:4.0.0-debian-12-r20": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/spark:4.0.0-debian-12-r20": failed to resolve reference "docker.io/bitnami/spark:4.0.0-debian-12-r20": docker.io/bitnami/spark:4.0.0-debian-12-r20: not found
5m5s        Warning   Failed             pod/spark-worker-0                 Error: ErrImagePull
2m56s       Warning   Failed             pod/spark-worker-0                 Error: ImagePullBackOff
2m51s       Warning   Failed             pod/spark-master-0                 Error: ImagePullBackOff
2m41s       Normal    BackOff            pod/spark-worker-0                 Back-off pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
2m39s       Normal    BackOff            pod/spark-master-0                 Back-off pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
