LAST SEEN   TYPE      REASON                    OBJECT                                                    MESSAGE
9m44s       Normal    Starting                  node/helm-expt-parity-spark-mqghfthi-196o-control-plane
9m52s       Normal    Starting                  node/helm-expt-parity-spark-mqghfthi-196o-control-plane   Starting kubelet.
9m52s       Normal    NodeHasSufficientMemory   node/helm-expt-parity-spark-mqghfthi-196o-control-plane   Node helm-expt-parity-spark-mqghfthi-196o-control-plane status is now: NodeHasSufficientMemory
9m52s       Normal    NodeHasNoDiskPressure     node/helm-expt-parity-spark-mqghfthi-196o-control-plane   Node helm-expt-parity-spark-mqghfthi-196o-control-plane status is now: NodeHasNoDiskPressure
9m52s       Normal    NodeHasSufficientPID      node/helm-expt-parity-spark-mqghfthi-196o-control-plane   Node helm-expt-parity-spark-mqghfthi-196o-control-plane status is now: NodeHasSufficientPID
9m52s       Normal    NodeAllocatableEnforced   node/helm-expt-parity-spark-mqghfthi-196o-control-plane   Updated Node Allocatable limit across pods
9m46s       Normal    RegisteredNode            node/helm-expt-parity-spark-mqghfthi-196o-control-plane   Node helm-expt-parity-spark-mqghfthi-196o-control-plane event: Registered Node helm-expt-parity-spark-mqghfthi-196o-control-plane in Controller
9m33s       Normal    NodeReady                 node/helm-expt-parity-spark-mqghfthi-196o-control-plane   Node helm-expt-parity-spark-mqghfthi-196o-control-plane status is now: NodeReady
10s         Normal    NoPods                    poddisruptionbudget/spark-master                          No matching pods found
10s         Normal    Scheduled                 pod/spark-master-0                                        Successfully assigned default/spark-master-0 to helm-expt-parity-spark-mqghfthi-196o-control-plane
10s         Normal    NoPods                    poddisruptionbudget/spark-worker                          No matching pods found
10s         Normal    SuccessfulCreate          statefulset/spark-worker                                  Create Pod spark-worker-0 in StatefulSet spark-worker successful
10s         Normal    SuccessfulCreate          statefulset/spark-master                                  Create Pod spark-master-0 in StatefulSet spark-master successful
10s         Normal    Scheduled                 pod/spark-worker-0                                        Successfully assigned default/spark-worker-0 to helm-expt-parity-spark-mqghfthi-196o-control-plane
9s          Warning   Failed                    pod/spark-master-0                                        Failed to pull image "docker.io/bitnami/spark:4.0.0-debian-12-r20": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/spark:4.0.0-debian-12-r20": failed to resolve reference "docker.io/bitnami/spark:4.0.0-debian-12-r20": docker.io/bitnami/spark:4.0.0-debian-12-r20: not found
9s          Normal    Pulling                   pod/spark-master-0                                        Pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
9s          Warning   Failed                    pod/spark-master-0                                        Error: ErrImagePull
9s          Normal    Pulling                   pod/spark-worker-0                                        Pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
8s          Normal    BackOff                   pod/spark-master-0                                        Back-off pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
8s          Warning   Failed                    pod/spark-worker-0                                        Error: ErrImagePull
8s          Warning   Failed                    pod/spark-worker-0                                        Failed to pull image "docker.io/bitnami/spark:4.0.0-debian-12-r20": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/spark:4.0.0-debian-12-r20": failed to resolve reference "docker.io/bitnami/spark:4.0.0-debian-12-r20": docker.io/bitnami/spark:4.0.0-debian-12-r20: not found
8s          Warning   Failed                    pod/spark-master-0                                        Error: ImagePullBackOff
7s          Normal    BackOff                   pod/spark-worker-0                                        Back-off pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
7s          Warning   Failed                    pod/spark-worker-0                                        Error: ImagePullBackOff
