LAST SEEN   TYPE      REASON             OBJECT                             MESSAGE
8m1s        Normal    NoPods             poddisruptionbudget/spark-master   No matching pods found
8m1s        Normal    Scheduled          pod/spark-master-0                 Successfully assigned default-helm/spark-master-0 to helm-expt-parity-spark-mqghfthi-196o-control-plane
8m1s        Normal    NoPods             poddisruptionbudget/spark-worker   No matching pods found
8m1s        Normal    Scheduled          pod/spark-worker-0                 Successfully assigned default-helm/spark-worker-0 to helm-expt-parity-spark-mqghfthi-196o-control-plane
8m1s        Normal    SuccessfulCreate   statefulset/spark-worker           Create Pod spark-worker-0 in StatefulSet spark-worker successful
8m1s        Normal    SuccessfulCreate   statefulset/spark-master           Create Pod spark-master-0 in StatefulSet spark-master successful
4m53s       Normal    Pulling            pod/spark-worker-0                 Pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
4m53s       Normal    Pulling            pod/spark-master-0                 Pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
4m52s       Warning   Failed             pod/spark-worker-0                 Failed to pull image "docker.io/bitnami/spark:4.0.0-debian-12-r20": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/spark:4.0.0-debian-12-r20": failed to resolve reference "docker.io/bitnami/spark:4.0.0-debian-12-r20": docker.io/bitnami/spark:4.0.0-debian-12-r20: not found
4m52s       Warning   Failed             pod/spark-worker-0                 Error: ErrImagePull
4m51s       Warning   Failed             pod/spark-master-0                 Error: ErrImagePull
4m51s       Warning   Failed             pod/spark-master-0                 Failed to pull image "docker.io/bitnami/spark:4.0.0-debian-12-r20": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/spark:4.0.0-debian-12-r20": failed to resolve reference "docker.io/bitnami/spark:4.0.0-debian-12-r20": docker.io/bitnami/spark:4.0.0-debian-12-r20: not found
2m52s       Warning   Failed             pod/spark-worker-0                 Error: ImagePullBackOff
2m50s       Warning   Failed             pod/spark-master-0                 Error: ImagePullBackOff
2m38s       Normal    BackOff            pod/spark-worker-0                 Back-off pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
2m35s       Normal    BackOff            pod/spark-master-0                 Back-off pulling image "docker.io/bitnami/spark:4.0.0-debian-12-r20"
