LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
22m         Normal    Starting                  node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   
23m         Normal    Starting                  node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Starting kubelet.
23m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane status is now: NodeHasNoDiskPressure
23m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Updated Node Allocatable limit across pods
23m         Normal    NodeHasSufficientPID      node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane status is now: NodeHasSufficientPID
23m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane status is now: NodeHasSufficientMemory
23m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane status is now: NodeHasNoDiskPressure
23m         Normal    NodeHasSufficientPID      node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane status is now: NodeHasSufficientPID
23m         Normal    Starting                  node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Starting kubelet.
23m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Updated Node Allocatable limit across pods
23m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane status is now: NodeHasSufficientMemory
22m         Normal    RegisteredNode            node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane event: Registered Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane in Controller
22m         Normal    NodeReady                 node/helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane   Node helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane status is now: NodeReady
13m         Normal    ExternalProvisioning      persistentvolumeclaim/data-zookeeper-0                        Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
13m         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-zookeeper-0                        waiting for first consumer to be created before binding
13m         Normal    Provisioning              persistentvolumeclaim/data-zookeeper-0                        External provisioner is provisioning volume for claim "default/data-zookeeper-0"
13m         Normal    NoPods                    poddisruptionbudget/zookeeper                                 No matching pods found
13m         Normal    SuccessfulCreate          statefulset/zookeeper                                         Create Claim data-zookeeper-0 Pod zookeeper-0 in StatefulSet zookeeper success
13m         Normal    SuccessfulCreate          statefulset/zookeeper                                         Create Pod zookeeper-0 in StatefulSet zookeeper successful
13m         Normal    ProvisioningSucceeded     persistentvolumeclaim/data-zookeeper-0                        Successfully provisioned volume pvc-c946dae0-d290-4066-9a03-7bd9813e3d73
13m         Normal    Scheduled                 pod/zookeeper-0                                               Successfully assigned default/zookeeper-0 to helm-expt-parity-zookeeper-mqi88eet-1wxh-control-plane
10m         Normal    Pulling                   pod/zookeeper-0                                               Pulling image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21"
10m         Warning   Failed                    pod/zookeeper-0                                               Failed to pull image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": failed to resolve reference "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21": docker.io/bitnami/zookeeper:3.9.3-debian-12-r21: not found
10m         Warning   Failed                    pod/zookeeper-0                                               Error: ErrImagePull
3m24s       Normal    BackOff                   pod/zookeeper-0                                               Back-off pulling image "docker.io/bitnami/zookeeper:3.9.3-debian-12-r21"
3m24s       Warning   Failed                    pod/zookeeper-0                                               Error: ImagePullBackOff
