LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
22m         Normal    Starting                  node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   
23m         Normal    Starting                  node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Starting kubelet.
23m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Updated Node Allocatable limit across pods
23m         Normal    NodeHasSufficientPID      node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane status is now: NodeHasSufficientPID
23m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane status is now: NodeHasNoDiskPressure
23m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane status is now: NodeHasSufficientMemory
23m         Normal    NodeHasSufficientPID      node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane status is now: NodeHasSufficientPID
23m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane status is now: NodeHasNoDiskPressure
23m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane status is now: NodeHasSufficientMemory
23m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Updated Node Allocatable limit across pods
23m         Normal    Starting                  node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Starting kubelet.
22m         Normal    RegisteredNode            node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane event: Registered Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane in Controller
22m         Normal    NodeReady                 node/helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane   Node helm-expt-parity-zookeeper-mqi92c73-22pt-control-plane status is now: NodeReady
13m         Normal    ExternalProvisioning      persistentvolumeclaim/data-zookeeper-0                        Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
13m         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-zookeeper-0                        waiting for first consumer to be created before binding
13m         Normal    ExternalProvisioning      persistentvolumeclaim/data-zookeeper-2                        Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
13m         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-zookeeper-2                        waiting for first consumer to be created before binding
13m         Normal    NoPods                    poddisruptionbudget/zookeeper                                 No matching pods found
13m         Normal    Provisioning              persistentvolumeclaim/data-zookeeper-1                        External provisioner is provisioning volume for claim "default/data-zookeeper-1"
13m         Normal    ExternalProvisioning      persistentvolumeclaim/data-zookeeper-1                        Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
13m         Normal    WaitForFirstConsumer      persistentvolumeclaim/data-zookeeper-1                        waiting for first consumer to be created before binding
13m         Normal    SuccessfulCreate          statefulset/zookeeper                                         Create Claim data-zookeeper-0 Pod zookeeper-0 in StatefulSet zookeeper success
13m         Normal    Provisioning              persistentvolumeclaim/data-zookeeper-0                        External provisioner is provisioning volume for claim "default/data-zookeeper-0"
13m         Normal    Provisioning              persistentvolumeclaim/data-zookeeper-2                        External provisioner is provisioning volume for claim "default/data-zookeeper-2"
13m         Normal    SuccessfulCreate          statefulset/zookeeper                                         Create Pod zookeeper-0 in StatefulSet zookeeper successful
13m         Normal    SuccessfulCreate          statefulset/zookeeper                                         Create Claim data-zookeeper-2 Pod zookeeper-2 in StatefulSet zookeeper success
13m         Normal    SuccessfulCreate          statefulset/zookeeper                                         Create Pod zookeeper-1 in StatefulSet zookeeper successful
13m         Normal    SuccessfulCreate          statefulset/zookeeper                                         Create Pod zookeeper-2 in StatefulSet zookeeper successful
13m         Normal    SuccessfulCreate          statefulset/zookeeper                                         Create Claim data-zookeeper-1 Pod zookeeper-1 in StatefulSet zookeeper success
13m         Normal    ProvisioningSucceeded     persistentvolumeclaim/data-zookeeper-2                        Successfully provisioned volume pvc-f4708b8e-90ad-4057-b0d7-175ba09bf385
13m         Normal    ProvisioningSucceeded     persistentvolumeclaim/data-zookeeper-0                        Successfully provisioned volume pvc-82ba7984-fef6-4890-9b48-09f95b13b0fd
