LAST SEEN   TYPE      REASON                    OBJECT                                                          MESSAGE
22m         Normal    Starting                  node/helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane   
22m         Normal    Starting                  node/helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane   Starting kubelet.
22m         Normal    NodeHasSufficientPID      node/helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane   Node helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane status is now: NodeHasSufficientPID
22m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane   Node helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane status is now: NodeHasNoDiskPressure
22m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane   Node helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane status is now: NodeHasSufficientMemory
22m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane   Updated Node Allocatable limit across pods
22m         Normal    RegisteredNode            node/helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane   Node helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane event: Registered Node helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane in Controller
22m         Normal    NodeReady                 node/helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane   Node helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane status is now: NodeReady
16m         Normal    SuccessfulCreate          replicaset/gitlab-runner-844d54c8cc                             Created pod: gitlab-runner-844d54c8cc-bvqfd
16m         Normal    ScalingReplicaSet         deployment/gitlab-runner                                        Scaled up replica set gitlab-runner-844d54c8cc from 0 to 1
16m         Normal    Scheduled                 pod/gitlab-runner-844d54c8cc-bvqfd                              Successfully assigned default/gitlab-runner-844d54c8cc-bvqfd to helm-expt-parity-gitlabrunner-mqievt8e-9ps-control-plane
5m13s       Warning   BackOff                   pod/gitlab-runner-844d54c8cc-bvqfd                              Back-off restarting failed container gitlab-runner in pod gitlab-runner-844d54c8cc-bvqfd_default(d8c9d4e9-3424-4ccf-a413-d397d24f1e16)
2m13s       Normal    Killing                   pod/gitlab-runner-844d54c8cc-bvqfd                              Container gitlab-runner failed liveness probe, will be restarted
2m13s       Normal    Started                   pod/gitlab-runner-844d54c8cc-bvqfd                              Container started
2m13s       Normal    Created                   pod/gitlab-runner-844d54c8cc-bvqfd                              Container created
2m13s       Normal    Pulled                    pod/gitlab-runner-844d54c8cc-bvqfd                              Container image "registry.gitlab.com/gitlab-org/gitlab-runner:alpine-v19.0.0" already present on machine and can be accessed by the pod
73s         Warning   Unhealthy                 pod/gitlab-runner-844d54c8cc-bvqfd                              Liveness probe failed:
4s          Warning   Unhealthy                 pod/gitlab-runner-844d54c8cc-bvqfd                              Readiness probe failed:
