LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
8m41s       Normal    Starting                  node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane
8m53s       Normal    NodeHasSufficientMemory   node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane status is now: NodeHasSufficientMemory
8m53s       Normal    NodeHasNoDiskPressure     node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane status is now: NodeHasNoDiskPressure
8m53s       Normal    NodeHasSufficientPID      node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane status is now: NodeHasSufficientPID
8m53s       Normal    NodeAllocatableEnforced   node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Updated Node Allocatable limit across pods
8m53s       Normal    Starting                  node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Starting kubelet.
8m49s       Normal    NodeHasNoDiskPressure     node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane status is now: NodeHasNoDiskPressure
8m49s       Normal    NodeHasSufficientMemory   node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane status is now: NodeHasSufficientMemory
8m49s       Normal    NodeHasSufficientPID      node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane status is now: NodeHasSufficientPID
8m49s       Normal    NodeAllocatableEnforced   node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Updated Node Allocatable limit across pods
8m49s       Normal    Starting                  node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Starting kubelet.
8m43s       Normal    RegisteredNode            node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane event: Registered Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane in Controller
8m31s       Normal    NodeReady                 node/helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane   Node helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane status is now: NodeReady
5m4s        Normal    Scheduled                 pod/pyroscope-alloy-0                                         Successfully assigned default/pyroscope-alloy-0 to helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane
5m4s        Normal    Scheduled                 pod/pyroscope-0                                               Successfully assigned default/pyroscope-0 to helm-expt-parity-pyroscope-mqdzsdyc-1g4i-control-plane
5m4s        Normal    SuccessfulCreate          statefulset/pyroscope                                         Create Pod pyroscope-0 in StatefulSet pyroscope successful
5m4s        Normal    NoPods                    poddisruptionbudget/pyroscope                                 No matching pods found
5m4s        Normal    SuccessfulCreate          statefulset/pyroscope-alloy                                   Create Pod pyroscope-alloy-0 in StatefulSet pyroscope-alloy successful
5m3s        Normal    Pulled                    pod/pyroscope-0                                               Container image "grafana/pyroscope:2.0.2" already present on machine and can be accessed by the pod
5m3s        Normal    Pulled                    pod/pyroscope-alloy-0                                         Container image "docker.io/grafana/alloy:v1.12.2" already present on machine and can be accessed by the pod
5m3s        Normal    Created                   pod/pyroscope-alloy-0                                         Container created
5m3s        Normal    Started                   pod/pyroscope-alloy-0                                         Container started
5m3s        Normal    Pulled                    pod/pyroscope-alloy-0                                         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.81.0" already present on machine and can be accessed by the pod
5m3s        Normal    Created                   pod/pyroscope-alloy-0                                         Container created
5m3s        Normal    Started                   pod/pyroscope-alloy-0                                         Container started
5m3s        Normal    Started                   pod/pyroscope-0                                               Container started
5m3s        Normal    Created                   pod/pyroscope-0                                               Container created
5m1s        Warning   Unhealthy                 pod/pyroscope-0                                               Readiness probe failed: HTTP probe failed with statuscode: 503
83s         Warning   Unhealthy                 pod/pyroscope-0                                               Readiness probe failed: Get "http://10.244.0.14:4040/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
