LAST SEEN   TYPE      REASON                    OBJECT                                                        MESSAGE
23m         Normal    Starting                  node/helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane
23m         Normal    Starting                  node/helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane   Starting kubelet.
23m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane   Updated Node Allocatable limit across pods
23m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane   Node helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane status is now: NodeHasSufficientMemory
23m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane   Node helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane status is now: NodeHasNoDiskPressure
23m         Normal    NodeHasSufficientPID      node/helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane   Node helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane status is now: NodeHasSufficientPID
23m         Normal    RegisteredNode            node/helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane   Node helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane event: Registered Node helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane in Controller
22m         Normal    NodeReady                 node/helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane   Node helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane status is now: NodeReady
18m         Normal    Scheduled                 pod/pyroscope-1                                               Successfully assigned default/pyroscope-1 to helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane
18m         Normal    Scheduled                 pod/pyroscope-alloy-0                                         Successfully assigned default/pyroscope-alloy-0 to helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane
18m         Normal    SuccessfulCreate          statefulset/pyroscope                                         Create Pod pyroscope-1 in StatefulSet pyroscope successful
18m         Normal    SuccessfulCreate          statefulset/pyroscope                                         Create Pod pyroscope-0 in StatefulSet pyroscope successful
18m         Normal    NoPods                    poddisruptionbudget/pyroscope                                 No matching pods found
18m         Normal    SuccessfulCreate          statefulset/pyroscope-alloy                                   Create Pod pyroscope-alloy-0 in StatefulSet pyroscope-alloy successful
18m         Normal    Scheduled                 pod/pyroscope-0                                               Successfully assigned default/pyroscope-0 to helm-expt-parity-pyroscope-mqgdlqit-22a9-control-plane
18m         Normal    Pulled                    pod/pyroscope-alloy-0                                         Container image "quay.io/prometheus-operator/prometheus-config-reloader:v0.81.0" already present on machine and can be accessed by the pod
18m         Normal    Created                   pod/pyroscope-alloy-0                                         Container created
18m         Normal    Started                   pod/pyroscope-alloy-0                                         Container started
18m         Normal    Started                   pod/pyroscope-alloy-0                                         Container started
18m         Normal    Created                   pod/pyroscope-alloy-0                                         Container created
18m         Normal    Pulled                    pod/pyroscope-alloy-0                                         Container image "docker.io/grafana/alloy:v1.12.2" already present on machine and can be accessed by the pod
13m         Warning   Unhealthy                 pod/pyroscope-0                                               Readiness probe failed: Get "http://10.244.0.15:4040/ready": read tcp 10.244.0.1:41048->10.244.0.15:4040: read: connection reset by peer
8m54s       Warning   Unhealthy                 pod/pyroscope-1                                               Readiness probe failed: Get "http://10.244.0.16:4040/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
3m25s       Warning   BackOff                   pod/pyroscope-1                                               Back-off restarting failed container pyroscope in pod pyroscope-1_default(0c7d6ced-69c2-4dc5-a404-6e24ffa25801)
3m8s        Normal    Pulled                    pod/pyroscope-1                                               Container image "grafana/pyroscope:2.0.2" already present on machine and can be accessed by the pod
3m8s        Normal    Pulled                    pod/pyroscope-0                                               Container image "grafana/pyroscope:2.0.2" already present on machine and can be accessed by the pod
3m8s        Normal    Created                   pod/pyroscope-1                                               Container created
3m8s        Normal    Started                   pod/pyroscope-1                                               Container started
3m8s        Normal    Started                   pod/pyroscope-0                                               Container started
3m8s        Normal    Created                   pod/pyroscope-0                                               Container created
3m6s        Warning   Unhealthy                 pod/pyroscope-0                                               Readiness probe failed: Get "http://10.244.0.15:4040/ready": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
