LAST SEEN   TYPE      REASON                    OBJECT                                                      MESSAGE
18m         Normal    Starting                  node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   
18m         Normal    Starting                  node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Starting kubelet.
18m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane status is now: NodeHasSufficientMemory
18m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane status is now: NodeHasNoDiskPressure
18m         Normal    NodeHasSufficientPID      node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane status is now: NodeHasSufficientPID
18m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Updated Node Allocatable limit across pods
18m         Normal    Starting                  node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Starting kubelet.
18m         Normal    NodeAllocatableEnforced   node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Updated Node Allocatable limit across pods
18m         Normal    NodeHasSufficientMemory   node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane status is now: NodeHasSufficientMemory
18m         Normal    NodeHasNoDiskPressure     node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane status is now: NodeHasNoDiskPressure
18m         Normal    NodeHasSufficientPID      node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane status is now: NodeHasSufficientPID
18m         Normal    RegisteredNode            node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane event: Registered Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane in Controller
17m         Normal    NodeReady                 node/helm-expt-parity-opencost-mqifp7vp-a81-control-plane   Node helm-expt-parity-opencost-mqifp7vp-a81-control-plane status is now: NodeReady
8m41s       Normal    Scheduled                 pod/opencost-6545848947-k72kq                               Successfully assigned default/opencost-6545848947-k72kq to helm-expt-parity-opencost-mqifp7vp-a81-control-plane
8m41s       Normal    Pulled                    pod/opencost-6545848947-k72kq                               Container image "ghcr.io/opencost/opencost-ui:1.120.2@sha256:3e7fc176315a25e7acca47b670fa78b2620480981e8d34c2e8f64ca6371c8bcc" already present on machine and can be accessed by the pod
8m41s       Normal    Created                   pod/opencost-6545848947-k72kq                               Container created
8m41s       Normal    Started                   pod/opencost-6545848947-k72kq                               Container started
8m41s       Warning   FailedCreate              replicaset/opencost-6545848947                              Error creating: pods "opencost-6545848947-" is forbidden: error looking up service account default/opencost: serviceaccount "opencost" not found
8m41s       Normal    SuccessfulCreate          replicaset/opencost-6545848947                              Created pod: opencost-6545848947-k72kq
8m41s       Normal    ScalingReplicaSet         deployment/opencost                                         Scaled up replica set opencost-6545848947 from 0 to 1
2m21s       Normal    Pulled                    pod/opencost-6545848947-k72kq                               Container image "ghcr.io/opencost/opencost:1.120.2@sha256:5f37f689557dbb6737a9182b70625bba55bbba843a2caaba5a79746945a56cc6" already present on machine and can be accessed by the pod
2m21s       Normal    Created                   pod/opencost-6545848947-k72kq                               Container created
2m21s       Normal    Started                   pod/opencost-6545848947-k72kq                               Container started
2m11s       Warning   Unhealthy                 pod/opencost-6545848947-k72kq                               Startup probe failed: Get "http://10.244.0.13:9003/healthz": dial tcp 10.244.0.13:9003: connect: connection refused
58s         Warning   BackOff                   pod/opencost-6545848947-k72kq                               Back-off restarting failed container opencost in pod opencost-6545848947-k72kq_default(734868c6-6870-4a77-b6d8-086eca3caa6c)
