page,category,match
d/README.html,clause-colon-payoff,"Choose where the reviewed result goes: local files, OCI, ConfigHub, Argo CD, Flux, or Kubernetes."
d/README.html,clause-colon-payoff,"What a full test run verifies - and what you can expect to be true: see CODE for the acceptance contract - the verified properties, current coverage, "
d/README.html,clause-colon-payoff,The generated status dashboard is the authority for current counts: data/status-dashboard/summary.
d/README.html,clause-colon-payoff,"That receipt is the user-side proof: what you rendered, what namespace/context you checked, what matched, and which checks passed."
d/README.html,clause-colon-payoff,"This repository's own work is available under the MIT license in LICENSE: the scripts, verifiers, documentation, site generators, receipts, and record"
d/recipes/hashicorp/vault/0.32.0/weirdness-and-mitigations.html,clause-colon-payoff,"The default variant keeps the chart defaults: standalone Vault server, injector webhook, and TLS disabled in the rendered Vault config."
d/examples/aicr/kserve-nim-inference/digest-index/README.html,clause-colon-payoff,The gated image references it lists are configuration data: the images live behind NGC and are pulled only by a user's cluster with the user's own key
d/examples/aicr/kserve-nim-inference/digest-index/README.html,clause-colon-payoff,"One NGC surface was read, and the entry says which: the public catalog page for the described model profile supplied the governing-terms names that th"
d/examples/sveltos/bulk-ops/README.html,clause-colon-payoff,"The matrix shows every cluster at three checkpoints: the baseline, the state after the fan-out, and the zero-drift audit with its repair results."
d/examples/sveltos/kyverno-fleet/README.html,clause-colon-payoff,"The two-wave delivery proof is fully self-contained: it creates its own kind management cluster, two workload clusters, and a local OCI registry, reco"
d/examples/sveltos/cve-patch/README.html,clause-colon-payoff,"The matrix shows which cluster runs which chart version at four checkpoints: the baseline, then after each wave."
d/examples/sveltos/cve-patch/README.html,clause-colon-payoff,"One live question is already answerable today with no account or cluster: does the pinned patched chart still match its digest, and do the reviewed va"
d/examples/sveltos/env-rollout/README.html,clause-colon-payoff,"The matrix shows which cluster ran which revision at four checkpoints: the baseline, then after each wave."
d/examples/sveltos/env-rollout/README.html,clause-colon-payoff,"Each environment keeps its own governed record: a CODE that selects only its environment label, stored in its own ConfigHub Space with the same approv"
d/examples/sveltos/env-rollout/README.html,clause-colon-payoff,The change candidate is one values edit: it raises CODE from 1 to 2 in the Kyverno 3.
d/examples/sveltos/env-rollout/README.html,clause-colon-payoff,The per-cluster matrix shows exactly which cluster runs which revision at four checkpoints: the baseline and the state after each wave.
d/examples/kubara/git-import/README.html,clause-colon-payoff,"While holding that apply lock, the order is deterministic: pin bootstrap and target facts; publish any argobot source releases; create definitions and"
d/examples/kubara/git-import/README.html,clause-colon-payoff,Its application live-release step is no longer a placeholder: it invokes the resumable application runner above and binds that runner's exact acceptan
d/tests/doctrine.html,clause-colon-payoff,"CODE should reject what it does not support, but the error should teach the cub route: declared CODE s, CODE , named bases, or a base edit."
d/tests/doctrine.html,clause-colon-payoff,Some artifacts a catalog entry names are gated: they need an entitlement and a credential the reader has and this repository does not.
d/tests/doctrine.html,clause-colon-payoff,"Re-reading is tied to the reference rather than to a calendar: entries are keyed by the exact tag, so a version bump produces a reference nobody enume"
d/tests/doctrine.html,clause-colon-payoff,"The proof that this works is the receipt trilogy: the refusal named the existing-secret route, the corrected mapping followed it, and the gate passed "
d/tests/doctrine.html,clause-colon-payoff,"The first live refusal is the canonical example: an agent mapped ""TLS with auto-generated certs"", the render was plausible, and determinism diverged b"
d/tests/doctrine.html,clause-colon-payoff,"Inferring that from the disposition's wording was implemented and reverted: it reported four resolutions as debts, because a namespace shipping inside"
d/tests/doctrine.html,clause-colon-payoff,The witness sees generated credentials and is blind to a literal one: minio-operator/tenant renders CODE from values and its witness reports zero gene
d/tests/doctrine.html,clause-colon-payoff,"A bundle's bytes are fixed and the images those bytes name are not: most references in the catalog's bundles are tags, which can be repushed."
d/tests/doctrine.html,clause-colon-payoff,Collapsing the two makes an absence unreadable: a reader counting bundles against catalog entries sees a shortfall where most of the gap is correct an
