page,sents,words,burst,pct_simple,enum_per_1k,enum4plus
existing-apps.html,26,402,0.39,31,231,6
security.html,19,268,0.56,53,158,3
docs.html,79,885,0.42,52,139,11
journey.html,59,990,0.35,31,153,9
guides.html,20,330,0.54,30,150,3
verification.html,80,893,0.37,64,100,8
proof.html,73,926,0.4,55,96,7
ai.html,90,1207,0.45,52,89,8
operations.html,51,794,0.49,39,98,4
index.html,75,869,0.53,56,80,5
promote.html,111,1852,0.61,47,81,9
variants.html,56,736,0.4,39,89,5
offering.html,39,587,0.38,46,77,3
ask.html,179,2621,0.56,51,67,12
demo-org.html,187,2515,1.1,57,59,11
try-aicr.html,65,1024,0.67,54,62,4
how-it-works.html,117,1374,0.48,55,51,6
kubara.html,128,2029,0.66,42,62,8
hard-questions.html,201,2379,0.39,56,45,9
testing.html,205,2861,0.62,55,44,9
confighub.html,64,770,0.45,58,31,2
future.html,17,293,0.3,24,59,1
try.html,41,502,0.53,59,24,1
does-cluster-match-approved-config.html,37,450,0.27,73,0,0
custom-apps.html,32,468,0.42,41,31,1
serverless.html,63,869,0.43,48,16,1
challenge.html,62,827,0.49,45,16,0
quirks.html,35,460,0.33,31,29,1
redis-walkthrough.html,107,1552,0.48,59,0,0
known-gaps.html,34,526,0.76,50,0,0
compare.html,38,523,0.49,37,0,0
