page,words,headings_per_1k,list_items_per_1k,paragraphs_per_1k,bullet_to_para,bold_per_1k,tables_per_1k,emoji,emdash_per_1k,mean_sentence,sd_sentence,burstiness
matrix.html,13007,0.1,0.0,0.3,0.0,0.1,0.2,1749,0.0,73.7,109.7,1.49
deployment-reference.html,4026,7.0,1.5,15.6,0.1,16.9,3.5,6,0.0,12.9,6.4,0.5
docs-reference.html,3072,2.9,0.0,5.2,0.0,0.3,2.3,0,0.0,17.9,8.2,0.46
testing.html,2767,6.1,0.0,17.0,0.0,10.8,2.9,2,1.1,13.9,8.6,0.62
ask.html,2583,7.4,0.0,33.7,0.0,12.0,1.2,0,0.0,14.5,8.2,0.56
demo-org.html,2454,4.9,1.6,22.4,0.07,4.5,2.4,0,0.0,13.3,14.8,1.12
hard-questions.html,2349,22.1,0.0,38.7,0.0,4.3,0.0,0,0.0,11.8,4.6,0.39
entry-path-reference.html,2086,8.6,0.0,21.6,0.0,0.5,2.9,0,0.0,15.3,14.5,0.95
kubara.html,1988,8.0,11.1,22.1,0.5,12.1,2.0,0,0.0,15.7,10.3,0.66
promote.html,1806,15.0,0.0,33.8,0.0,21.0,3.9,0,0.0,16.6,10.2,0.61
redis-walkthrough.html,1458,11.0,0.0,25.4,0.0,5.5,0.7,4,0.0,14.2,6.9,0.48
how-it-works.html,1361,11.8,0.0,30.9,0.0,6.6,2.2,0,0.0,11.7,5.6,0.48
ai.html,1190,7.6,0.0,20.2,0.0,0.8,4.2,0,0.0,13.4,6.0,0.45
try-aicr.html,990,10.1,0.0,30.3,0.0,0.0,5.1,0,0.0,15.5,10.3,0.67
journey.html,984,11.2,0.0,21.3,0.0,0.0,3.0,0,0.0,16.8,5.9,0.35
proof.html,917,13.1,0.0,18.5,0.0,8.7,3.3,0,0.0,12.7,5.1,0.4
docs.html,882,35.1,0.0,35.1,0.0,2.3,1.1,0,0.0,11.2,4.7,0.42
verification.html,869,16.1,0.0,17.3,0.0,3.5,4.6,0,0.0,10.9,3.9,0.36
index.html,840,13.1,0.0,35.7,0.0,9.5,0.0,8,1.2,11.5,6.1,0.53
serverless.html,836,14.4,0.0,34.7,0.0,6.0,0.0,3,0.0,13.5,6.0,0.45
challenge.html,812,13.5,0.0,29.6,0.0,12.3,0.0,0,0.0,13.3,6.5,0.49
operations.html,772,15.5,0.0,42.7,0.0,1.3,1.3,0,0.0,15.4,7.4,0.48
confighub.html,755,6.6,5.3,27.8,0.19,5.3,2.6,0,0.0,11.9,5.5,0.46
variants.html,726,11.0,0.0,22.0,0.0,1.4,5.5,0,0.0,13.0,5.3,0.41
offering.html,574,10.5,0.0,22.6,0.0,8.7,5.2,0,0.0,15.1,5.7,0.38
compare.html,530,5.7,0.0,9.4,0.0,13.2,1.9,0,0.0,13.8,6.8,0.49
known-gaps.html,527,5.7,0.0,11.4,0.0,11.4,1.9,0,0.0,15.4,11.7,0.76
try.html,485,10.3,0.0,49.5,0.0,10.3,0.0,0,0.0,12.0,6.5,0.54
quirks.html,474,8.4,0.0,16.9,0.0,6.3,2.1,0,0.0,13.1,4.4,0.33
custom-apps.html,466,8.6,0.0,15.0,0.0,0.0,4.3,0,0.0,14.6,6.2,0.42
does-cluster-match-approved-config.html,450,20.0,0.0,62.2,0.0,37.8,0.0,0,0.0,12.2,3.2,0.27
existing-apps.html,398,17.6,0.0,27.6,0.0,0.0,5.0,0,0.0,15.5,6.1,0.39
guides.html,330,15.2,0.0,33.3,0.0,0.0,0.0,0,0.0,16.5,9.0,0.54
future.html,290,24.1,0.0,27.6,0.0,0.0,6.9,0,0.0,17.2,5.2,0.3
security.html,265,26.4,0.0,34.0,0.0,0.0,3.8,0,0.0,14.1,7.8,0.56
whats-new.html,232,8.6,0.0,12.9,0.0,0.0,4.3,0,0.0,20.6,22.0,1.07
why-do-dev-and-prod-differ.html,148,27.0,0.0,47.3,0.0,6.8,0.0,0,0.0,11.4,5.3,0.47
why-did-helm-ignore-my-values.html,146,27.4,0.0,47.9,0.0,6.8,0.0,0,0.0,11.4,4.9,0.43
did-this-chart-version-change.html,139,28.8,0.0,50.4,0.0,7.2,0.0,0,0.0,10.9,4.3,0.4
hooks.html,15,0.0,0.0,66.7,0.0,0.0,0.0,0,0.0,15,0,0.0
day1-operations.html,9,0.0,0.0,111.1,0.0,0.0,0.0,0,0.0,9,0,0.0
tiers.html,6,0.0,0.0,166.7,0.0,0.0,0.0,0,0.0,6,0,0.0
